# CHI_TEST_NUMBER:  CHI_SQUARED_VALUE:
                 0              86.538
                 1              93.538
                 2              94.648
                 3              104.96
                 4              94.414
                 5             125.516
                 6              90.058
                 7              78.668
                 8             105.828
                 9             102.434
                10             104.438
                11               90.34
                12              97.476
                13              90.002
                14             101.692
                15              85.788
                16             118.218
                17               93.44
                18             102.264
                19              78.958
                20             110.932
                21               95.63
                22             124.244
                23              74.974
                24              88.352
                25              80.504
                26             119.864
                27              92.972
                28              96.276
                29              87.202
                30             101.922
                31             107.762
                32             118.548
                33             100.148
                34             125.206
                35              79.068
                36              98.298
                37             117.004
                38              89.312
                39               93.09
                40             106.992
                41              87.472
                42              96.428
                43              89.186
                44             110.194
                45             105.842
                46             108.098
                47              120.15
                48              99.946
                49               87.37
                50             104.378
                51              97.936
                52              94.502
                53              87.398
                54               75.11
                55              71.264
                56              97.464
                57              106.96
                58             108.858
                59             110.628
                60              92.124
                61              98.358
                62              86.554
                63              90.922
                64              86.816
                65              86.788
                66              98.398
                67              89.198
                68             104.852
                69              90.492
                70               85.03
                71              82.364
                72              97.298
                73              92.984
                74             108.326
                75               87.71
                76             104.888
                77             105.832
                78              92.222
                79              90.748
                80              90.424
                81               74.45
                82              96.502
                83             106.612
                84               97.35
                85             107.816
                86             112.914
                87             126.376
                88             101.006
                89               86.12
                90              123.53
                91              90.744
                92             106.166
                93              81.398
                94             105.998
                95              87.924
                96              92.952
                97              92.076
                98             120.182
                99             100.122
