#             N = 1:              N = 2:             N = 10:            N = 100:
            0.186231            0.369163            0.603243             1.03279
            0.106655            0.221712             1.21127            0.982893
            0.324718             1.45196            0.778088             1.06973
             1.04907            0.487507            0.677071             1.11764
          0.00540007            0.109791            0.892072             1.01171
            0.410878             1.10364            0.738859             1.01928
            0.223913             0.24515             1.57926            0.900469
            0.726576            0.998534             1.84325            0.954926
            0.969225            0.269172            0.523284            0.885126
             1.19129            0.824578             1.27553             1.06306
           0.0862181             1.22591            0.916743            0.974402
            0.382686            0.252648            0.979878            0.938938
             0.95084            0.911348             1.20088            0.995891
            0.257361            0.609713             1.45085            0.976634
             1.15014             3.12915             1.12953             1.10042
             1.38086            0.423198            0.896444            0.835756
             1.20944            0.735018              1.0041             1.01967
            0.793663            0.952014            0.743478            0.988156
             1.32663             1.08813             1.27624             1.17819
            0.848504            0.276463            0.679065            0.900284
            0.618769            0.110574             1.19494             1.03734
            0.150631            0.488872            0.717026              0.7623
            0.664189            0.935013             1.12033            0.989808
             1.31919             1.69233            0.921745             1.22165
            0.305908             0.87562             1.28606             0.88177
            0.438729            0.185381            0.915212             1.04596
             1.21483             0.42828            0.606326            0.846288
            0.326226             2.09584            0.760779            0.937141
          0.00253289             1.48906             1.45673             1.03199
             0.39778            0.539003             1.26927             1.00847
             0.14078             0.42477            0.724922            0.970806
            0.345075            0.991501            0.511988             1.02944
            0.566431            0.640531            0.617892              1.0515
             1.05663            0.783454            0.830328             0.93623
             1.17504            0.173203            0.896878             1.06718
           0.0603154             1.15855             1.03811             1.05656
            0.804682            0.893196            0.516545             1.01305
             1.02629            0.769615              1.0715             1.06283
             2.27951             1.56231             1.20153             1.06638
             0.68081            0.617179            0.582063             1.09911
             2.03944            0.422373             0.71393             1.06329
            0.634396             2.39674            0.958495            0.935229
            0.630871            0.567086             1.30082            0.921709
           0.0966289            0.322754            0.775771             1.15343
            0.262156            0.697083             1.01062            0.990761
             2.64562             1.34267            0.892286             1.11946
            0.111846            0.905141             1.24721             1.23868
