#             N = 1:              N = 2:             N = 10:            N = 100:
            0.879663            0.381582           -0.866266            -50.3193
           -0.836972             1.49361             1.16091           0.0279095
             13.1039            -1.97099            -2.21685            0.953326
             -1.0505            0.808179              2.2735            -1.78455
            -2.14778           -0.613916             -2.1044            0.631068
             1.33336             4.48577             -2.5192           -0.341668
             1.54592           -0.710562            -1.45734             0.18766
            0.101628             7.50788            -4.60373            0.955275
           -0.344326            -2.06131            -7.96733             1.25785
           -0.657588            0.543516           -0.493598           -0.825916
           -0.546851            0.368003           -0.667604            0.482209
            -4.32288             1.21562             3.62826             1.79817
            0.778735            0.405934            0.494158            0.747169
           -0.342544           -0.883197           -0.452626            -1.25928
             2.25331            0.998717             1.18974           -0.890025
            -1.21413            -1.36513           -0.757905          -0.0512522
            -1.53026           -0.226483           -0.656758           -0.164126
             1.46958            -7.51214            -6.68708            -11.7029
            -0.19076           -0.515292            0.141665            -0.12192
           -0.426504           -0.679879             1.42064             2.52881
            0.192127            -1.53706             1.96022             1.10669
           -0.277166          -0.0167805            -2.42034             1.53539
            -2.33265          -0.0752462           -0.189838          -0.0696131
             1.23784            0.548695            0.812474              3.8594
          -0.0399615           -0.295141            0.568669             1.07161
          -0.0235015            -1.52084            -1.88537           -0.668831
           -0.565146             1.43429           -0.255075           -0.551089
           -0.136746             12.9558            -1.01884            0.285047
           -0.743883            -0.43306            -1.29567            -2.96755
           -0.671334            -1.41268           -0.623779            0.828541
            -2.31929           -0.544076            0.211096            -1.31613
              11.529              2.5808             0.13854            0.536848
             1.46495            0.454402            0.321544            0.846698
            0.235477            -1.36195             6.82507            -1.25829
            0.965664            0.450707         -0.00667254            0.721071
            -3.14368             1.26981            0.705855              1.8629
            0.720996            -1.97292            -1.38356             3.21691
            -4.12943             4.85983             1.52781            -1.42061
            -2.62361             17.3511            0.954173            0.910198
            -41.2868             1.91112            0.218342            0.038487
             107.399            0.130168            0.136368             1.32392
           -0.961621           -0.990103             1.48902             141.997
           -0.462558           -0.086903            0.659341             2.24824
            -3.34192            -5.44241             14.6749             1.19159
             2.65544             1.20481           -0.198878             1.11274
            0.125761          -0.0809981            -6.12583            -1.80342
            -5.71669            -1.49854            0.788305            -1.00398
             1.29706           -0.490239           -0.415112             1.62698
             1.76298            0.154094           -0.295094             2.78746
             17.8509            0.385791             0.26467            -0.32798
             0.26159             1.62256          -0.0226725           -0.505888
            0.138986             2.06456            -4.18665           -0.542822
             -0.3981           -0.834962             7.75175            0.932482
            -8.41201            -2.78904            0.131471            -2.32522
           -0.543327            0.199457            -1.24778             1.34526
             2.91932           0.0885752             2.26991           -0.209101
            0.351598             1.88374            -3.57662            -9.80486
            -2.30651            0.233414           0.0794857           0.0282479
            0.386051            0.776162             1.21376            0.476131
            0.328408           -0.487954            -50.1461           -0.393168
           -0.831896            -4.19329             2.90648             15.3311
             1.50451           0.0511247             1.31444              2.3192
             -61.488           -0.117164              1.0296          -0.0451735
             -0.9903           -0.321861           -0.899502             18.4611
             3.20404           -0.266041            0.158376             -1.2951
              1.0664            -8.77857            -69.1361            0.592987
             9.23558             23.1362            -7.14843             1.15916
             1.35404            -3.99388           -0.281725            -2.99035
            -1.92714           -0.528138            -1.39746            0.179398
            0.534968            -3.24455             1.48706           -0.175599
            0.209429          -0.0262379             1.20209             3.88719
