# BLOCK:            PI_CURR:             PI_PROG:              ERROR:                HIT:             THROWS:
       0         3.121098627         3.121098627                   0                4272               10000
       1         3.108727753          3.11491319      0.006185436775                4289               10000
       2         3.191319611         3.140381997       0.02571795743                4178               10000
       3         3.087849313         3.127248826       0.02243182666                4318               10000
       4         3.146138115         3.131026684       0.01778157245                4238               10000
       5         3.120368203          3.12925027       0.01462686536                4273               10000
       6         3.137254902         3.130393789       0.01241473432                4250               10000
       7          3.12329195         3.129506059       0.01078806218                4269               10000
       8          3.17914481         3.135021476       0.01099724409                4194               10000
       9         3.070781514          3.12859748       0.01174815855                4342               10000
      10         3.170074497         3.132368118       0.01127574983                4206               10000
      11         3.158809129         3.134571535       0.01052649804                4221               10000
      12         3.108003108          3.13252781      0.009896298199                4290               10000
      13         3.162555345         3.134672634      0.009409889897                4216               10000
      14         3.131360576          3.13445183      0.008762913053                4258               10000
      15          3.15581854          3.13578725      0.008305023147                4225               10000
      16         3.170828379         3.137848492      0.008068928864                4205               10000
      17         3.149854319         3.138515483      0.007636642584                4233               10000
      18         3.136516898         3.138410294      0.007224306551                4251               10000
      19         3.184459836         3.140712771      0.007230003139                4187               10000
      20            3.167815         3.142003354      0.006997154587                4209               10000
      21         3.157313127         3.142699252      0.006707721123                4223               10000
      22         3.170074497          3.14388948      0.006519024863                4206               10000
      23         3.111629716         3.142545324      0.006384588399                4285               10000
      24         3.138731952         3.142392789      0.006125781451                4248               10000
      25           3.1225605         3.141630008      0.005934684366                4270               10000
      26         3.161805391         3.142377245      0.005759332983                4217               10000
      27         3.139470999          3.14227345      0.005550802641                4247               10000
      28         3.126954346         3.141745205      0.005381963199                4264               10000
      29         3.175359213         3.142865672      0.005318828703                4199               10000
      30          3.16405632         3.143549241      0.005189609659                4214               10000
      31         3.138731952         3.143398701      0.005027072484                4248               10000
      32         3.165558721         3.144070217      0.004918413125                4212               10000
      33         3.115264798         3.143222999      0.004846192203                4280               10000
      34         3.145395927         3.143285082       0.00470610244                4239               10000
      35         3.107278801         3.142284908      0.004681595676                4291               10000
      36          3.16405632         3.142873324      0.004591170997                4214               10000
      37         3.097893432         3.141689643      0.004622828084                4304               10000
      38         3.166310457         3.142320946      0.004546774435                4211               10000
      39         3.076449777         3.140674167       0.00472772479                4334               10000
      40         3.203588019         3.142208651      0.004859599996                4162               10000
      41          3.08000308         3.140727566      0.004968376721                4329               10000
      42         3.170074497         3.141410053      0.004899227155                4206               10000
      43         3.116721209         3.140848943      0.004819362182                4278               10000
      44         3.173847497         3.141582244      0.004767777745                4201               10000
      45         3.174603175          3.14230009      0.004717909811                4200               10000
      46          3.09645456         3.141324653      0.004718365438                4306               10000
      47         3.129890454         3.141086441       0.00462515878                4260               10000
      48         3.159557662         3.141463405      0.004545442629                4220               10000
      49         3.173847497         3.142111086      0.004500455367                4201               10000
      50         3.138731952         3.142044829      0.004411826175                4248               10000
      51         3.090712409         3.141057667       0.00443735004                4314               10000
      52         3.113809746         3.140543555       0.00438307706                4282               10000
      53         3.119638122         3.140156418      0.004318530775                4274               10000
      54         3.134304968         3.140050028      0.004240619729                4254               10000
      55         3.146880655         3.140172003      0.004165991942                4237               10000
      56         3.102218086         3.139506145        0.0041460694                4298               10000
      57          3.09645456         3.138763876      0.004141026375                4306               10000
      58         3.084277893         3.137840385      0.004173684701                4323               10000
      59         3.118908382         3.137524852      0.004115647033                4275               10000
      60          3.14317146         3.137617419      0.004048673475                4242               10000
      61         3.117449926         3.137292137      0.003996097975                4277               10000
      62         3.079291763         3.136371496      0.004038493854                4330               10000
      63          3.15581854         3.136675356      0.003986488904                4225               10000
      64         3.176115611         3.137282129      0.003971307081                4198               10000
      65           3.0757401         3.136349674      0.004020302807                4335               10000
      66         3.072904663         3.135402734      0.004071493365                4339               10000
      67         3.198209003         3.136326355      0.004116135878                4169               10000
      68          3.16405632         3.136728239      0.004075904296                4214               10000
      69         3.148366785         3.136894504      0.004020694323                4235               10000
      70         3.146880655         3.137035154      0.003966154998                4237               10000
      71         3.143912599         3.137130674      0.003911847952                4241               10000
      72         3.130625342          3.13704156      0.003858917939                4259               10000
      73         3.178386969         3.137600281      0.003847200475                4195               10000
      74         3.076449777         3.136784941      0.003882143592                4334               10000
      75         3.183699459         3.137402238      0.003880140111                4188               10000
      76         3.121829392         3.137199993      0.003834754047                4271               10000
      77         3.168567807         3.137602144      0.003806573845                4208               10000
      78         3.092863218         3.137035829      0.003800510776                4311               10000
      79         3.192083633         3.137723926      0.003815267138                4177               10000
      80         3.140950137         3.137763756      0.003768081188                4245               10000
      81         3.098613371         3.137286312      0.003752343939                4303               10000
      82         3.102940036         3.136872502      0.003729885395                4297               10000
      83         3.181420504         3.137402835      0.003723178664                4191               10000
      84         3.135041931          3.13737506      0.003679220669                4253               10000
      85         3.164807342          3.13769404      0.003650151618                4213               10000
      86         3.135041931         3.137663556      0.003608080695                4253               10000
      87         3.137993253         3.137667302        0.0035668461                4249               10000
      88         3.111629716         3.137374745      0.003538655728                4285               10000
      89         3.158060951         3.137604592      0.003506657288                4222               10000
      90         3.186743149         3.138144576       0.00350969689                4184               10000
      91         3.194377895         3.138755808      0.003524740342                4174               10000
      92         3.146138115         3.138835188      0.003487537416                4238               10000
      93         3.134304968         3.138786994      0.003450573054                4254               10000
      94         3.157313127         3.138982006      0.003419623057                4223               10000
      95         3.134304968         3.138933287      0.003384165203                4254               10000
      96         3.121829392         3.138756958      0.003353733803                4271               10000
      97         3.130625342         3.138673982      0.003320372561                4259               10000
      98         3.141690229         3.138704449      0.003286803533                4244               10000
      99         3.110903718         3.138426442      0.003265624593                4286               10000
