# BLOCK:       CURRENT_MEAN:   PROGRESSIVE_MEAN:              ERROR:
       0             1.00031             1.00031                   0
       1            0.997534             0.99892          0.00138636
       2            0.991465            0.996435          0.00261068
       3            0.998794            0.997025          0.00193796
       4            0.997802             0.99718          0.00150916
       5             1.00344            0.998224          0.00161492
       6             1.00723             0.99951          0.00187545
       7            0.998877            0.999431          0.00162611
       8             1.00199            0.999716          0.00146203
       9            0.986073            0.998351          0.00188979
      10            0.990267            0.997616          0.00186066
      11            0.989891            0.996973          0.00181646
      12             1.00313            0.997446          0.00173675
      13            0.995483            0.997306          0.00161402
      14             1.00142            0.997581          0.00152743
      15            0.987188            0.996931          0.00156949
      16            0.992005            0.996641          0.00150249
      17            0.990654            0.996309           0.0014551
      18             1.00502            0.996767          0.00145066
      19             1.00518            0.997188          0.00143914
      20             1.01599            0.998083          0.00163563
      21            0.996388            0.998006          0.00156141
      22             1.00671            0.998384          0.00153923
      23             1.00866            0.998813          0.00153464
      24            0.987716            0.998369          0.00153743
      25             1.01137            0.998869          0.00155946
      26            0.990608            0.998563          0.00153146
      27            0.983145            0.998012          0.00157513
      28             0.99594            0.997941          0.00152153
      29              1.0004            0.998023          0.00147222
      30             0.99879            0.998047          0.00142415
      31             1.00631            0.998306          0.00140289
      32            0.999017            0.998327          0.00135988
      33             1.01075            0.998692          0.00136891
      34             1.00076            0.998751          0.00133054
      35            0.990435             0.99852          0.00131352
      36            0.997673            0.998498          0.00127773
      37             1.01157            0.998842          0.00129035
      38            0.990994             0.99864          0.00127283
      39             1.00931            0.998907          0.00126897
      40            0.979296            0.998429          0.00132685
      41            0.987382            0.998166          0.00132132
      42            0.990124            0.997979          0.00130371
      43            0.994055             0.99789          0.00127685
      44             1.01451            0.998259          0.00130163
      45            0.987186            0.998018          0.00129558
      46              1.0035            0.998135          0.00127306
      47             1.00528            0.998284          0.00125512
      48             1.00308            0.998382          0.00123314
      49             1.00254            0.998465          0.00121108
      50             1.00668            0.998626          0.00119797
      51              1.0094            0.998833          0.00119284
      52            0.994048            0.998743           0.0011736
      53             1.00235            0.998809           0.0011536
      54            0.998722            0.998808          0.00113243
      55            0.989826            0.998647          0.00112353
      56             0.99871            0.998649          0.00110365
      57             1.00509             0.99876          0.00109013
      58            0.986999             0.99856          0.00108987
      59            0.996648            0.998528          0.00107203
      60            0.993367            0.998444           0.0010577
      61            0.995185            0.998391          0.00104183
      62             1.00945            0.998567          0.00104006
      63            0.995934            0.998526          0.00102451
      64             1.01397            0.998763          0.00103623
      65             1.00843             0.99891          0.00103086
      66            0.989078            0.998763          0.00102591
      67             1.00586            0.998867          0.00101609
      68            0.994997            0.998811          0.00100282
      69            0.999892            0.998827         0.000988515
      70             1.00526            0.998917         0.000978694
      71             1.00639            0.999021         0.000970576
      72             1.01707            0.999268          0.00098859
      73            0.995321            0.999215         0.000976597
      74              1.0108            0.999369         0.000975787
      75             1.00443            0.999436         0.000965159
      76             1.00174            0.999466         0.000953011
      77            0.994645            0.999404         0.000942741
      78            0.998936            0.999398          0.00093075
      79             1.00548            0.999474         0.000922184
      80            0.987777             0.99933         0.000922107
      81            0.999348             0.99933         0.000910792
      82            0.988793            0.999203         0.000908664
      83            0.990401            0.999098         0.000903876
      84             1.01102            0.999238         0.000904125
      85             1.00772            0.999337         0.000898971
      86             1.00367            0.999387         0.000889972
      87            0.977298            0.999136         0.000914908
      88             1.00863            0.999242         0.000910839
      89             1.01606            0.999429         0.000919836
      90            0.999951            0.999435         0.000909689
      91            0.989906            0.999331          0.00090569
      92             1.00544            0.999397         0.000898305
      93             0.99343            0.999334         0.000890961
      94            0.995919            0.999298         0.000882265
      95             1.00134            0.999319         0.000873286
      96             1.00168            0.999343          0.00086458
      97             1.01055            0.999458         0.000863312
      98            0.993101            0.999394         0.000856957
      99            0.989664            0.999296         0.000853904
