# BLOCK:       CURRENT_MEAN:   PROGRESSIVE_MEAN:              ERROR:
       0            0.998981            0.998981                   0
       1            0.999279             0.99913         0.000149415
       2             1.00046            0.999574         0.000451876
       3             1.00003            0.999687         0.000339018
       4             1.00032            0.999814         0.000291855
       5            0.997333            0.999401         0.000477363
       6              1.0027            0.999872         0.000620306
       7            0.997888            0.999624         0.000591663
       8            0.998097            0.999454         0.000548674
       9            0.999338            0.999443         0.000490887
      10            0.999131            0.999414         0.000444928
      11             1.00002            0.999464         0.000409245
      12             1.00069            0.999559         0.000388114
      13            0.999334            0.999543         0.000359683
      14            0.999329            0.999529          0.00033515
      15             0.99838            0.999457         0.000321619
      16             1.00027            0.999505         0.000305907
      17             1.00157            0.999619         0.000310373
      18             1.00122            0.999704         0.000305427
      19            0.999631              0.9997         0.000289776
      20             1.00023            0.999725          0.00027677
      21            0.999133            0.999698          0.00026526
      22            0.998956            0.999666         0.000255512
      23            0.999104            0.999642         0.000245753
      24            0.999887            0.999652         0.000235921
      25             0.99822            0.999597         0.000233265
      26            0.997305            0.999512         0.000239971
      27            0.998779            0.999486         0.000232721
      28             1.00032            0.999515         0.000226367
      29             1.00034            0.999542         0.000220397
      30             1.00194            0.999619         0.000226735
      31             1.00084            0.999657         0.000222827
      32            0.999943            0.999666         0.000216142
      33             1.00056            0.999693         0.000211344
      34             1.00027            0.999709         0.000205882
      35             1.00033            0.999726         0.000200822
      36             1.00033            0.999743         0.000196004
      37             1.00198            0.999802         0.000199665
      38            0.999496            0.999794         0.000194636
      39             1.00009            0.999801         0.000189853
      40             1.00037            0.999815         0.000185683
      41            0.999589             0.99981         0.000181288
      42            0.996894            0.999742         0.000189559
      43             1.00082            0.999766         0.000186811
      44             0.99844            0.999737         0.000184974
      45             1.00001            0.999743         0.000181009
      46             1.00108            0.999771         0.000179371
      47             1.00196            0.999817         0.000181417
      48             1.00016            0.999824         0.000177816
      49            0.998231            0.999792         0.000177114
      50            0.999078            0.999778          0.00017417
      51            0.999679            0.999776         0.000170799
      52            0.998404             0.99975         0.000169533
      53             1.00127            0.999778         0.000168742
      54             0.99695            0.999727         0.000173444
      55             1.00118            0.999753         0.000172272
      56            0.999666            0.999751         0.000169229
      57             1.00046            0.999764         0.000166735
      58             1.00058            0.999777         0.000164462
      59            0.999917             0.99978         0.000161714
      60            0.999817             0.99978         0.000159042
      61              1.0017            0.999811         0.000159482
      62            0.998589            0.999792         0.000158125
      63            0.997803            0.999761         0.000158708
      64            0.999085             0.99975         0.000156592
      65            0.998683            0.999734         0.000155048
      66             0.99973            0.999734         0.000152716
      67            0.999247            0.999727         0.000150624
      68            0.999655            0.999726         0.000148428
      69             1.00039            0.999735         0.000146602
      70            0.999881            0.999737         0.000144537
      71             1.00093            0.999754          0.00014347
      72             0.99862            0.999738         0.000142341
      73            0.999278            0.999732         0.000140541
      74              1.0009            0.999748         0.000139525
      75             1.00155            0.999772           0.0001397
      76             1.00254            0.999808         0.000142498
      77            0.999323            0.999801         0.000140796
      78            0.998634            0.999787         0.000139785
      79            0.999408            0.999782         0.000138108
      80             1.00188            0.999808         0.000138831
      81            0.998704            0.999794         0.000137787
      82             1.00082            0.999807         0.000136674
      83            0.998383             0.99979         0.000136098
      84             1.00031            0.999796         0.000134628
      85            0.998822            0.999784         0.000133534
      86            0.999034            0.999776         0.000132272
      87             1.00187              0.9998          0.00013291
      88             1.00306            0.999836          0.00013642
      89             1.00195             0.99986         0.000136933
      90             0.99814            0.999841         0.000136732
      91             0.99995            0.999842         0.000135243
      92            0.999922            0.999843         0.000133784
      93             1.00066            0.999852         0.000132635
      94            0.998792             0.99984         0.000131705
      95            0.998669            0.999828         0.000130895
      96             1.00009            0.999831         0.000129567
      97             1.00159            0.999849         0.000129494
      98             1.00138            0.999864          0.00012911
      99            0.999074            0.999857         0.000128057
