# BLOCK:       CURRENT_MEAN:   PROGRESSIVE_MEAN:              ERROR:
       0            0.997939            0.997939                   0
       1            0.993163            0.995551          0.00238771
       2             1.00722            0.999441          0.00412719
       3            0.997056            0.998845          0.00297865
       4            0.990179            0.997112          0.00288568
       5            0.992251            0.996302          0.00249151
       6            0.994253            0.996009          0.00212596
       7            0.999085            0.996393          0.00188084
       8              1.0049            0.997339          0.00190912
       9            0.997153             0.99732          0.00170767
      10               1.003            0.997836           0.0016287
      11             1.00211            0.998193          0.00152892
      12            0.993088              0.9978          0.00146019
      13             1.00022            0.997973           0.0013629
      14             1.00033             0.99813          0.00127845
      15             1.00766            0.998726          0.00133601
      16            0.996188            0.998576          0.00126381
      17             1.00265            0.998803          0.00121284
      18             0.99656            0.998685          0.00115329
      19            0.993078            0.998404          0.00112944
      20            0.995545            0.998268          0.00108291
      21             1.00033            0.998362          0.00103677
      22             1.00901            0.998825          0.00109355
      23            0.994406            0.998641          0.00106306
      24            0.991411            0.998352          0.00105987
      25             1.00203            0.998493          0.00102806
      26            0.986529             0.99805          0.00108396
      27            0.989513            0.997745          0.00108812
      28            0.996961            0.997718          0.00105028
      29            0.998421            0.997742          0.00101493
      30            0.998991            0.997782         0.000982476
      31             1.00531            0.998017         0.000979903
      32             1.00668             0.99828         0.000985372
      33             1.00298            0.998418         0.000965891
      34             1.00505            0.998607         0.000956812
      35            0.994413            0.998491         0.000937124
      36            0.995357            0.998406         0.000915371
      37             1.00024            0.998454         0.000892262
      38            0.993813            0.998335         0.000877192
      39             1.00138            0.998411         0.000858359
      40            0.997471            0.998388         0.000837476
      41            0.996052            0.998333         0.000819183
      42              1.0011            0.998397         0.000802483
      43             1.00768            0.998608         0.000811915
      44            0.990002            0.998417         0.000816382
      45             1.00193            0.998493         0.000802075
      46             1.00795            0.998694         0.000810183
      47             1.01045            0.998939         0.000830054
      48             1.00126            0.998986         0.000814314
      49             0.99687            0.998944         0.000798984
      50             1.00616            0.999085         0.000795846
      51            0.997632            0.999057         0.000780891
      52             1.00065            0.999088         0.000766607
      53             1.00893             0.99927         0.000774044
      54            0.994759            0.999188         0.000764253
      55             0.99712            0.999151          0.00075139
      56             1.00109            0.999185         0.000738874
      57            0.998542            0.999174         0.000726108
      58             0.99725            0.999141         0.000714439
      59              1.0019            0.999187          0.00070393
      60             1.00463            0.999276          0.00069803
      61             1.00362            0.999346         0.000690238
      62             1.00503            0.999437          0.00068516
      63             1.00125            0.999465         0.000674961
      64             1.00481            0.999547         0.000669565
      65             1.00022            0.999557         0.000659422
      66             1.00292            0.999608         0.000651436
      67            0.993609            0.999519         0.000647819
      68             1.00284            0.999568         0.000640176
      69            0.992538            0.999467         0.000638906
      70            0.999011            0.999461         0.000629876
      71            0.997278             0.99943         0.000621805
      72            0.999266            0.999428         0.000613232
      73            0.997773            0.999406         0.000605302
      74            0.998622            0.999395         0.000597268
      75            0.998904            0.999389         0.000589392
      76             1.00099             0.99941          0.00058206
      77             1.00282            0.999453         0.000576211
      78             1.00555            0.999531         0.000574079
      79            0.998285            0.999515         0.000567072
      80            0.999431            0.999514         0.000560028
      81             1.00511            0.999582         0.000557346
      82             1.00348            0.999629          0.00055259
      83             1.00529            0.999696          0.00055011
      84             1.00623            0.999773            0.000549
      85             1.00382             0.99982         0.000544619
      86            0.996079            0.999777         0.000540038
      87            0.997685            0.999754         0.000534395
      88            0.998213            0.999736          0.00052864
      89             1.00532            0.999798         0.000526396
      90            0.990132            0.999692         0.000531306
      91            0.998691            0.999681         0.000525612
      92             1.00601            0.999749         0.000524367
      93            0.998502            0.999736         0.000518928
      94              0.9973             0.99971         0.000514077
      95             0.99047            0.999614         0.000517719
      96             1.00449            0.999664         0.000514811
      97            0.998676            0.999654         0.000509631
      98             1.00373            0.999695         0.000506138
      99             1.00116             0.99971         0.000501266
