# RW_STEP = 85
# BLOCK:          PROG_MEAN:              ERROR:
       0             8.77166                   0
       1             8.74271           0.0289468
       2             8.83513           0.0939194
       3             8.80236           0.0740562
       4             8.96084             0.16854
       5             9.05622            0.167435
       6             9.15574            0.173003
       7             9.14348            0.150326
       8              9.1953            0.142341
       9             9.15043            0.134988
      10             9.13449            0.123137
      11             9.14472            0.112873
      12             9.18736            0.112242
      13             9.15542            0.108714
      14             9.17172            0.102512
      15             9.19195           0.0980014
      16             9.17684           0.0932876
      17             9.17401           0.0879981
      18             9.17425           0.0832382
      19             9.18823           0.0801959
      20              9.1901           0.0763043
      21             9.16322           0.0775584
      22             9.16779           0.0742505
      23             9.17538           0.0714931
      24             9.20429           0.0744176
      25             9.21319           0.0720509
      26              9.1947           0.0717547
      27             9.20414           0.0697851
      28             9.20937            0.067539
      29             9.21228           0.0653135
      30             9.19015           0.0669335
      31             9.17153           0.0674311
      32             9.18182            0.066161
      33             9.18245           0.0641887
      34             9.18098           0.0623451
      35             9.18301           0.0606223
      36             9.17865            0.059122
      37             9.16766           0.0585848
      38             9.17097           0.0571585
      39             9.16484           0.0560471
      40             9.16819           0.0547654
      41             9.16629           0.0534792
      42             9.18112           0.0542856
      43             9.17257           0.0537226
      44              9.1745           0.0525509
      45             9.17794           0.0515109
      46             9.17916           0.0504175
      47              9.1725           0.0498029
      48             9.17549           0.0488679
      49             9.18158           0.0482656
      50             9.18073           0.0473174
      51              9.1922           0.0477973
      52             9.19317           0.0468967
      53             9.20023           0.0465583
      54             9.19534           0.0459651
      55             9.19669           0.0451571
      56             9.19263           0.0445434
      57             9.19999           0.0443831
      58             9.21482           0.0460781
      59             9.21118             0.04545
      60             9.21191           0.0447046
      61             9.21621           0.0441882
      62             9.21219           0.0436672
      63              9.2142           0.0430265
      64             9.22384           0.0434434
      65             9.23261           0.0436691
      66             9.22419           0.0438292
      67             9.22196           0.0432371
      68             9.22002           0.0426502
      69             9.22573           0.0424232
      70             9.22044           0.0421546
      71             9.22563            0.041888
      72             9.22347           0.0413669
      73             9.23202           0.0416905
      74             9.23818           0.0415897
      75             9.23781           0.0410405
      76             9.24755           0.0416588
      77             9.24685           0.0411271
      78             9.24088           0.0410406
      79             9.23495           0.0409559
      80             9.23807            0.040567
      81             9.24715            0.041085
      82             9.25203           0.0408803
      83             9.24411           0.0411601
      84             9.25039           0.0411551
      85             9.25085           0.0406763
      86             9.24854           0.0402723
      87             9.25341           0.0401094
      88             9.25258            0.039665
      89             9.25059            0.039272
      90             9.25315           0.0389225
      91              9.2504           0.0385956
      92             9.24873           0.0382144
      93             9.24646           0.0378742
      94             9.25043           0.0376829
      95             9.24757           0.0373979
      96             9.24644           0.0370275
      97             9.24752           0.0366637
      98             9.24975           0.0363597
      99             9.24855           0.0360141
