# BLOCK:       RW_SIMULATED:               STEP:                  X:                  Y:                  Z:
      17                  50                   0                   0                   1                   0
      17                  50                   1                   0                   2                   0
      17                  50                   2                   0                   3                   0
      17                  50                   3                   0                   3                   1
      17                  50                   4                   0                   3                   2
      17                  50                   5                   0                   3                   3
      17                  50                   6                  -1                   3                   3
      17                  50                   7                  -1                   4                   3
      17                  50                   8                  -1                   4                   2
      17                  50                   9                  -2                   4                   2
      17                  50                  10                  -2                   4                   1
      17                  50                  11                  -1                   4                   1
      17                  50                  12                  -2                   4                   1
      17                  50                  13                  -2                   4                   0
      17                  50                  14                  -2                   4                  -1
      17                  50                  15                  -3                   4                  -1
      17                  50                  16                  -2                   4                  -1
      17                  50                  17                  -2                   4                  -2
      17                  50                  18                  -2                   3                  -2
      17                  50                  19                  -3                   3                  -2
      17                  50                  20                  -3                   3                  -3
      17                  50                  21                  -3                   4                  -3
      17                  50                  22                  -3                   3                  -3
      17                  50                  23                  -3                   3                  -4
      17                  50                  24                  -3                   3                  -3
      17                  50                  25                  -2                   3                  -3
      17                  50                  26                  -2                   3                  -2
      17                  50                  27                  -2                   3                  -3
      17                  50                  28                  -2                   4                  -3
      17                  50                  29                  -2                   4                  -2
      17                  50                  30                  -2                   4                  -1
      17                  50                  31                  -2                   3                  -1
      17                  50                  32                  -2                   4                  -1
      17                  50                  33                  -2                   5                  -1
      17                  50                  34                  -2                   6                  -1
      17                  50                  35                  -3                   6                  -1
      17                  50                  36                  -3                   6                  -2
      17                  50                  37                  -3                   5                  -2
      17                  50                  38                  -3                   5                  -3
      17                  50                  39                  -3                   5                  -4
      17                  50                  40                  -3                   4                  -4
      17                  50                  41                  -3                   5                  -4
      17                  50                  42                  -3                   4                  -4
      17                  50                  43                  -3                   4                  -3
      17                  50                  44                  -4                   4                  -3
      17                  50                  45                  -3                   4                  -3
      17                  50                  46                  -3                   4                  -2
      17                  50                  47                  -3                   5                  -2
      17                  50                  48                  -4                   5                  -2
      17                  50                  49                  -5                   5                  -2
      17                  50                  50                  -4                   5                  -2
      17                  50                  51                  -4                   5                  -1
      17                  50                  52                  -4                   5                  -2
      17                  50                  53                  -4                   4                  -2
      17                  50                  54                  -3                   4                  -2
      17                  50                  55                  -2                   4                  -2
      17                  50                  56                  -1                   4                  -2
      17                  50                  57                  -1                   3                  -2
      17                  50                  58                   0                   3                  -2
      17                  50                  59                   0                   4                  -2
      17                  50                  60                  -1                   4                  -2
      17                  50                  61                  -1                   5                  -2
      17                  50                  62                  -1                   5                  -1
      17                  50                  63                  -1                   4                  -1
      17                  50                  64                  -1                   3                  -1
      17                  50                  65                  -1                   3                   0
      17                  50                  66                  -1                   4                   0
      17                  50                  67                   0                   4                   0
      17                  50                  68                   0                   5                   0
      17                  50                  69                   0                   6                   0
      17                  50                  70                   1                   6                   0
      17                  50                  71                   0                   6                   0
      17                  50                  72                   0                   6                   1
      17                  50                  73                   0                   6                   2
      17                  50                  74                   0                   6                   1
      17                  50                  75                   0                   6                   0
      17                  50                  76                  -1                   6                   0
      17                  50                  77                  -1                   6                   1
      17                  50                  78                  -1                   6                   2
      17                  50                  79                  -1                   7                   2
      17                  50                  80                   0                   7                   2
      17                  50                  81                   0                   6                   2
      17                  50                  82                   0                   6                   1
      17                  50                  83                  -1                   6                   1
      17                  50                  84                  -2                   6                   1
      17                  50                  85                  -2                   7                   1
      17                  50                  86                  -2                   8                   1
      17                  50                  87                  -2                   7                   1
      17                  50                  88                  -2                   6                   1
      17                  50                  89                  -2                   5                   1
      17                  50                  90                  -2                   4                   1
      17                  50                  91                  -2                   3                   1
      17                  50                  92                  -2                   3                   2
      17                  50                  93                  -2                   4                   2
      17                  50                  94                  -2                   5                   2
      17                  50                  95                  -2                   5                   1
      17                  50                  96                  -2                   5                   0
      17                  50                  97                  -2                   6                   0
      17                  50                  98                  -2                   5                   0
      17                  50                  99                  -2                   4                   0
