# RW_STEP = 15
# BLOCK:          PROG_MEAN:              ERROR:
       0              4.1497                   0
       1             4.11813           0.0315677
       2             4.10271           0.0238772
       3             4.08822           0.0222484
       4             4.05899           0.0339297
       5             4.04623           0.0304986
       6             4.04425            0.025852
       7             4.02894           0.0271255
       8             4.01218           0.0292064
       9             4.02738           0.0302208
      10             4.01708           0.0292119
      11             4.02973           0.0295169
      12             4.03803           0.0283919
      13             4.03904           0.0263051
      14             4.03037           0.0259788
      15             4.03828           0.0255558
      16             4.01558            0.033038
      17             4.00952           0.0317335
      18             4.01293             0.03021
      19             4.02299           0.0303763
      20             4.01337           0.0304527
      21              4.0211           0.0300453
      22              4.0232            0.028786
      23             4.01844           0.0279685
      24             4.01262           0.0274501
      25              3.9994            0.029503
      26             3.99103           0.0295955
      27             3.99251           0.0285571
      28             3.99059           0.0276212
      29             4.00149           0.0288226
      30             4.00352           0.0279513
      31             3.99765           0.0276925
      32               4.004           0.0275807
      33             3.99777           0.0274734
      34              3.9979           0.0266773
      35               3.996           0.0259954
      36             3.99631            0.025285
      37             3.99259           0.0248905
      38              3.9911           0.0242897
      39              3.9944           0.0239035
      40             3.99441           0.0233133
      41             4.00216           0.0240337
      42             4.01003           0.0247521
      43             4.01188           0.0242537
      44             4.01055           0.0237457
      45             4.01252           0.0233072
      46             4.01226           0.0228075
      47             4.01472           0.0224625
      48             4.01472           0.0219993
      49             4.01923           0.0220218
      50             4.01611           0.0218102
      51             4.01575           0.0213897
      52             4.01649            0.020995
      53             4.01581           0.0206137
      54             4.01217           0.0205597
      55             4.01476            0.020354
      56             4.01602           0.0200334
      57             4.01668           0.0196962
      58             4.01097           0.0201846
      59              4.0049           0.0207522
      60             4.00337           0.0204665
      61             4.00312           0.0201353
      62             4.00467           0.0198742
      63             4.00847           0.0199253
      64             4.01141           0.0198365
      65             4.01556           0.0199681
      66             4.01738           0.0197521
      67             4.01356           0.0198307
      68             4.01472           0.0195759
      69             4.01925           0.0198171
      70             4.02091            0.019607
      71             4.02237           0.0193873
      72             4.02748           0.0197911
      73             4.02454           0.0197408
      74             4.02232           0.0196028
      75             4.02139           0.0193651
      76             4.01953           0.0192023
      77              4.0212           0.0190279
      78             4.01527           0.0197002
      79             4.01773           0.0196071
      80             4.01714           0.0193725
      81             4.01462              0.0193
      82             4.01032           0.0195445
      83             4.01417           0.0196902
      84             4.01585           0.0195295
      85             4.01284           0.0195332
      86              4.0129           0.0193074
      87             4.01633           0.0193932
      88             4.01541           0.0191961
      89              4.0159            0.018988
      90             4.01467           0.0188185
      91             4.01141            0.018896
      92             4.01006           0.0187404
      93             4.00855           0.0186016
      94              4.0079           0.0184161
      95             4.01013           0.0183584
      96             4.00955           0.0181771
      97             4.01284           0.0182878
      98             4.01513           0.0182473
      99             4.01585            0.018078
