#       RW:                  X:                  Y:                  Z:
          0                   1                   4                  -1
          1                  -2                 -12                  10
          2                  -3                   0                  -1
          3                  -5                   8                  -3
          4                   8                   6                   2
          5                   0                  -1                  -5
          6                   0                   3                   1
          7                   1                  -5                   6
          8                   0                  -3                  -3
          9                  12                  -4                  -4
         10                   1                  -6                 -13
         11                   5                   5                   0
         12                  -4                  12                  -8
         13                   2                  11                  11
         14                  -2                   0                   0
         15                  -5                 -14                   3
         16                   3                   3                   2
         17                   0                   1                  -3
         18                  -7                  10                  -5
         19                   3                  11                   2
         20                  -2                   3                  -1
         21                   1                   7                  -4
         22                  -1                  -6                   1
         23                  -3                  -5                  -6
         24                  -8                  -2                   0
         25                  -1                   9                  -4
         26                   0                   6                  -8
         27                  -6                  12                  -8
         28                  -7                   5                   6
         29                  -4                   2                  -4
         30                   4                  -8                   4
         31                   2                  -1                   1
         32                  -2                   0                   8
         33                   4                   3                   5
         34                   2                  18                   4
         35                  -6                  -2                   0
         36                   0                  -4                  -6
         37                   9                  -2                  -3
         38                   2                  -3                   5
         39                  -1                   4                   7
         40                   6                   4                  10
         41                   3                   7                   4
         42                  -1                  -8                  -7
         43                  -3                  -1                  -8
         44                   0                  13                 -11
         45                 -18                  -2                  -6
         46                  -2                   5                 -13
         47                  -7                   6                   9
         48                   3                   2                  -3
         49                   4                  -2                   4
         50                  -5                  -1                   4
         51                   0                  -5                  -1
         52                   3                 -12                   5
         53                  -3                  -4                   7
         54                  -5                   4                   3
         55                  12                   3                  -3
         56                   8                   8                  -6
         57                  -3                   3                   0
         58                   4                  -4                  -2
         59                 -11                   0                  -5
         60                   3                  -6                   3
         61                   0                  10                   2
         62                   3                 -10                  -1
         63                  -5                  -1                  -2
         64                  -6                   4                   8
         65                  -4                  -1                  -3
         66                   6                 -12                   4
         67                  -2                   6                  -6
         68                   8                   2                   0
         69                   1                  -3                  -2
         70                  -3                  -8                  -1
         71                   1                   1                  -6
         72                  -5                  -1                   6
         73                  23                   2                   5
         74                   6                  -2                   2
         75                  -3                  10                  -3
         76                   3                  14                   9
         77                   4                   1                  -3
         78                   7                  -6                  -3
         79                  -1                   0                  -5
         80                   4                 -11                   7
         81                   8                   1                  -5
         82                   1                 -13                   0
         83                   7                  -7                   0
         84                   0                  -3                  -9
         85                  -1                   1                  -4
