# LAST BLOCK (99) SQRT MEAN DISTANCE FROM START POSITION FOR EACH STEP IN RW
# STEP:          PROG_MEAN:              ERROR:
      0                   1                   0
      1             1.41579          0.00394344
      2             1.73849          0.00556246
      3             2.01063          0.00663146
      4             2.25157          0.00767795
      5             2.45752          0.00874899
      6             2.64232          0.00927749
      7             2.82892          0.00944454
      8             2.99882           0.0107673
      9             3.16706           0.0113419
     10             3.32177           0.0135697
     11             3.47349           0.0147958
     12             3.61446           0.0159848
     13             3.75243           0.0168379
     14             3.88265           0.0182128
     15             4.01585            0.018078
     16             4.14774           0.0183907
     17             4.27115           0.0183919
     18             4.38798           0.0192914
     19             4.49849           0.0198919
     20             4.60671           0.0211277
     21             4.70653           0.0196301
     22             4.80457           0.0196107
     23             4.91562           0.0200715
     24             5.00825           0.0204165
     25             5.11307           0.0198244
     26             5.19994           0.0198639
     27             5.29973            0.019031
     28             5.39001            0.018906
     29             5.48821           0.0177886
     30             5.57857           0.0183964
     31             5.65951           0.0192079
     32              5.7524           0.0206339
     33             5.84027           0.0210816
     34             5.92342           0.0211064
     35             6.01033           0.0207623
     36             6.09008           0.0215344
     37             6.17485           0.0219929
     38             6.26018           0.0221112
     39             6.34089           0.0233686
     40             6.42357           0.0228109
     41             6.49817           0.0222856
     42             6.56967           0.0230907
     43             6.64701            0.023483
     44             6.72277            0.023719
     45             6.80028           0.0233435
     46             6.86839           0.0231478
     47             6.94254           0.0233335
     48             7.01814           0.0242153
     49             7.08819           0.0238731
     50             7.15445           0.0227986
     51             7.22466           0.0232982
     52             7.29139            0.023135
     53             7.36512            0.022998
     54             7.42298           0.0222385
     55              7.4888           0.0230728
     56             7.55966           0.0243266
     57             7.62492           0.0244863
     58             7.69501           0.0248243
     59             7.75531           0.0250625
     60             7.82303           0.0251076
     61              7.8819           0.0250607
     62             7.94236           0.0256331
     63             8.00028           0.0268291
     64             8.06071           0.0281015
     65             8.13165           0.0283795
     66             8.19509           0.0288358
     67             8.26262           0.0290495
     68             8.32484           0.0294464
     69             8.38189           0.0301391
     70             8.44225           0.0298427
     71             8.49874           0.0293278
     72             8.55705           0.0303797
     73             8.62651           0.0315034
     74             8.68019            0.032389
     75             8.74569           0.0333981
     76              8.8005           0.0330471
     77             8.85372           0.0324476
     78             8.90843           0.0324499
     79             8.96787           0.0332337
     80             9.02162           0.0338287
     81             9.08597           0.0343146
     82             9.14905           0.0351402
     83             9.20406           0.0355411
     84             9.25163           0.0355155
     85             9.30232           0.0352727
     86             9.36416           0.0347955
     87             9.41451           0.0348382
     88             9.47163           0.0339244
     89             9.52463           0.0338075
     90             9.57581           0.0338221
     91             9.62334           0.0339419
     92             9.67527           0.0338467
     93             9.72169           0.0338977
     94             9.77246           0.0342407
     95             9.81613           0.0332365
     96             9.86683            0.034026
     97             9.91591           0.0344632
     98             9.96726           0.0341486
     99              10.007           0.0345753
