# BLOCK:          CURR_MEAN:          PROG_MEAN:             ERROR:
       0             15.0817             15.0817                   0
       1             14.7627             14.9222            0.159498
       2             15.1147             14.9864            0.112237
       3             15.0481             15.0018           0.0808492
       4             14.7805             14.9575           0.0766924
       5             14.8975             14.9475           0.0634132
       6             15.0628              14.964           0.0560673
       7             15.3815             15.0162           0.0712787
       8             14.6994              14.981           0.0720471
       9             15.0852             14.9914           0.0652775
      10             15.2421             15.0142           0.0632925
      11             15.0456             15.0168            0.057837
      12              14.978             15.0138           0.0532859
      13             15.4875             15.0477           0.0598199
      14             15.3904             15.0705            0.060194
      15             14.7525             15.0506           0.0597112
      16             14.6872             15.0293           0.0600244
      17             15.1857              15.038           0.0572553
      18             14.8003             15.0254           0.0555832
      19               15.16             15.0322           0.0531584
      20             14.9625             15.0289           0.0506725
      21              14.818             15.0193           0.0492561
      22             15.1503              15.025           0.0474092
      23             14.7673             15.0142            0.046643
      24             15.3899             15.0293           0.0471942
      25             14.8222             15.0213           0.0460365
      26             14.5294             15.0031           0.0478989
      27             15.1023             15.0066           0.0462924
      28             15.0853             15.0093             0.04475
      29             14.9088              15.006           0.0433622
      30             15.0476             15.0073           0.0419616
      31             15.0202             15.0077           0.0406311
      32             14.6865              14.998           0.0405657
      33             15.1949             15.0038           0.0397785
      34             14.9474             15.0022           0.0386588
      35             14.9286             15.0001           0.0376252
      36             14.8693             14.9966           0.0367645
      37             15.2347             15.0029           0.0363282
      38             14.8153              14.998           0.0357099
      39             14.6571             14.9895            0.035834
      40             14.8664             14.9865           0.0350779
      41             14.9592             14.9859           0.0342387
      42             14.9774             14.9857           0.0334335
      43             15.3033             14.9929           0.0334531
      44              15.134              14.996           0.0328513
      45             14.9986             14.9961           0.0321292
      46              14.956             14.9952           0.0314497
      47             15.0593             14.9966           0.0308165
      48             14.9692              14.996           0.0301862
      49             14.7244             14.9906           0.0300711
      50             14.8285             14.9874           0.0296465
      51             15.0155             14.9879           0.0290758
      52             15.0457              14.989           0.0285427
      53             15.0147             14.9895           0.0280132
      54             14.6402             14.9832           0.0282229
      55             15.0004             14.9835           0.0277161
      56             15.0479             14.9846            0.027249
      57             15.1192             14.9869           0.0268755
      58             15.3348             14.9928           0.0270662
      59             14.9998             14.9929           0.0266115
      60             14.7932             14.9897           0.0263757
      61             14.9475              14.989           0.0259557
      62             15.1693             14.9918           0.0257002
      63             14.7477              14.988           0.0255815
      64             14.8543              14.986           0.0252687
      65             15.3904             14.9921           0.0256264
      66             15.0618             14.9931           0.0252624
      67             15.0391             14.9938           0.0248973
      68             15.3337             14.9987           0.0250234
      69             15.0643             14.9997           0.0246812
      70             14.9453             14.9989           0.0243431
      71             15.1551             15.0011           0.0241005
      72             14.8031             14.9984           0.0239223
      73             14.7002             14.9943           0.0239382
      74             14.7352             14.9909           0.0238683
      75             14.9676             14.9906           0.0235542
      76             14.8157             14.9883           0.0233569
      77             15.0659             14.9893           0.0230769
      78             15.0425               14.99           0.0227929
      79             14.8958             14.9888           0.0225369
      80             15.1645              14.991           0.0223624
      81             15.3437             14.9953           0.0225031
      82             15.0421             14.9958           0.0222375
      83             14.8151             14.9937           0.0220762
      84             14.8852             14.9924           0.0218522
      85             14.9242             14.9916           0.0216112
      86              15.073             14.9925           0.0213818
      87             14.9931             14.9925           0.0211374
      88             14.8294             14.9907           0.0209788
      89             15.0796             14.9917           0.0207679
      90             15.2783             14.9949           0.0207785
      91              15.121             14.9962           0.0205971
      92             14.7829             14.9939           0.0205031
      93             14.9294             14.9932           0.0202954
      94             14.9948             14.9933           0.0200807
      95             14.7076             14.9903            0.020092
      96             15.2621             14.9931           0.0200802
      97             14.9794             14.9929           0.0198748
      98             14.6382             14.9894           0.0199967
      99             14.5713             14.9852           0.0202323
