# BLOCK:          CURR_MEAN:          PROG_MEAN:             ERROR:
       0              15.013              15.013                   0
       1             15.0654             15.0392           0.0261638
       2             14.7699             14.9494           0.0910202
       3             14.9711             14.9548           0.0645878
       4             14.7217             14.9082           0.0683878
       5             14.8881             14.9049           0.0559391
       6              15.158              14.941            0.059522
       7             15.0005             14.9485           0.0520816
       8             14.6791             14.9185           0.0548241
       9             14.6833              14.895           0.0543867
      10             14.8307             14.8892           0.0495409
      11             15.1215             14.9085           0.0491955
      12             14.9578             14.9123           0.0454115
      13             15.3046             14.9403            0.050524
      14             14.7673             14.9288           0.0484289
      15             15.2908             14.9514           0.0506367
      16              14.969             14.9525           0.0475761
      17             15.0391             14.9573           0.0451126
      18             14.8108             14.9496           0.0433631
      19             14.8763             14.9459           0.0413006
      20             14.9974             14.9484           0.0393611
      21             14.8775             14.9451           0.0376674
      22             14.8813             14.9424           0.0360992
      23             14.8078             14.9367            0.035014
      24             15.2271             14.9484           0.0355353
      25             15.2356             14.9594            0.035884
      26             15.1853             14.9678           0.0355287
      27             15.2727             14.9787            0.035927
      28             15.0412             14.9808           0.0347331
      29             14.8438             14.9763           0.0338649
      30             14.6554             14.9659           0.0343504
      31             14.9353             14.9649           0.0332734
      32             14.7694              14.959           0.0327894
      33             15.1232             14.9639           0.0321749
      34             14.5633             14.9524           0.0332726
      35             15.0251             14.9544           0.0323981
      36             15.1023             14.9584           0.0317626
      37             15.1481             14.9634           0.0313159
      38             14.9631             14.9634           0.0305024
      39             14.7141             14.9572           0.0303766
      40             14.9571             14.9572           0.0296264
      41             15.0909             14.9604           0.0290872
      42             15.1303             14.9643           0.0286762
      43             14.8653             14.9621           0.0281071
      44             14.9315             14.9614           0.0274838
      45             15.1646             14.9658           0.0272402
      46              15.443             14.9759            0.028523
      47             14.7485             14.9712           0.0283217
      48             15.1566              14.975           0.0279946
      49             14.5815             14.9671           0.0285356
      50             15.1762             14.9712           0.0282693
      51             14.9329             14.9705           0.0277301
      52             14.9391             14.9699           0.0272083
      53             14.8871             14.9684           0.0267436
      54             14.9606             14.9682           0.0262533
      55             14.7191             14.9638           0.0261612
      56              15.244             14.9687           0.0261641
      57             14.7076             14.9642              0.0261
      58             14.7879             14.9612           0.0258272
      59             14.6406             14.9559           0.0259491
      60             15.2233             14.9602           0.0258941
      61             14.9092             14.9594           0.0254863
      62             15.3227             14.9652           0.0257331
      63             14.7765             14.9622           0.0254989
      64             15.0699             14.9639           0.0251581
      65             14.6165             14.9586            0.025327
      66             15.1636             14.9617           0.0251331
      67             14.9354             14.9613           0.0247638
      68             14.9696             14.9614           0.0244025
      69             14.9405             14.9611           0.0240532
      70             15.2027             14.9645           0.0239549
      71             15.0205             14.9653           0.0236326
      72             15.2708             14.9695           0.0236794
      73             14.9659             14.9694           0.0233572
      74             15.2604             14.9733           0.0233681
      75             14.9311             14.9728           0.0230652
      76             15.0087             14.9732           0.0227685
      77             15.1224             14.9751           0.0225559
      78             15.1343             14.9772           0.0223595
      79              15.082             14.9785           0.0221171
      80             15.0329             14.9791           0.0218527
      81             14.7645             14.9765           0.0217427
      82             15.0743             14.9777           0.0215114
      83             14.9358             14.9772           0.0212596
      84             14.8521             14.9757           0.0210595
      85              15.029             14.9763           0.0208224
      86             14.9747             14.9763           0.0205817
      87             14.8577              14.975           0.0203911
      88             15.1686             14.9772           0.0202777
      89             14.8355             14.9756           0.0201129
      90              15.006             14.9759           0.0198934
      91              15.193             14.9783            0.019817
      92             15.1526             14.9802           0.0196921
      93             14.9618               14.98           0.0194825
      94             14.9184             14.9793           0.0192872
      95             14.7516             14.9769            0.019232
      96             14.4055              14.971           0.0199237
      97             15.1297             14.9727           0.0197857
      98             15.0731             14.9737           0.0196111
      99             15.0156             14.9741           0.0194185
