# BLOCK:          CURR_MEAN:          PROG_MEAN:             ERROR:
       0             5.42841             5.42841                   0
       1             5.41671             5.42256          0.00584933
       2             5.49707             5.44739           0.0250659
       3             5.42861              5.4427           0.0183359
       4             5.47369              5.4489           0.0154965
       5             5.40233             5.44114           0.0148432
       6             5.53223             5.45415           0.0180753
       7             5.41403             5.44913           0.0164374
       8             5.46234              5.4506           0.0145705
       9             5.55394             5.46093            0.016632
      10             5.40072             5.45546           0.0160092
      11             5.39318             5.45027           0.0155085
      12             5.62415             5.46365           0.0195552
      13             5.33617             5.45454           0.0202655
      14             5.50674             5.45802           0.0191843
      15             5.34944             5.45123           0.0191856
      16             5.46163             5.45185           0.0180321
      17             5.51874             5.45556           0.0174023
      18             5.64999             5.46579           0.0193823
      19             5.34018             5.45951           0.0194307
      20             5.42094             5.45768           0.0185733
      21              5.6146             5.46481           0.0190916
      22             5.42408             5.46304           0.0183284
      23             5.34325             5.45805           0.0182441
      24              5.2442             5.44949            0.019478
      25             5.41565             5.44819           0.0187591
      26             5.49572             5.44995           0.0181365
      27             5.49166             5.45144           0.0175402
      28             5.46428             5.45188           0.0169303
      29             5.52065             5.45418           0.0165161
      30             5.61775             5.45945           0.0168233
      31             5.60278             5.46393           0.0168936
      32             5.57996             5.46745           0.0167469
      33             5.38818             5.46512           0.0164133
      34               5.541             5.46728           0.0160842
      35             5.34014             5.46375           0.0160251
      36             5.41604             5.46246           0.0156392
      37              5.4549             5.46226           0.0152234
      38             5.44027              5.4617           0.0148386
      39             5.46733             5.46184           0.0144636
      40             5.39162             5.46013             0.01421
      41             5.48032             5.46061           0.0138759
      42             5.48056             5.46107           0.0135573
      43             5.50985             5.46218           0.0132919
      44             5.33588             5.45938           0.0132928
      45             5.41161             5.45834           0.0130421
      46             5.48337             5.45887           0.0127726
      47             5.60029             5.46182           0.0128462
      48             5.39346             5.46042           0.0126584
      49             5.53307             5.46187           0.0124874
      50             5.50316             5.46268           0.0122669
      51             5.58077             5.46495           0.0122411
      52             5.47764             5.46519           0.0120103
      53             5.47532             5.46538           0.0117873
      54             5.43778             5.46488           0.0115819
      55             5.56951             5.46675           0.0115256
      56             5.35755             5.46483           0.0114825
      57             5.52459             5.46586           0.0113298
      58             5.41276             5.46496           0.0111724
      59             5.65318              5.4681           0.0114238
      60             5.43106             5.46749           0.0112513
      61             5.44594             5.46714           0.0110738
      62             5.48503             5.46743           0.0109003
      63             5.60264             5.46954           0.0109347
      64             5.45738             5.46935           0.0107668
      65             5.42005             5.46861           0.0106287
      66             5.46703             5.46858           0.0104688
      67             5.37296             5.46718           0.0104092
      68             5.34346             5.46538           0.0104127
      69             5.39297             5.46435           0.0103149
      70             5.55843             5.46567           0.0102546
      71             5.51084              5.4663           0.0101306
      72             5.35069             5.46472           0.0101156
      73             5.42341             5.46416          0.00999355
      74             5.39352             5.46322          0.00990429
      75             5.52531             5.46403          0.00980719
      76             5.46195             5.46401          0.00967903
      77             5.40667             5.46327          0.00958237
      78             5.53163             5.46414          0.00949979
      79             5.55239             5.46524          0.00944494
      80             5.38831             5.46429          0.00937584
      81             5.58818              5.4658          0.00938321
      82             5.38953             5.46488          0.00931491
      83             5.37632             5.46383          0.00926355
      84             5.51015             5.46437          0.00917012
      85             5.38421             5.46344          0.00911067
      86             5.42345             5.46298          0.00901707
      87             5.51926             5.46362          0.00893693
      88             5.28742             5.46164          0.00905503
      89             5.28865             5.45972          0.00915785
      90             5.51556             5.46033          0.00907742
      91             5.57515             5.46158          0.00906454
      92             5.48526             5.46184          0.00897016
      93             5.53244             5.46259          0.00890595
      94             5.40889             5.46202          0.00882982
      95             5.49908             5.46241          0.00874588
      96              5.6001             5.46383          0.00877088
      97             5.35864             5.46275          0.00874702
      98             5.37243             5.46184          0.00870616
      99             5.40212             5.46124          0.00863933
