#     BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
           1              3.1589              3.1589                   0
           2             3.25603             3.20747           0.0343397
           3             3.26829             3.22774           0.0282507
           4             3.26225             3.23637           0.0224664
           5             3.26608             3.24231           0.0187423
           6             3.28669             3.24971           0.0170155
           7             3.24022             3.24835           0.0146386
           8             3.26582             3.25053           0.0129707
           9             3.31148             3.25731           0.0131794
          10             3.34814             3.26639           0.0146614
          11              3.2398             3.26397           0.0135263
          12             3.25588              3.2633           0.0124159
          13             3.26414             3.26336            0.011461
          14             3.30712             3.26649           0.0110604
          15              3.2873             3.26788           0.0104098
          16             3.30017             3.26989           0.0099529
          17             3.26432             3.26957          0.00937284
          18             3.28433             3.27039          0.00888791
          19             3.25921              3.2698          0.00843959
          20             3.21705             3.26716          0.00841959
