#     BLOCK:         BIN_CENTER:           ACTUAL_V:              V_AVE:              ERROR:
           1            0.142887                   0                   0                   0
           1            0.428661           0.0200236           0.0200236                   0
           1            0.714435           0.0946423           0.0946423                   0
           1             1.00021            0.146969            0.146969                   0
           1             1.28598            0.206813            0.206813                   0
           1             1.57176            0.383073            0.383073                   0
           1             1.85753             0.41225             0.41225                   0
           1              2.1433            0.468676            0.468676                   0
           1             2.42908            0.503182            0.503182                   0
           1             2.71485            0.373385            0.373385                   0
           1             3.00062             0.29585             0.29585                   0
           1              3.2864            0.279682            0.279682                   0
           1             3.57217            0.141591            0.141591                   0
           1             3.85795            0.059277            0.059277                   0
           1             4.14372           0.0431577           0.0431577                   0
           1             4.42949           0.0122312           0.0122312                   0
           1             4.71527          0.00207364          0.00207364                   0
           1             5.00104         0.000162003         0.000162003                   0
           1             5.28682           0.0179662           0.0179662                   0
           1             5.57259          0.00586452          0.00586452                   0
           1             5.85836                   0                   0                   0
           1             6.14414                   0                   0                   0
           1             6.42991           0.0155037           0.0155037                   0
           1             6.71568           0.0168969           0.0168969                   0
           1             7.00146                   0                   0                   0
           1             7.28723                   0                   0                   0
           1             7.57301                   0                   0                   0
           1             7.85878                   0                   0                   0
           1             8.14455                   0                   0                   0
           1             8.43033                   0                   0                   0


           2            0.142887                   0                   0                   0
           2            0.428661           0.0120692           0.0160464          0.00281229
           2            0.714435           0.0244625           0.0595524           0.0248123
           2             1.00021            0.137476            0.142223          0.00335642
           2             1.28598            0.416656            0.311735           0.0741907
           2             1.57176            0.270756            0.326915             0.03971
           2             1.85753            0.423412            0.417831          0.00394637
           2              2.1433            0.483142            0.475909          0.00511482
           2             2.42908            0.408086            0.455634           0.0336215
           2             2.71485            0.437052            0.405219           0.0225098
           2             3.00062            0.316036            0.305943          0.00713669
           2              3.2864            0.170832            0.225257           0.0384843
           2             3.57217            0.147585            0.144588          0.00211924
           2             3.85795           0.0573654           0.0583212         0.000675866
           2             4.14372           0.0811312           0.0621445           0.0134257
           2             4.42949            0.058953           0.0355921           0.0165186
           2             4.71527          0.00524891          0.00366127          0.00112263
           2             5.00104            0.017788          0.00897498          0.00623172
           2             5.28682          0.00247865           0.0102224          0.00547566
           2             5.57259         0.000259205          0.00306186          0.00198178
           2             5.85836          0.00696614          0.00348307           0.0024629
           2             6.14414          0.00835937          0.00417968          0.00295548
           2             6.42991         0.000194404          0.00784906          0.00541266
           2             6.71568           0.0115832           0.0142401          0.00187868
           2             7.00146          0.00137703         0.000688514         0.000486853
           2             7.28723                   0                   0                   0
           2             7.57301                   0                   0                   0
           2             7.85878                   0                   0                   0
           2             8.14455                   0                   0                   0
           2             8.43033                   0                   0                   0


           3            0.142887         0.000113402         3.78008e-05         3.08642e-05
           3            0.428661          0.00669074           0.0129279          0.00316208
           3            0.714435           0.0860561            0.068387           0.0180459
           3             1.00021            0.223176            0.169207            0.022146
           3             1.28598            0.232361            0.285277           0.0539723
           3             1.57176            0.298928            0.317586           0.0275473
           3             1.85753             0.48635            0.440671           0.0188333
           3              2.1433            0.450078            0.467298          0.00781371
           3             2.42908            0.391011            0.434093           0.0284912
           3             2.71485            0.325886            0.378774           0.0262944
           3             3.00062            0.274304            0.295397          0.00983808
           3              3.2864             0.25718            0.235898           0.0270874
           3             3.57217            0.119947            0.136374          0.00685355
           3             3.85795            0.171561            0.096068           0.0308234
           3             4.14372            0.121535           0.0819413           0.0184766
           3             4.42949           0.0157791           0.0289878           0.0122618
           3             4.71527          0.00348307          0.00360187         0.000749987
           3             5.00104          0.00233285          0.00676094          0.00453075
           3             5.28682         0.000793816          0.00707954          0.00446215
           3             5.57259           0.0260987           0.0107408          0.00640753
           3             5.85836          0.00560531          0.00419049          0.00174057
           3             6.14414                   0          0.00278646          0.00227513
           3             6.42991                   0          0.00523271          0.00419337
           3             6.71568                   0          0.00949339          0.00407301
           3             7.00146                   0         0.000459009          0.00037478
           3             7.28723                   0                   0                   0
           3             7.57301                   0                   0                   0
           3             7.85878                   0                   0                   0
           3             8.14455                   0                   0                   0
           3             8.43033                   0                   0                   0


           4            0.142887          9.7202e-05         5.26511e-05         2.64808e-05
           4            0.428661           0.0340693           0.0182132          0.00515515
           4            0.714435            0.108445           0.0784015           0.0160748
           4             1.00021            0.171302            0.169731           0.0166157
           4             1.28598            0.402076            0.314477           0.0477288
           4             1.57176            0.391513            0.336068            0.026135
           4             1.85753            0.292351            0.403591           0.0350813
           4              2.1433            0.308341            0.427559           0.0349107
           4             2.42908            0.403923            0.426551           0.0223445
           4             2.71485            0.366856            0.375795           0.0198889
           4             3.00062            0.244414            0.282651           0.0132771
           4              3.2864            0.212889            0.230146           0.0209174
           4             3.57217            0.145236             0.13859          0.00548655
           4             3.85795            0.197061            0.121316           0.0318202
           4             4.14372           0.0766114           0.0806088           0.0139054
           4             4.42949           0.0731931           0.0400391            0.013273
           4             4.71527            0.057819           0.0171561           0.0117518
