#     BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
           1           -0.191763           -0.191763                   0
           2           -0.288877            -0.24032           0.0343349
           3           -0.301085           -0.260575           0.0282393
           4           -0.295044           -0.269192           0.0224557
           5           -0.298923           -0.275138           0.0187353
           6           -0.319531           -0.282537           0.0170111
           7           -0.273005           -0.281176           0.0146353
           8           -0.298667           -0.283362           0.0129682
           9           -0.344327           -0.290136           0.0131782
          10           -0.381007           -0.299223           0.0146624
          11           -0.272551           -0.296798           0.0135285
          12           -0.288762           -0.296129           0.0124177
          13           -0.297074           -0.296201           0.0114627
          14           -0.340043           -0.299333           0.0110634
          15           -0.320133            -0.30072           0.0104124
          16           -0.333045            -0.30274           0.0099557
          17           -0.297108           -0.302409          0.00937558
          18           -0.317144           -0.303227          0.00889038
          19           -0.292024           -0.302638            0.008442
          20           -0.249806           -0.299996          0.00842306
