#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
           1            0.103694            0.103694                   0
           2            0.102367             0.10303         0.000468994
           3            0.106353            0.104138         0.000956835
           4            0.111466             0.10597          0.00174138
           5            0.104319             0.10564          0.00142408
           6            0.106713            0.105819          0.00119792
           7            0.106315            0.105889          0.00102888
           8            0.103575              0.1056         0.000940068
           9            0.105409            0.105579         0.000835856
          10            0.104698            0.105491         0.000756902
          11            0.104359            0.105388         0.000695046
          12            0.106829            0.105508         0.000647423
          13            0.102204            0.105254         0.000645588
          14            0.105659            0.105283         0.000600122
          15            0.105954            0.105328          0.00056178
          16            0.105535             0.10534         0.000526818
          17            0.102185            0.105155         0.000527515
          18            0.105842            0.105193          0.00049959
          19             0.10379            0.105119         0.000478722
          20            0.105182            0.105122         0.000454797
