#     BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
           1             2.10594             2.10594                   0
           2             2.17069             2.13831           0.0228931
           3             2.17886             2.15183           0.0188338
           4             2.17483             2.15758           0.0149776
           5             2.17738             2.16154           0.0124949
           6             2.19112             2.16647           0.0113437
           7             2.16015             2.16557          0.00975908
           8             2.17721             2.16702          0.00864713
           9             2.20766             2.17154          0.00878629
          10              2.2321             2.17759          0.00977425
          11             2.15987             2.17598          0.00901755
          12             2.17059             2.17553           0.0082773
          13             2.17609             2.17558          0.00764069
          14             2.20475             2.17766          0.00737362
          15             2.19154             2.17858          0.00693984
          16             2.20011             2.17993          0.00663527
          17             2.17621             2.17971          0.00624856
          18             2.18955             2.18026          0.00592528
          19              2.1728             2.17987          0.00562639
          20              2.1447             2.17811          0.00561306
