#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1             2.96718             2.96718                   0
           2             2.96724             2.96721         2.35406e-05
           3             2.96714             2.96718         2.52404e-05
           4             2.96713             2.96717           2.184e-05
           5              2.9671             2.96716         2.19528e-05
           6             2.96716             2.96716         1.83236e-05
           7             2.96715             2.96716         1.57984e-05
           8              2.9672             2.96716         1.48724e-05
           9             2.96711             2.96716         1.43399e-05
          10              2.9671             2.96715         1.38433e-05
          11             2.96721             2.96716         1.35851e-05
          12             2.96709             2.96715         1.34655e-05
          13             2.96716             2.96715         1.24607e-05
          14             2.96703             2.96714         1.43503e-05
          15             2.96716             2.96714         1.34552e-05
          16             2.96709             2.96714         1.30125e-05
          17             2.96717             2.96714         1.23743e-05
          18             2.96709             2.96714         1.20647e-05
          19             2.96719             2.96714         1.17153e-05
          20             2.96725             2.96715         1.22896e-05
