#      V_BIN_CENTER:             COUNTS:
            0.166633                   0
              0.4999                   0
            0.833167                   0
             1.16643                   0
              1.4997                   0
             1.83297                   0
             2.16623                   0
              2.4995                   0
             2.83277              3.0006
             3.16603                   0
              3.4993                   0
             3.83257                   0
             4.16583                   0
              4.4991                   0
             4.83237                   0
             5.16563                   0
              5.4989                   0
             5.83217                   0
             6.16543                   0
              6.4987                   0
             6.83197                   0
             7.16523                   0
              7.4985                   0
             7.83177                   0
             8.16503                   0
              8.4983                   0
             8.83157                   0
             9.16483                   0
              9.4981                   0
             9.83137                   0
