#     BLOCK:         BIN_CENTER:           ACTUAL_V:              V_AVE:              ERROR:
           1            0.166633          0.00795993          0.00795993                   0
           1              0.4999            0.029881            0.029881                   0
           1            0.833167            0.102687            0.102687                   0
           1             1.16643            0.174604            0.174604                   0
           1              1.4997            0.189413            0.189413                   0
           1             1.83297            0.251842            0.251842                   0
           1             2.16623            0.343708            0.343708                   0
           1              2.4995            0.386841            0.386841                   0
           1             2.83277            0.521813            0.521813                   0
           1             3.16603            0.398913            0.398913                   0
           1              3.4993            0.250856            0.250856                   0
           1             3.83257            0.155128            0.155128                   0
           1             4.16583            0.101576            0.101576                   0
           1              4.4991           0.0459953           0.0459953                   0
           1             4.83237           0.0122525           0.0122525                   0
           1             5.16563            0.021032            0.021032                   0
           1              5.4989          0.00547332          0.00547332                   0
           1             5.83217         0.000625125         0.000625125                   0
           1             6.16543                   0                   0                   0
           1              6.4987                   0                   0                   0
           1             6.83197                   0                   0                   0
           1             7.16523                   0                   0                   0
           1              7.4985                   0                   0                   0
           1             7.83177                   0                   0                   0
           1             8.16503                   0                   0                   0
           1              8.4983                   0                   0                   0
           1             8.83157                   0                   0                   0
           1             9.16483                   0                   0                   0
           1              9.4981                   0                   0                   0
           1             9.83137                   0                   0                   0


           2            0.166633          0.00776544          0.00786268         6.87602e-05
           2              0.4999            0.054497            0.042189          0.00870308
           2            0.833167             0.13493            0.118808           0.0113995
           2             1.16643            0.194289            0.184447          0.00695952
           2              1.4997             0.35321            0.271311           0.0579109
           2             1.83297            0.308103            0.279973           0.0198914
           2             2.16623             0.41161            0.377659           0.0240071
           2              2.4995            0.486153            0.436497           0.0351119
           2             2.83277            0.335984            0.428898           0.0657004
           2             3.16603            0.234589            0.316751           0.0580975
           2              3.4993            0.186898            0.218877           0.0226123
           2             3.83257            0.149919            0.152524          0.00184179
           2             4.16583           0.0593174           0.0804466           0.0149406
           2              4.4991           0.0331455           0.0395704          0.00454309
           2             4.83237           0.0345347           0.0233936          0.00787796
           2             5.16563           0.0156559           0.0183439          0.00190073
           2              5.4989                   0          0.00273666          0.00193511
           2             5.83217                   0         0.000312563         0.000221015
           2             6.16543                   0                   0                   0
           2              6.4987                   0                   0                   0
           2             6.83197                   0                   0                   0
           2             7.16523                   0                   0                   0
           2              7.4985                   0                   0                   0
           2             7.83177                   0                   0                   0
           2             8.16503                   0                   0                   0
           2              8.4983                   0                   0                   0
           2             8.83157                   0                   0                   0
           2             9.16483                   0                   0                   0
           2              9.4981                   0                   0                   0
           2             9.83137                   0                   0                   0


           3            0.166633           0.0179341           0.0112198          0.00274149
           3              0.4999           0.0846836           0.0563539           0.0129393
           3            0.833167            0.148446            0.128688           0.0110825
           3             1.16643            0.199207            0.189367           0.0061371
           3              1.4997            0.333636            0.292086           0.0421693
           3             1.83297            0.431753            0.330566           0.0433857
           3             2.16623            0.390134            0.381817           0.0163609
           3              2.4995            0.484208            0.452401           0.0267684
           3             2.83277            0.307075            0.388291           0.0549344
           3             3.16603            0.209917             0.28114           0.0484312
           3              3.4993            0.115426            0.184393           0.0319375
