#     BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
           1             3.06125             3.06125                   0
           2             3.02525             3.04325           0.0127276
           3              2.9937             3.02673           0.0159319
           4             3.02509             3.02632           0.0119542
           5             3.00266             3.02159           0.0104582
           6             2.98167             3.01493           0.0106228
           7              2.9751             3.00924           0.0105199
           8             3.01637             3.01013          0.00924262
           9             3.01911             3.01113          0.00826924
          10             3.00262             3.01028          0.00748604
          11             3.03972             3.01296          0.00726809
          12             2.98649             3.01075          0.00698905
          13             3.02021             3.01148          0.00648918
          14              3.0075             3.01119          0.00603187
          15             3.03118             3.01253          0.00577506
          16             3.02051             3.01303          0.00543565
          17             2.98644             3.01146          0.00533608
          18             2.99407              3.0105          0.00512632
          19             2.96997             3.00836          0.00528154
          20             2.95364             3.00563          0.00568215
