#     BLOCK:         BIN_CENTER:           ACTUAL_V:              V_AVE:              ERROR:
           1            0.143808          0.00262375          0.00262375                   0
           1            0.431423            0.038326            0.038326                   0
           1            0.719038            0.116716            0.116716                   0
           1             1.00665             0.16433             0.16433                   0
           1             1.29427            0.385497            0.385497                   0
           1             1.58188            0.328483            0.328483                   0
           1              1.8695            0.464918            0.464918                   0
           1             2.15712            0.444041            0.444041                   0
           1             2.44473             0.42553             0.42553                   0
           1             2.73235            0.319775            0.319775                   0
           1             3.01996            0.242463            0.242463                   0
           1             3.30758            0.175517            0.175517                   0
           1             3.59519           0.0811912           0.0811912                   0
           1             3.88281           0.0982536           0.0982536                   0
           1             4.17042           0.0473079           0.0473079                   0
           1             4.45804           0.0327727           0.0327727                   0
           1             4.74565           0.0702295           0.0702295                   0
           1             5.03327          0.00635816          0.00635816                   0
           1             5.32088          0.00159356          0.00159356                   0
           1              5.6085           0.0106881           0.0106881                   0
           1             5.89612           0.0168692           0.0168692                   0
           1             6.18373          0.00338029          0.00338029                   0
           1             6.47135                   0                   0                   0
           1             6.75896                   0                   0                   0
           1             7.04658                   0                   0                   0
           1             7.33419                   0                   0                   0
           1             7.62181                   0                   0                   0
           1             7.90942                   0                   0                   0
           1             8.19704                   0                   0                   0
           1             8.48465                   0                   0                   0


           2            0.143808           0.0183179           0.0104708          0.00554873
           2            0.431423           0.0407405           0.0395332         0.000853651
           2            0.719038            0.192515            0.154616            0.026799
           2             1.00665            0.225208            0.194769           0.0215234
           2             1.29427            0.363558            0.374528          0.00775684
           2             1.58188            0.307429            0.317956          0.00744384
           2              1.8695            0.398165            0.431542           0.0236006
           2             2.15712            0.343598            0.393819           0.0355119
           2             2.44473            0.424145            0.424838         0.000489427
           2             2.73235             0.26025            0.290012           0.0210453
           2             3.01996            0.319517             0.28099           0.0272429
           2             3.30758            0.196379            0.185948          0.00737555
           2             3.59519            0.127388             0.10429           0.0163332
           2             3.88281            0.134439            0.116346           0.0127934
           2             4.17042           0.0417707           0.0445393          0.00195771
           2             4.45804          0.00453924            0.018656          0.00998203
           2             4.74565           0.0370544           0.0536419           0.0117292
           2             5.03327          0.00254326          0.00445071          0.00134877
           2             5.32088           0.0070825          0.00433803          0.00194063
