#     BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
           1           -0.384289           -0.384289                   0
           2           -0.348313           -0.366301           0.0127192
           3           -0.316673           -0.349758            0.015948
           4           -0.347987           -0.349316           0.0119672
           5           -0.325724           -0.344597           0.0104626
           6           -0.304754           -0.337957           0.0106192
           7           -0.298035           -0.332253           0.0105227
           8           -0.339281           -0.333132            0.009244
           9           -0.342138           -0.334133          0.00827087
          10           -0.325605            -0.33328          0.00748762
          11           -0.362743           -0.335958          0.00727022
          12           -0.309528           -0.333756          0.00699004
          13           -0.343162           -0.334479          0.00648968
          14           -0.330709            -0.33421          0.00603172
          15           -0.354298           -0.335549          0.00577636
          16           -0.343492           -0.336046          0.00543662
          17           -0.309544           -0.334487          0.00533565
          18           -0.317053           -0.333518          0.00512638
          19           -0.292963           -0.331384          0.00528227
          20            -0.27655           -0.328642          0.00568532
