#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
           1           0.0983678           0.0983678                   0
           2           0.0933544           0.0958611          0.00177252
           3           0.0925163           0.0947462          0.00149167
           4           0.0938311           0.0945174          0.00113616
           5           0.0943606            0.094486         0.000909357
           6           0.0935006           0.0943218         0.000772487
           7           0.0931428           0.0941534         0.000680244
           8           0.0984791           0.0946941         0.000781094
           9           0.0959359           0.0948321         0.000706387
          10           0.0954088           0.0948897         0.000638098
          11           0.0958272            0.094975         0.000585752
          12           0.0934373           0.0948468         0.000550776
          13           0.0980419           0.0950926         0.000560569
          14           0.0932365             0.09496         0.000535976
          15           0.0956158           0.0950037         0.000502024
          16           0.0934799           0.0949085         0.000479597
          17           0.0937499           0.0948403         0.000456202
          18           0.0959024           0.0948994         0.000434657
          19           0.0929056           0.0947944         0.000424258
          20           0.0928632           0.0946979         0.000413887
