#     BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
           1             2.04083             2.04083                   0
           2             2.01683             2.02883          0.00848507
           3              1.9958             2.01782           0.0106213
           4             2.01672             2.01755          0.00796949
           5             2.00177             2.01439          0.00697212
           6             1.98778             2.00996          0.00708187
           7              1.9834             2.00616          0.00701328
           8             2.01092             2.00676          0.00616174
           9             2.01274             2.00742          0.00551282
          10             2.00174             2.00685          0.00499069
          11             2.02648             2.00864          0.00484539
          12             1.99099             2.00717          0.00465937
          13             2.01347             2.00765          0.00432612
          14               2.005             2.00746          0.00402125
          15             2.02079             2.00835          0.00385004
          16             2.01368             2.00868          0.00362377
          17             1.99096             2.00764          0.00355738
          18             1.99605               2.007          0.00341754
          19             1.97998             2.00558          0.00352103
          20             1.96909             2.00375           0.0037881
