#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1             2.67696             2.67696                   0
           2             2.67693             2.67695         8.38113e-06
           3             2.67703             2.67697         2.32591e-05
           4              2.6771               2.677         3.22883e-05
           5             2.67694             2.67699         2.86722e-05
           6             2.67691             2.67698         2.66084e-05
           7             2.67706             2.67699         2.53363e-05
           8             2.67709               2.677         2.52457e-05
           9             2.67697               2.677         2.27369e-05
          10             2.67701               2.677         2.04927e-05
          11             2.67697               2.677          1.8764e-05
          12             2.67696             2.67699         1.74443e-05
          13             2.67705               2.677         1.65339e-05
          14              2.6768             2.67698         2.07743e-05
          15             2.67688             2.67698         2.04274e-05
          16             2.67702             2.67698         1.93342e-05
          17              2.6769             2.67698         1.87701e-05
          18             2.67702             2.67698         1.79015e-05
          19             2.67701             2.67698         1.70457e-05
          20             2.67709             2.67699         1.70876e-05
