#     BLOCK:         BIN_CENTER:           ACTUAL_V:              V_AVE:              ERROR:
           1            0.143808          0.00434608          0.00434608                   0
           1            0.431423           0.0485634           0.0485634                   0
           1            0.719038            0.158036            0.158036                   0
           1             1.00665            0.237698            0.237698                   0
           1             1.29427            0.417401            0.417401                   0
           1             1.58188            0.353385            0.353385                   0
           1              1.8695            0.344837            0.344837                   0
           1             2.15712            0.356025            0.356025                   0
           1             2.44473            0.375083            0.375083                   0
           1             2.73235            0.298688            0.298688                   0
           1             3.01996            0.259896            0.259896                   0
           1             3.30758            0.201304            0.201304                   0
           1             3.59519            0.101602            0.101602                   0
           1             3.88281            0.131284            0.131284                   0
           1             4.17042           0.0792436           0.0792436                   0
           1             4.45804            0.071147            0.071147                   0
           1             4.74565           0.0061328           0.0061328                   0
           1             5.03327                   0                   0                   0
           1             5.32088                   0                   0                   0
           1              5.6085                   0                   0                   0
           1             5.89612           0.0270584           0.0270584                   0
           1             6.18373          0.00513481          0.00513481                   0
           1             6.47135                   0                   0                   0
           1             6.75896                   0                   0                   0
           1             7.04658                   0                   0                   0
           1             7.33419                   0                   0                   0
           1             7.62181                   0                   0                   0
           1             7.90942                   0                   0                   0
           1             8.19704                   0                   0                   0
           1             8.48465                   0                   0                   0


           2            0.143808           0.0056821          0.00501409         0.000472354
           2            0.431423           0.0585433           0.0535534          0.00352842
           2            0.719038            0.180024             0.16903          0.00777392
           2             1.00665            0.288532            0.263115           0.0179722
           2             1.29427             0.38054             0.39897           0.0130324
           2             1.58188            0.272532            0.312958           0.0285859
           2              1.8695            0.323268            0.334053          0.00762595
           2             2.15712            0.299638            0.327831           0.0199356
           2             2.44473            0.369369            0.372226          0.00202031
           2             2.73235            0.306254            0.302471          0.00267477
           2             3.01996            0.382391            0.321143           0.0433086
           2             3.30758            0.189875             0.19559          0.00404062
           2             3.59519             0.10891            0.105256          0.00258372
           2             3.88281            0.155525            0.143405          0.00857066
           2             4.17042           0.0735293           0.0763864          0.00202031
           2             4.45804                0.04           0.0555735           0.0110121
           2             4.74565           0.0107364          0.00843462          0.00162763
           2             5.03327          0.00820927          0.00410463          0.00290241
           2             5.32088           0.0146157          0.00730786          0.00516743
           2              5.6085          0.00524749          0.00262375          0.00185527
           2             5.89612           0.0023501           0.0147042           0.0087357
           2             6.18373          0.00109457          0.00311469          0.00142844
           2             6.47135                   0                   0                   0
           2             6.75896                   0                   0                   0
           2             7.04658                   0                   0                   0
           2             7.33419                   0                   0                   0
           2             7.62181                   0                   0                   0
           2             7.90942                   0                   0                   0
           2             8.19704                   0                   0                   0
           2             8.48465                   0                   0                   0


           3            0.143808           0.0149215          0.00831658          0.00271479
           3            0.431423           0.0762013           0.0611027          0.00659757
           3            0.719038            0.123075            0.153712           0.0135388
           3             1.00665            0.154286            0.226839           0.0319511
           3             1.29427            0.246391             0.34811           0.0424261
           3             1.58188            0.373248            0.333055           0.0251481
           3              1.8695            0.451413            0.373173           0.0323435
           3             2.15712            0.398906            0.351523           0.0234697
           3             2.44473              0.4532            0.399217           0.0220794
           3             2.73235            0.355349            0.320097           0.0145014
           3             3.01996            0.300057            0.314114           0.0294372
           3             3.30758            0.122447            0.171209           0.0200884
           3             3.59519            0.124105            0.111539          0.00541153
           3             3.88281            0.119195            0.135335          0.00872131
           3             4.17042            0.056161           0.0696446          0.00566703
           3             4.45804            0.071324           0.0608237          0.00850132
           3             4.74565           0.0203783           0.0124158          0.00342698
           3             5.03327           0.0145835          0.00759759          0.00344643
           3             5.32088          0.00162576          0.00541382          0.00377615
           3              5.6085                   0          0.00174916          0.00142819
           3             5.89612                   0          0.00980283          0.00706629
           3             6.18373                   0          0.00207646          0.00127494
           3             6.47135                   0                   0                   0
           3             6.75896                   0                   0                   0
           3             7.04658                   0                   0                   0
           3             7.33419                   0                   0                   0
           3             7.62181                   0                   0                   0
           3             7.90942                   0                   0                   0
           3             8.19704                   0                   0                   0
           3             8.48465                   0                   0                   0


           4            0.143808          0.00640645          0.00783904          0.00207767
           4            0.431423           0.0393401            0.055662          0.00683264
           4            0.719038            0.095147            0.139071           0.0162444
           4             1.00665            0.165199            0.211429           0.0274288
           4             1.29427            0.256419            0.325188           0.0375044
           4             1.58188            0.380524            0.344922           0.0214794
           4              1.8695            0.290367            0.352471           0.0301637
           4             2.15712            0.403413            0.364495           0.0208819
           4             2.44473            0.495872            0.423381           0.0266858
           4             2.73235            0.400097            0.340097           0.0204521
           4             3.01996            0.251252            0.298399           0.0259359
           4             3.30758            0.194302            0.176982           0.0158743
           4             3.59519            0.194914            0.132382           0.0185019
           4             3.88281            0.147219            0.138306          0.00702889
           4             4.17042           0.0576902            0.066656          0.00497631
           4             4.45804           0.0302294           0.0531751          0.00919395
           4             4.74565           0.0286358           0.0164708          0.00435182
           4             5.03327            0.039324           0.0155292          0.00733921
           4             5.32088         0.000515091          0.00418914          0.00302419
           4              5.6085                   0          0.00131187          0.00113612
           4             5.89612                   0          0.00735212           0.0057089
           4             6.18373                   0          0.00155735          0.00105662
           4             6.47135                   0                   0                   0
           4             6.75896                   0                   0                   0
           4             7.04658                   0                   0                   0
           4             7.33419                   0                   0                   0
           4             7.62181                   0                   0                   0
           4             7.90942                   0                   0                   0
           4             8.19704                   0                   0                   0
           4             8.48465                   0                   0                   0


           5            0.143808          0.00659961          0.00759116          0.00167686
           5            0.431423           0.0196218            0.048454          0.00845241
           5            0.719038           0.0772637            0.126709           0.0170624
           5             1.00665            0.149521            0.199047           0.0245792
           5             1.29427            0.162238            0.292598           0.0418318
           5             1.58188             0.21798            0.319534           0.0284768
           5              1.8695            0.260829            0.334143           0.0291727
           5             2.15712            0.341618             0.35992           0.0171995
           5             2.44473            0.417948            0.422294           0.0213707
           5             2.73235            0.412926            0.354663            0.020915
           5             3.01996            0.478906              0.3345           0.0383818
           5             3.30758            0.367759            0.215137           0.0364135
           5             3.59519            0.218817            0.149669           0.0214046
           5             3.88281            0.140282            0.138701          0.00563421
           5             4.17042           0.0995736           0.0732395          0.00710794
           5             4.45804           0.0521208           0.0529642          0.00735757
           5             4.74565           0.0172717            0.016631          0.00348441
           5             5.03327           0.0215694           0.0167372          0.00596996
           5             5.32088            0.010672          0.00548572          0.00268294
           5              5.6085          0.00334809          0.00171912         0.000979164
           5             5.89612                   0           0.0058817          0.00475271
           5             6.18373                   0          0.00124588         0.000890019
           5             6.47135                   0                   0                   0
           5             6.75896                   0                   0                   0
           5             7.04658                   0                   0                   0
           5             7.33419                   0                   0                   0
           5             7.62181                   0                   0                   0
           5             7.90942                   0                   0                   0
           5             8.19704                   0                   0                   0
           5             8.48465                   0                   0                   0


