#     BLOCK:          ACTUAL_KE:             KE_AVE:              ERROR:
           1             2.95364             2.95364                   0
           2             2.96997             2.96181          0.00577461
           3             2.99407             2.97256          0.00958852
           4             2.98644             2.97603          0.00779399
           5             3.02051             2.98493           0.0101086
           6             3.03143             2.99268           0.0110009
           7             3.02212             2.99689           0.0102015
           8             3.02485             3.00038          0.00950634
           9             3.03574             3.00431          0.00922608
          10             3.01254             3.00513          0.00834013
          11             3.00243             3.00489          0.00758555
          12             2.98258             3.00303           0.0071775
          13             3.00833             3.00344          0.00663698
          14             3.02837             3.00522          0.00639734
          15             2.99038             3.00423          0.00604688
          16             2.98495             3.00302          0.00578774
          17             3.03727             3.00504          0.00578722
          18              3.0189             3.00581          0.00551669
          19             3.02532             3.00683          0.00532106
          20             2.97923             3.00545          0.00523092
          21             2.97409             3.00396          0.00519067
          22             3.00885             3.00418          0.00495949
          23             2.97734             3.00302           0.0048792
          24             2.99379             3.00263          0.00469103
          25             3.05222             3.00461          0.00490481
