#     BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
           1           -0.276639           -0.276639                   0
           2           -0.292933           -0.284786          0.00576091
           3           -0.317064           -0.295545          0.00958784
           4           -0.309514           -0.299038          0.00780097
           5           -0.343527           -0.307935           0.0101137
           6           -0.354559           -0.315706            0.011016
           7            -0.34525           -0.319927           0.0102188
           8           -0.347948           -0.323429          0.00952285
           9            -0.35895           -0.327376          0.00924651
          10           -0.335585           -0.328197          0.00835822
          11           -0.325436           -0.327946          0.00760215
          12           -0.305541           -0.326079          0.00719427
          13           -0.331393           -0.326488          0.00665247
          14           -0.351483           -0.328273           0.0064124
          15           -0.313457           -0.327285          0.00606051
          16           -0.307916           -0.326075          0.00580137
          17           -0.360291           -0.328087          0.00579875
          18           -0.341945           -0.328857          0.00552747
          19           -0.348381           -0.329885           0.0053312
          20           -0.302177           -0.328499          0.00524155
          21           -0.297049           -0.327002          0.00520152
          22           -0.331784           -0.327219          0.00496962
          23           -0.300299           -0.326049          0.00488944
          24           -0.316844           -0.325665          0.00470073
          25           -0.375359           -0.327653          0.00491504
