#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
           1           0.0928487           0.0928487                   0
           2           0.0928979           0.0928733         1.74067e-05
           3           0.0958986           0.0938817         0.000823476
           4           0.0937605           0.0938514         0.000618165
           5           0.0934786           0.0937768         0.000499008
           6           0.0956312           0.0940859         0.000502513
           7           0.0934031           0.0939884         0.000440091
           8           0.0954272           0.0941682         0.000420227
           9           0.0949357           0.0942535         0.000382089
          10           0.0923645           0.0940646         0.000387772
          11           0.0943365           0.0940893         0.000353307
          12           0.0954669           0.0942041         0.000342007
          13           0.0923269           0.0940597         0.000344838
          14           0.0942164           0.0940709         0.000320389
          15           0.0945148           0.0941005         0.000300393
          16           0.0927088           0.0940135         0.000293942
          17           0.0940389            0.094015         0.000276655
          18           0.0983688           0.0942569         0.000351459
          19           0.0989543           0.0945041         0.000410816
          20           0.0942653           0.0944922         0.000390449
          21           0.0935027           0.0944451         0.000374688
          22           0.0926508           0.0943635         0.000366425
          23           0.0943403           0.0943625         0.000350495
          24           0.0944042           0.0943642         0.000335896
          25           0.0952921           0.0944013         0.000324504
