#     BLOCK:           ACTUAL_T:              T_AVE:              ERROR:
           1             1.96909             1.96909                   0
           2             1.97998             1.97454          0.00384974
           3             1.99605             1.98171          0.00639235
           4             1.99096             1.98402          0.00519599
           5             2.01367             1.98995           0.0067391
           6             2.02095             1.99512          0.00733392
           7             2.01474             1.99792          0.00680098
           8             2.01657             2.00025          0.00633756
           9             2.02382             2.00287          0.00615072
          10             2.00836             2.00342          0.00556009
          11             2.00162             2.00326          0.00505704
          12             1.98839             2.00202            0.004785
          13             2.00556             2.00229          0.00442465
          14             2.01891             2.00348          0.00426489
          15             1.99358             2.00282          0.00403126
          16             1.98997             2.00202           0.0038585
          17             2.02484             2.00336          0.00385814
          18              2.0126             2.00387          0.00367779
          19             2.01688             2.00456          0.00354737
          20             1.98615             2.00364          0.00348728
          21             1.98273             2.00264          0.00346045
          22              2.0059             2.00279          0.00330632
          23              1.9849             2.00201           0.0032528
          24             1.99586             2.00175          0.00312735
          25             2.03481             2.00308          0.00326987
