#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1               2.677               2.677                   0
           2             2.67704             2.67702         1.37019e-05
           3             2.67701             2.67702         9.69535e-06
           4             2.67693               2.677         2.06186e-05
           5             2.67699             2.67699         1.66131e-05
           6             2.67687             2.67697         2.30701e-05
           7             2.67687             2.67696         2.43087e-05
           8              2.6769             2.67695          2.2269e-05
           9             2.67679             2.67693         2.63575e-05
          10             2.67696             2.67694         2.38328e-05
          11             2.67699             2.67694         2.22387e-05
          12             2.67704             2.67695         2.19627e-05
          13             2.67694             2.67695         2.02832e-05
          14             2.67688             2.67694         1.93613e-05
          15             2.67692             2.67694         1.81434e-05
          16             2.67703             2.67695         1.78914e-05
          17             2.67698             2.67695         1.69142e-05
          18             2.67695             2.67695         1.59748e-05
          19             2.67694             2.67695         1.51459e-05
          20             2.67705             2.67695         1.52728e-05
          21             2.67704             2.67696         1.50889e-05
          22             2.67707             2.67696          1.5185e-05
          23             2.67705             2.67697         1.49375e-05
          24             2.67694             2.67697         1.43479e-05
          25             2.67686             2.67696         1.44129e-05
