#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1            0.413302            0.413302                   0
           2            0.441074            0.427188          0.00981862
           3            0.453278            0.435885          0.00965752
           4            0.424932            0.433147          0.00762144
           5            0.435966            0.433711          0.00611798
           6            0.446349            0.435817          0.00544887
           7            0.433134            0.435434          0.00468393
           8            0.454136            0.437771          0.00464535
           9            0.447128            0.438811          0.00424393
          10            0.445893            0.439519          0.00387817
          11            0.473869            0.442642          0.00461461
          12            0.446514            0.442965          0.00424133
          13            0.441179            0.442827          0.00391729
          14            0.420652            0.441243          0.00394474
          15            0.415698             0.43954          0.00403265
          16            0.428939            0.438878          0.00383465
          17            0.438858            0.438877          0.00360909
          18            0.436717            0.438757          0.00341057
          19            0.441811            0.438917          0.00323486
          20            0.443995            0.439171          0.00308306
