#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1             15.0727             15.0727                   0
           2             14.7435             14.9081            0.116381
           3             15.5037             15.1066            0.179706
           4             14.9494             15.0673            0.139013
           5             15.4743             15.1487            0.132925
           6             15.7674             15.2518            0.145364
           7             15.3739             15.2693            0.125638
           8             15.4007             15.2857            0.111003
           9              15.366             15.2946           0.0990274
          10              14.067             15.1719            0.146653
          11             16.4985             15.2925            0.176062
          12             16.5348              15.396            0.189399
          13             15.4666             15.4014            0.174908
          14             15.0416             15.3757            0.164292
          15             14.2373             15.2998            0.169967
          16              15.757             15.3284            0.161728
          17             14.5029             15.2798            0.159338
          18             16.3181             15.3375            0.160587
          19             16.1292             15.3792            0.157448
          20             15.8857             15.4045            0.151598
