#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1           -0.852012           -0.852012                   0
           2           -0.845988              -0.849          0.00212981
           3           -0.848816           -0.848939          0.00142075
           4            -0.84848           -0.848824          0.00107018
           5           -0.847784           -0.848616         0.000876126
           6            -0.84812           -0.848533         0.000733995
           7            -0.84892           -0.848589         0.000631213
           8           -0.847168           -0.848411         0.000576748
           9           -0.850352           -0.848627         0.000551516
          10           -0.844356             -0.8482         0.000640722
          11           -0.849964            -0.84836         0.000602217
          12           -0.849216           -0.848431         0.000556241
          13           -0.848724           -0.848454         0.000513909
          14           -0.850368           -0.848591         0.000495055
          15            -0.84816           -0.848562         0.000462883
          16           -0.850236           -0.848667         0.000445622
          17           -0.848172           -0.848637         0.000420357
          18           -0.852268           -0.848839         0.000442758
          19           -0.849236            -0.84886         0.000419947
          20           -0.850248           -0.848929         0.000404644
