#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1            0.967912            0.967912                   0
           2            0.997292            0.982602           0.0103874
           3            0.996836            0.987347           0.0079349
           4            0.990672            0.988178          0.00599456
           5            0.994774            0.989497          0.00493867
           6            0.991976             0.98991          0.00413281
           7             0.99294            0.990343            0.003565
           8            0.979626            0.989003          0.00336166
           9            0.999152            0.990131          0.00317163
          10             0.98884            0.990002           0.0028571
          11             0.99687            0.990626          0.00266471
          12            0.999276            0.991347          0.00253827
          13            0.991386             0.99135          0.00234302
          14            0.996408            0.991711          0.00220333
          15             0.99314            0.991807           0.0020585
          16            0.997844            0.992184          0.00196413
          17            0.982682            0.991625          0.00192648
          18            0.994902            0.991807          0.00182803
          19            0.989852            0.991704          0.00173471
          20            0.991228             0.99168          0.00164814
