#   N_BLOCK:  ACCEPTANCE:
           1            0.319008
           2            0.317456
           3             0.31766
           4            0.317112
           5            0.316793
           6            0.317162
           7            0.317084
           8            0.316953
           9            0.316653
          10            0.317052
          11            0.317047
          12            0.317116
          13            0.317214
          14            0.317231
          15            0.317278
          16            0.317443
          17            0.317417
          18            0.317494
          19            0.317472
          20            0.317555
