#     BLOCK:         ACTUAL_CHI:            CHI_AVE:              ERROR:
           1             3.01269             3.01269                   0
           2             2.84261             2.92765           0.0601334
           3             3.03953             2.96494           0.0503427
           4             3.00696             2.97545           0.0388372
           5             3.00022              2.9804           0.0313842
           6              2.9763             2.97972           0.0261609
           7             3.00685             2.98359            0.022709
           8             2.97666             2.98273           0.0198869
           9             3.02732             2.98768            0.018284
          10             2.95571             2.98448           0.0167328
          11             3.12639             2.99738           0.0195621
          12             2.96606             2.99477           0.0181053
          13             3.01421             2.99627           0.0167742
          14             3.00059             2.99658           0.0155789
          15             3.03867             2.99938           0.0147909
          16             2.92951             2.99502           0.0144967
          17             2.96331             2.99315           0.0137635
          18             2.88913             2.98737           0.0141601
          19             2.96843             2.98638           0.0134499
          20              2.9451             2.98431           0.0129348
