#     BLOCK:          ACTUAL_CV:             CV_AVE:              ERROR:
           1             0.26627             0.26627                   0
           2            0.269887            0.268079          0.00127866
           3             0.27482            0.270326          0.00202323
           4            0.276602            0.271895          0.00203686
           5            0.267036            0.270923          0.00184683
           6            0.276359            0.271829          0.00174713
           7             0.26501            0.270855          0.00174817
           8            0.269156            0.270643          0.00154248
           9            0.272914            0.270895          0.00139158
          10            0.271459            0.270951          0.00125357
          11            0.271419            0.270994          0.00114033
          12            0.271002            0.270994           0.0010453
          13            0.269913            0.270911         0.000968193
          14             0.27077            0.270901         0.000899089
          15            0.272854            0.271031         0.000848523
          16            0.272515            0.271124         0.000800538
          17            0.268006            0.270941         0.000774179
          18            0.269223            0.270845         0.000737024
          19            0.271299            0.270869         0.000698621
          20            0.271784            0.270915         0.000665187
