#     BLOCK:          ACTUAL_TE:             TE_AVE:              ERROR:
           1           -0.505156           -0.505156                   0
           2           -0.503292           -0.504224         0.000659024
           3           -0.504704           -0.504384          0.00045836
           4           -0.502564           -0.503929         0.000522921
           5           -0.505188           -0.504181         0.000475109
           6           -0.501452           -0.503726         0.000573694
           7             -0.5049           -0.503894          0.00051567
           8           -0.505788           -0.504131         0.000502644
           9           -0.502736           -0.503976          0.00047007
          10           -0.506068           -0.504185         0.000467319
          11           -0.504432           -0.504207         0.000425376
          12            -0.50532             -0.5043         0.000399907
          13            -0.50398           -0.504275         0.000369901
          14           -0.504648           -0.504302         0.000344436
          15           -0.506284           -0.504434         0.000345891
          16           -0.506264           -0.504549         0.000342659
          17             -0.5049           -0.504569         0.000323126
          18           -0.506148           -0.504657         0.000316855
          19             -0.5038           -0.504612         0.000303371
          20           -0.507888           -0.504776         0.000329474
