#     BLOCK:           ACTUAL_M:              M_AVE:              ERROR:
           1             0.72743             0.72743                   0
           2            0.757206            0.742318           0.0105274
           3            0.710606            0.731747           0.0111242
           4            0.758168            0.738352           0.0101158
           5            0.560896            0.702861           0.0327597
           6            0.772824            0.714522           0.0293016
           7            0.628696            0.702261           0.0275617
           8            0.724798            0.705078             0.02426
           9            0.720018            0.706738           0.0216212
          10            0.663002            0.702364           0.0198965
          11            0.635174            0.696256           0.0190022
          12            0.616642            0.689622           0.0185408
          13            0.700704            0.690474           0.0171341
          14            0.676844            0.689501           0.0159379
          15            0.672124            0.688342           0.0149174
          16             0.70364            0.689298           0.0140157
          17            0.642054            0.686519           0.0134639
          18            0.726678             0.68875           0.0128995
          19            0.652226            0.686828            0.012363
          20             0.63678            0.684325           0.0119954
