#   N_BLOCK:  ACCEPTANCE:
           1            0.534828
           2            0.534168
           3            0.534203
           4            0.534178
           5            0.533936
           6             0.53378
           7            0.533782
           8            0.533621
           9            0.533776
          10            0.533696
          11            0.533539
          12            0.533523
          13             0.53361
          14            0.533593
          15            0.533575
          16            0.533584
          17            0.533575
          18            0.533485
          19            0.533477
          20             0.53341
