#     BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
           1           -0.224542           -0.224542                   0
           2           -0.316965           -0.270753           0.0326765
           3           -0.374335           -0.305281           0.0356274
           4           -0.353567           -0.317352           0.0286929
           5           -0.441702           -0.342222           0.0319642
           6           -0.470509           -0.363603           0.0330224
           7           -0.495895           -0.382502           0.0332763
           8           -0.439933           -0.389681           0.0298811
           9           -0.477372           -0.399424           0.0281046
          10           -0.402565           -0.399738           0.0252959
          11           -0.363523           -0.396446           0.0232096
          12           -0.371014           -0.394327            0.021372
          13           -0.435546           -0.397497           0.0199618
          14            -0.41651           -0.398856           0.0185821
          15           -0.441214           -0.401679           0.0175565
          16           -0.399329           -0.401533           0.0164599
          17            -0.31112           -0.396214           0.0163283
          18           -0.351271           -0.393717           0.0156109
          19           -0.374956            -0.39273           0.0148204
          20           -0.345486           -0.390368           0.0142664
          21           -0.323212            -0.38717           0.0139409
          22             -0.3815           -0.386912           0.0133096
          23           -0.415727           -0.388165           0.0127897
          24           -0.416242           -0.389335           0.0123102
          25           -0.432643           -0.391067           0.0119391
          26           -0.468908           -0.394061           0.0118493
          27           -0.441325           -0.395812            0.011539
          28           -0.436007           -0.397247           0.0112159
          29           -0.487324           -0.400353            0.011251
          30           -0.485767             -0.4032           0.0112304
          31           -0.444251           -0.404525           0.0109459
          32           -0.455791           -0.406127           0.0107205
          33           -0.381345           -0.405376           0.0104219
          34           -0.428903           -0.406068           0.0101383
          35           -0.452374           -0.407391          0.00993459
          36           -0.444389           -0.408418          0.00971164
          37           -0.443596           -0.409369          0.00949559
          38           -0.395011           -0.408991          0.00925322
          39           -0.437426            -0.40972          0.00904463
          40           -0.437303            -0.41041          0.00884476
          41           -0.331912           -0.408495          0.00883383
          42           -0.286157           -0.405583          0.00909105
          43           -0.358391           -0.404485          0.00894563
          44           -0.456246           -0.405661          0.00881933
          45           -0.435356           -0.406321          0.00864799
          46           -0.428233           -0.406798           0.0084731
          47           -0.430429             -0.4073          0.00830773
          48            -0.40591           -0.407271           0.0081347
          49           -0.368252           -0.406475          0.00800757
          50           -0.328095           -0.404908          0.00799939
          51           -0.267703           -0.402217          0.00828258
          52           -0.279097            -0.39985          0.00845495
          53            -0.33464           -0.398619          0.00838446
          54           -0.371768           -0.398122          0.00824393
          55            -0.37424           -0.397688          0.00810546
          56           -0.409226           -0.397894          0.00796334
          57           -0.383094           -0.397634          0.00782787
          58           -0.286265           -0.395714          0.00792491
          59           -0.258866           -0.393395          0.00812293
          60            -0.34995            -0.39267          0.00801975
          61           -0.316534           -0.391422          0.00798482
          62           -0.358024           -0.390884          0.00787418
          63           -0.390968           -0.390885          0.00774919
          64           -0.364569           -0.390474          0.00763901
          65           -0.411373           -0.390795          0.00752825
          66           -0.446144           -0.391634          0.00746075
          67           -0.371975           -0.391341          0.00735517
          68           -0.345037            -0.39066          0.00727845
          69           -0.361839           -0.390242          0.00718494
          70           -0.309218           -0.389084          0.00717493
          71           -0.368123           -0.388789          0.00707994
          72           -0.408625           -0.389065          0.00698697
          73           -0.411612           -0.389374          0.00689808
          74           -0.456989           -0.390287          0.00686511
          75            -0.39425            -0.39034          0.00677378
          76           -0.389211           -0.390325          0.00668467
          77           -0.380861           -0.390202          0.00659899
          78           -0.476019           -0.391303          0.00660546
          79           -0.443385           -0.391962          0.00655467
          80           -0.444406           -0.392617          0.00650543
          81           -0.484099           -0.393747          0.00652242
          82            -0.45223            -0.39446          0.00648176
          83           -0.439191           -0.394999          0.00642603
          84           -0.413045           -0.395214          0.00635312
          85           -0.408815           -0.395374          0.00628039
          86           -0.390988           -0.395323          0.00620757
          87           -0.464916           -0.396123          0.00618754
          88            -0.49911           -0.397293          0.00622692
          89           -0.483535           -0.398262           0.0062319
          90           -0.433127           -0.398649          0.00617468
          91           -0.446472           -0.399175          0.00612915
          92           -0.391178           -0.399088          0.00606315
          93            -0.42383           -0.399354          0.00600379
          94           -0.427097           -0.399649          0.00594717
          95           -0.414483           -0.399805          0.00588661
          96           -0.414265           -0.399956          0.00582722
          97           -0.355358           -0.399496          0.00578526
          98           -0.404981           -0.399552          0.00572649
          99           -0.378994           -0.399345          0.00567242
         100           -0.382366           -0.399175          0.00561823
         101           -0.354526           -0.398733          0.00557997
         102           -0.398384           -0.398729          0.00552527
         103           -0.398161           -0.398724          0.00547163
         104           -0.390667           -0.398646          0.00541956
         105           -0.335595           -0.398046          0.00540111
         106           -0.364705           -0.397731          0.00535931
         107           -0.480506           -0.398505          0.00536476
         108           -0.481572           -0.399274          0.00536994
         109           -0.419564            -0.39946           0.0053239
         110            -0.38295            -0.39931          0.00527762
         111           -0.343545           -0.398808          0.00525393
         112           -0.439618           -0.399172          0.00521964
         113           -0.424081           -0.399392           0.0051781
         114           -0.460456           -0.399928          0.00516031
         115           -0.369774           -0.399666           0.0051221
         116           -0.426032           -0.399893          0.00508298
         117           -0.408787           -0.399969           0.0050401
         118           -0.360275           -0.399633           0.0050086
         119           -0.365209           -0.399344          0.00497486
         120           -0.362911            -0.39904          0.00494266
         121           -0.389071           -0.398958           0.0049025
         122           -0.375341           -0.398764          0.00486613
         123           -0.430387           -0.399021          0.00483336
         124           -0.431876           -0.399286          0.00480164
         125           -0.354597           -0.398928          0.00477652
         126           -0.377151           -0.398756          0.00474173
         127           -0.367013           -0.398506          0.00471098
         128           -0.360579           -0.398209          0.00468348
         129           -0.427875           -0.398439          0.00465282
         130            -0.41812           -0.398591          0.00461949
         131           -0.409746           -0.398676          0.00458501
         132           -0.399525           -0.398682          0.00455028
         133           -0.357651           -0.398374          0.00452652
         134           -0.378271           -0.398224          0.00449522
         135           -0.342374            -0.39781          0.00448092
         136            -0.32119           -0.397247          0.00448325
         137           -0.365653           -0.397016          0.00445645
         138           -0.430108           -0.397256           0.0044306
         139           -0.459127           -0.397701          0.00442103
         140           -0.423603           -0.397886          0.00439332
         141           -0.424921           -0.398078          0.00436635
         142           -0.437076           -0.398352          0.00434423
         143            -0.41164           -0.398445          0.00431484
         144            -0.43691           -0.398712          0.00429314
         145           -0.361813           -0.398458          0.00427106
         146           -0.480037           -0.399017           0.0042782
         147           -0.439565           -0.399293          0.00425798
         148           -0.506276           -0.400015          0.00429013
         149           -0.511046           -0.400761          0.00432557
         150           -0.410111           -0.400823          0.00429718
         151           -0.466097           -0.401255          0.00429041
         152           -0.414799           -0.401344          0.00426311
         153           -0.480388           -0.401861          0.00426644
         154           -0.448802           -0.402166          0.00424961
         155           -0.470734           -0.402608          0.00424515
         156           -0.439704           -0.402846           0.0042246
         157           -0.494465           -0.403429           0.0042378
         158           -0.490138           -0.403978          0.00424636
         159           -0.503648           -0.404605          0.00426568
         160           -0.512934           -0.405282          0.00429241
         161           -0.426488           -0.405414          0.00426777
         162            -0.36759            -0.40518          0.00424781
         163           -0.375276           -0.404997          0.00422571
         164           -0.423833           -0.405112           0.0042015
         165            -0.45867           -0.405436          0.00418856
         166           -0.442643           -0.405661          0.00416932
         167            -0.39788           -0.405614          0.00414461
         168           -0.456007           -0.405914          0.00413078
         169           -0.428716           -0.406049          0.00410854
         170           -0.391493           -0.405963          0.00408527
         171            -0.40814           -0.405976           0.0040614
         172           -0.448075           -0.406221          0.00404515
         173           -0.444291           -0.406441          0.00402775
         174           -0.434442           -0.406602          0.00400782
         175           -0.481534            -0.40703          0.00400772
         176           -0.471855           -0.407398          0.00400184
         177            -0.44902           -0.407633          0.00398614
         178           -0.444952           -0.407843          0.00396925
         179           -0.413758           -0.407876          0.00394721
         180           -0.325824            -0.40742          0.00395152
         181           -0.336742            -0.40703          0.00394893
         182           -0.369116           -0.406821          0.00393273
         183           -0.409818           -0.406838          0.00391127
         184           -0.441322           -0.407025           0.0038945
         185           -0.485119           -0.407447          0.00389626
         186           -0.405687           -0.407438          0.00387532
         187           -0.410279           -0.407453          0.00385463
         188           -0.452892           -0.407695           0.0038417
         189           -0.340475           -0.407339           0.0038378
         190           -0.399921             -0.4073           0.0038178
         191           -0.453026           -0.407539          0.00380531
         192            -0.41117           -0.407558          0.00378554
         193           -0.410287           -0.407572          0.00376595
         194           -0.433769           -0.407708          0.00374896
         195           -0.422069           -0.407781          0.00373045
         196           -0.498704           -0.408245          0.00374015
         197           -0.529371            -0.40886          0.00377137
         198           -0.400446           -0.408817          0.00375256
         199           -0.444668           -0.408998          0.00373802
         200           -0.440207           -0.409154          0.00372259
         201           -0.455056           -0.409382          0.00371107
         202           -0.453783           -0.409602           0.0036992
         203           -0.479985           -0.409949          0.00369719
         204           -0.483017           -0.410307          0.00369638
         205           -0.457398           -0.410536          0.00368548
         206           -0.392725            -0.41045           0.0036686
         207           -0.391149           -0.410357          0.00365206
         208           -0.359874           -0.410114          0.00364256
         209           -0.340538           -0.409781          0.00364031
         210            -0.33767           -0.409438          0.00363914
         211           -0.267084           -0.408763           0.0036839
         212           -0.357337            -0.40852           0.0036745
         213            -0.39764           -0.408469           0.0036576
         214           -0.458641           -0.408704          0.00364802
         215           -0.408464           -0.408703          0.00363105
         216           -0.411214           -0.408714          0.00361426
         217           -0.450882           -0.408909          0.00360282
         218           -0.427998           -0.408996          0.00358736
         219           -0.373471           -0.408834          0.00357464
         220            -0.40694           -0.408825          0.00355841
         221           -0.346713           -0.408544          0.00355339
         222           -0.339577           -0.408234          0.00355093
         223           -0.351233           -0.407978           0.0035442
         224            -0.36143            -0.40777          0.00353446
         225           -0.424576           -0.407845          0.00351954
         226           -0.384744           -0.407743          0.00350545
         227           -0.413876            -0.40777          0.00349012
         228           -0.364123           -0.407578          0.00348005
         229           -0.359426           -0.407368           0.0034712
         230           -0.329041           -0.407028          0.00347278
         231           -0.404431           -0.407016          0.00345776
         232           -0.443586           -0.407174          0.00344645
         233           -0.409885           -0.407186          0.00343168
         234           -0.455799           -0.407393          0.00342329
         235           -0.432693           -0.407501          0.00341042
         236           -0.408948           -0.407507          0.00339597
         237            -0.43695           -0.407631          0.00338392
         238           -0.433929           -0.407742           0.0033715
         239           -0.421247           -0.407798          0.00335787
         240           -0.435195           -0.407912          0.00334582
         241           -0.361225           -0.407719          0.00333754
         242           -0.407176           -0.407717          0.00332375
         243           -0.442483            -0.40786          0.00331315
         244           -0.464612           -0.408092          0.00330772
         245           -0.437304           -0.408211          0.00329637
         246           -0.438295           -0.408334          0.00328524
         247           -0.394288           -0.408277          0.00327243
         248           -0.432543           -0.408375           0.0032607
         249           -0.377939           -0.408252          0.00324989
         250           -0.332301           -0.407949          0.00325106
         251           -0.377474           -0.407827          0.00324037
         252           -0.500451           -0.408195          0.00324829
         253           -0.385532           -0.408105          0.00323669
         254           -0.372331           -0.407964          0.00322701
         255           -0.430894           -0.408054          0.00321561
         256           -0.458282            -0.40825          0.00320903
         257           -0.428634            -0.40833          0.00319752
         258           -0.429355           -0.408411          0.00318617
         259           -0.408074            -0.40841          0.00317386
         260            -0.41905           -0.408451          0.00316192
         261            -0.39259            -0.40839          0.00315039
         262           -0.370641           -0.408246          0.00314166
         263           -0.409236            -0.40825          0.00312972
         264           -0.399802           -0.408218          0.00311802
         265           -0.437759           -0.408329          0.00310825
         266           -0.389556           -0.408259          0.00309737
         267           -0.437572           -0.408369          0.00308771
         268           -0.421664           -0.408418          0.00307659
         269            -0.34268           -0.408174          0.00307484
         270            -0.41815           -0.408211          0.00306367
         271           -0.399584           -0.408179          0.00305254
         272           -0.342477           -0.407937          0.00305085
         273           -0.287513           -0.407496           0.0030714
         274           -0.374268           -0.407375          0.00306259
         275           -0.452412           -0.407539          0.00305583
         276           -0.397962           -0.407504          0.00304495
         277           -0.432164           -0.407593          0.00303526
         278           -0.437375             -0.4077          0.00302623
         279           -0.446202           -0.407838          0.00301853
         280           -0.432786           -0.407927          0.00300906
         281           -0.403412           -0.407911           0.0029984
         282           -0.356073           -0.407727           0.0029934
         283           -0.418967           -0.407767          0.00298308
         284           -0.392541           -0.407713          0.00297306
         285           -0.411739           -0.407728          0.00296266
         286            -0.36625           -0.407583          0.00295585
         287           -0.424201            -0.40764          0.00294612
         288           -0.517925           -0.408023          0.00296067
         289            -0.40905           -0.408027          0.00295043
         290           -0.418075           -0.408062          0.00294046
         291           -0.415509           -0.408087          0.00293046
         292           -0.459437           -0.408263           0.0029257
         293           -0.453845           -0.408419          0.00291985
         294             -0.4179           -0.408451          0.00291009
         295           -0.423987           -0.408504          0.00290071
         296           -0.413138           -0.408519          0.00289095
         297           -0.425319           -0.408576          0.00288177
         298           -0.391835            -0.40852          0.00287265
         299           -0.420869           -0.408561          0.00286333
         300            -0.40574           -0.408551          0.00285381
         301           -0.417513           -0.408581          0.00284448
         302           -0.383833           -0.408499          0.00283624
         303           -0.435833            -0.40859          0.00282832
         304           -0.374982           -0.408479          0.00282117
         305           -0.412045           -0.408491          0.00281195
         306           -0.407318           -0.408487          0.00280276
         307           -0.412576             -0.4085          0.00279366
         308            -0.40059           -0.408474          0.00278471
         309           -0.340271           -0.408254          0.00278443
         310            -0.45568           -0.408407          0.00277965
         311           -0.444711           -0.408523          0.00277316
         312           -0.528693           -0.408909          0.00279089
         313           -0.497542           -0.409192           0.0027963
         314           -0.527661           -0.409569          0.00281274
         315           -0.511235           -0.409892          0.00282226
         316           -0.442556           -0.409995          0.00281522
         317            -0.45354           -0.410133          0.00280969
         318            -0.37511           -0.410022          0.00280301
         319           -0.417908           -0.410047          0.00279434
         320           -0.353776           -0.409871          0.00279113
         321           -0.400422           -0.409842          0.00278259
         322           -0.375708           -0.409736          0.00277597
         323           -0.352886            -0.40956          0.00277295
         324           -0.361502           -0.409412          0.00276835
         325           -0.370566           -0.409292          0.00276242
         326           -0.333433           -0.409059          0.00276373
         327           -0.381854           -0.408976          0.00275653
         328           -0.395383           -0.408935          0.00274843
         329           -0.433502           -0.409009          0.00274109
         330           -0.377127           -0.408913          0.00273449
         331           -0.376894           -0.408816          0.00272794
         332             -0.3899           -0.408759          0.00272032
         333           -0.372074           -0.408649          0.00271438
         334            -0.47003           -0.408833          0.00271246
         335           -0.443285           -0.408935          0.00270632
         336           -0.427848           -0.408992          0.00269885
         337           -0.421988            -0.40903          0.00269111
         338           -0.462679           -0.409189          0.00268783
         339           -0.421562           -0.409226          0.00268015
         340           -0.437351           -0.409308          0.00267354
         341           -0.333796           -0.409087          0.00267486
         342           -0.446195           -0.409195          0.00266924
         343           -0.448495            -0.40931          0.00266391
         344           -0.450908           -0.409431          0.00265891
         345           -0.487719           -0.409658          0.00266087
         346           -0.470088           -0.409832           0.0026589
         347           -0.471964           -0.410011          0.00265726
         348           -0.511139           -0.410302          0.00266547
         349             -0.5397           -0.410673           0.0026835
         350           -0.438829           -0.410753          0.00267703
         351           -0.423098           -0.410788          0.00266964
         352           -0.418239            -0.41081          0.00266214
         353           -0.393591           -0.410761          0.00265504
         354           -0.458899           -0.410897          0.00265102
         355           -0.475795            -0.41108          0.00264985
         356           -0.456587           -0.411207          0.00264549
         357           -0.379285           -0.411118          0.00263959
         358           -0.440677           -0.411201          0.00263351
         359           -0.435114           -0.411267          0.00262701
         360           -0.460068           -0.411403          0.00262321
         361           -0.448308           -0.411505          0.00261794
         362           -0.421719           -0.411533          0.00261086
         363           -0.395219           -0.411488          0.00260405
         364           -0.487528           -0.411697          0.00260526
         365           -0.432918           -0.411755          0.00259877
         366           -0.398082           -0.411718          0.00259194
         367           -0.376725           -0.411623          0.00258663
         368           -0.390493           -0.411565          0.00258024
         369           -0.399182           -0.411532          0.00257347
         370           -0.373561           -0.411429          0.00256856
         371           -0.340788           -0.411239          0.00256868
         372           -0.335307           -0.411034          0.00256987
         373           -0.371646           -0.410929          0.00256515
         374           -0.339269           -0.410737          0.00256544
         375             -0.3798           -0.410655          0.00255992
         376           -0.365277           -0.410534          0.00255596
         377           -0.390839           -0.410482          0.00254971
         378           -0.381135           -0.410404          0.00254415
         379           -0.371422           -0.410301          0.00253952
         380           -0.399954           -0.410274          0.00253298
