#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
           1           0.0674726           0.0674726                   0
           2           0.0464528           0.0569627          0.00743163
           3           0.0525985            0.055508          0.00509481
           4           0.0529596           0.0548709          0.00386073
           5           0.0424526           0.0523872           0.0038045
           6           0.0435814           0.0509196          0.00344188
           7           0.0447375           0.0500364          0.00306139
           8           0.0456088            0.049483          0.00272829
           9           0.0435576           0.0488246          0.00250332
          10           0.0455723           0.0484994          0.00227402
          11           0.0465563           0.0483227          0.00207414
          12           0.0490546           0.0483837          0.00190219
          13           0.0614548           0.0493892          0.00200406
          14           0.0461144           0.0491553          0.00187452
          15           0.0407611           0.0485957          0.00183118
          16           0.0425881           0.0482202           0.0017548
          17           0.0595376           0.0488859          0.00177337
          18           0.0435569           0.0485899          0.00169938
          19           0.0536961           0.0488586          0.00163105
          20           0.0626569           0.0495485          0.00168912
          21           0.0695076            0.050499          0.00185693
          22            0.060576            0.050957          0.00182814
          23           0.0438284           0.0506471          0.00177474
          24             0.05511            0.050833           0.0017105
          25           0.0562016           0.0510478          0.00165551
          26           0.0566105           0.0512617           0.0016056
          27           0.0501706           0.0512213          0.00154664
          28           0.0474542           0.0510868          0.00149725
          29           0.0537291           0.0511779          0.00144839
          30           0.0445889           0.0509582          0.00141666
          31           0.0390635           0.0505745          0.00142198
          32           0.0491206           0.0505291          0.00137827
          33           0.0524655           0.0505878          0.00133775
          34           0.0511908           0.0506055          0.00129852
          35           0.0535967            0.050691          0.00126423
          36           0.0445065           0.0505192          0.00124073
          37           0.0412409           0.0502684          0.00123228
          38           0.0446548           0.0501207          0.00120867
          39           0.0558863           0.0502685          0.00118669
          40           0.0574917           0.0504491          0.00117068
          41           0.0515821           0.0504767          0.00114245
          42           0.0548656           0.0505812          0.00112002
          43           0.0470787           0.0504998          0.00109693
          44           0.0443819           0.0503607          0.00108077
          45           0.0372047           0.0500684          0.00109559
          46           0.0525594           0.0501225          0.00107311
          47           0.0546585           0.0502191          0.00105461
          48           0.0429546           0.0500677          0.00104344
          49           0.0411626            0.049886          0.00103785
          50           0.0433197           0.0497546          0.00102537
          51           0.0548435           0.0498544          0.00101011
          52           0.0502086           0.0498612         0.000990703
          53           0.0558541           0.0499743         0.000978442
          54           0.0498774           0.0499725         0.000960324
          55           0.0450835           0.0498836         0.000946969
          56           0.0479553           0.0498492         0.000930685
          57           0.0431888           0.0497323         0.000921663
          58           0.0562592           0.0498449         0.000912616
          59           0.0616042           0.0500442         0.000918655
          60           0.0508186           0.0500571         0.000903435
          61           0.0484224           0.0500303         0.000889022
          62           0.0466569           0.0499759         0.000876346
          63           0.0510875           0.0499935         0.000862613
          64           0.0512497           0.0500132         0.000849358
          65           0.0480257           0.0499826         0.000836841
          66           0.0481574           0.0499549         0.000824619
          67           0.0354145           0.0497379         0.000840383
          68           0.0604103           0.0498949         0.000842553
          69           0.0505594           0.0499045         0.000830397
          70           0.0598024           0.0500459         0.000830486
          71           0.0564561           0.0501362         0.000823682
          72           0.0419361           0.0500223         0.000820077
          73           0.0455351           0.0499608         0.000811144
          74           0.0396428           0.0498214         0.000812078
          75           0.0358257           0.0496348         0.000822412
          76           0.0344612           0.0494351         0.000835473
          77           0.0413251           0.0493298         0.000831235
          78           0.0531419           0.0493787         0.000822014
          79           0.0459334           0.0493351         0.000812765
          80           0.0531292           0.0493825         0.000803988
          81           0.0448008           0.0493259         0.000796049
          82           0.0416754           0.0492326          0.00079179
          83           0.0471145           0.0492071         0.000782661
          84           0.0374839           0.0490675         0.000785689
          85           0.0324897           0.0488725         0.000800286
          86            0.048228            0.048865         0.000791016
          87           0.0465312           0.0488382         0.000782378
          88           0.0330771           0.0486591         0.000793723
          89           0.0417882           0.0485819         0.000788551
          90           0.0376052           0.0484599         0.000789164
          91           0.0475996           0.0484505         0.000780549
          92           0.0489459           0.0484558         0.000772083
          93           0.0373912           0.0483369         0.000772894
          94            0.040202           0.0482503         0.000769501
          95           0.0455052           0.0482214         0.000761943
          96           0.0418686           0.0481553         0.000756875
          97            0.047074           0.0481441         0.000749154
          98           0.0388439           0.0480492         0.000747496
          99           0.0428883           0.0479971         0.000741761
         100           0.0488021           0.0480051         0.000734387
         101           0.0518166           0.0480429         0.000728085
         102           0.0414285            0.047978         0.000723829
         103           0.0427464           0.0479272         0.000718581
         104           0.0337413           0.0477908         0.000724502
         105            0.048795           0.0478004         0.000717666
         106           0.0527981           0.0478475         0.000712442
         107           0.0386859           0.0477619          0.00071091
         108           0.0456035           0.0477419         0.000704609
         109           0.0402901           0.0476736         0.000701453
         110           0.0632085           0.0478148         0.000709151
         111           0.0547365           0.0478772         0.000705498
         112           0.0537993             0.04793         0.000701178
         113           0.0495499           0.0479444         0.000695119
         114           0.0443134           0.0479125         0.000689751
         115            0.057186           0.0479931         0.000688451
         116           0.0448139           0.0479657         0.000683061
         117           0.0416456           0.0479117         0.000679356
         118            0.040002           0.0478447         0.000676897
         119           0.0409257           0.0477865         0.000673702
         120           0.0406635           0.0477272         0.000670697
         121           0.0359675             0.04763         0.000672159
         122           0.0409578           0.0475753         0.000668871
         123           0.0444853           0.0475502         0.000663904
         124           0.0422341           0.0475073         0.000659933
         125           0.0558523           0.0475741         0.000658022
         126           0.0592753           0.0476669          0.00065932
         127           0.0663194           0.0478138         0.000670287
         128           0.0782045           0.0480512         0.000705849
         129           0.0604908           0.0481477         0.000706934
         130           0.0568549           0.0482147         0.000704662
         131           0.0473781           0.0482083         0.000699312
         132           0.0500847           0.0482225         0.000694158
         133           0.0417872           0.0481741         0.000690623
         134           0.0407802           0.0481189          0.00068767
         135           0.0489083           0.0481248         0.000682601
         136           0.0566973           0.0481878         0.000680486
         137           0.0534267            0.048226         0.000676593
         138           0.0423828           0.0481837         0.000673014
         139           0.0420555           0.0481396         0.000669614
         140           0.0360536           0.0480533         0.000670373
         141            0.039675           0.0479939         0.000668247
         142           0.0433134           0.0479609         0.000664353
         143           0.0404798           0.0479086         0.000661764
         144           0.0349968           0.0478189         0.000663215
         145           0.0411229           0.0477727         0.000660247
         146           0.0383911           0.0477085         0.000658844
         147           0.0444488           0.0476863         0.000654736
         148           0.0354837           0.0476039         0.000655483
         149           0.0328406           0.0475048         0.000658529
         150           0.0409211           0.0474609           0.0006556
         151           0.0338366           0.0473707         0.000657438
         152           0.0506286           0.0473921         0.000653462
         153           0.0408854           0.0473496         0.000650573
         154           0.0380085           0.0472889          0.00064917
         155           0.0456244           0.0472782         0.000645071
         156           0.0556654           0.0473319         0.000643173
         157             0.06045           0.0474155          0.00064448
         158           0.0478867           0.0474185         0.000640408
         159           0.0463944            0.047412         0.000636413
         160            0.043127           0.0473852         0.000632999
         161           0.0525177           0.0474171         0.000629869
         162           0.0590673            0.047489         0.000630073
         163           0.0515422           0.0475139         0.000626698
         164           0.0447401            0.047497         0.000623105
         165           0.0398822           0.0474508         0.000621035
         166           0.0375152            0.047391         0.000620172
         167           0.0429891           0.0473646         0.000617018
         168           0.0444117           0.0473471         0.000613595
         169           0.0414031           0.0473119         0.000610972
         170             0.06017           0.0473875         0.000612042
         171           0.0459405           0.0473791         0.000608521
         172           0.0467709           0.0473755         0.000604993
         173           0.0544983           0.0474167         0.000602896
         174           0.0465623           0.0474118         0.000599451
         175           0.0390202           0.0473638          0.00059794
         176           0.0426461            0.047337         0.000595143
         177           0.0413106            0.047303         0.000592754
         178           0.0412745           0.0472691         0.000590391
         179           0.0445588            0.047254         0.000587286
         180           0.0521356           0.0472811          0.00058465
         181           0.0527582           0.0473113         0.000582202
         182            0.050048           0.0473264         0.000579197
         183           0.0575706           0.0473824         0.000578731
         184           0.0538207           0.0474174         0.000576643
         185           0.0609773           0.0474907         0.000578165
         186           0.0587495           0.0475512         0.000578217
         187           0.0689237           0.0476655         0.000586312
         188           0.0425499           0.0476383         0.000583824
         189           0.0588711           0.0476977         0.000583752
         190           0.0481573           0.0477001         0.000580685
         191           0.0444391            0.047683         0.000577896
         192           0.0529619           0.0477105         0.000575539
         193           0.0529212           0.0477375          0.00057319
         194           0.0435205           0.0477158         0.000570648
         195           0.0616382           0.0477872          0.00057217
         196            0.069529           0.0478981         0.000579904
         197            0.065462           0.0479873         0.000583774
         198           0.0520497           0.0480078         0.000581186
         199           0.0501267           0.0480184         0.000578363
         200            0.043918           0.0479979         0.000575835
         201           0.0382105           0.0479492         0.000575025
         202           0.0414083           0.0479169         0.000573089
         203           0.0368382           0.0478623         0.000572859
         204           0.0427263           0.0478371         0.000570604
         205            0.055795           0.0478759         0.000569139
         206           0.0651407           0.0479597         0.000572514
         207           0.0382653           0.0479129          0.00057166
         208           0.0440686           0.0478944         0.000569211
         209           0.0462654           0.0478866         0.000566541
         210           0.0469895           0.0478824         0.000563859
         211           0.0541313            0.047912         0.000561964
         212            0.042264           0.0478853         0.000559944
         213           0.0522295           0.0479057         0.000557687
         214           0.0449362           0.0478919         0.000555253
         215           0.0581649           0.0479396         0.000554723
         216           0.0622117           0.0480057         0.000556076
         217           0.0517697           0.0480231         0.000553784
         218           0.0467507           0.0480172         0.000551274
         219           0.0695068           0.0481153         0.000557422
         220           0.0440228           0.0480967         0.000555198
         221           0.0474825            0.048094         0.000552693
         222           0.0473931           0.0480908         0.000550212
         223           0.0590566             0.04814         0.000549938
         224           0.0436596             0.04812         0.000547846
         225           0.0485098           0.0481217         0.000545414
         226           0.0490686           0.0481259         0.000543017
         227           0.0437966           0.0481068          0.00054096
         228           0.0503498           0.0481167         0.000538677
         229           0.0528018           0.0481371         0.000536713
         230           0.0599395           0.0481884         0.000536827
         231           0.0481088           0.0481881         0.000534503
         232           0.0356687           0.0481341         0.000534916
         233           0.0454404           0.0481226         0.000532745
         234           0.0635774           0.0481886         0.000534547
         235           0.0554777           0.0482196         0.000533171
         236           0.0550398           0.0482485         0.000531695
         237           0.0419039           0.0482218         0.000530125
         238           0.0485924           0.0482233           0.0005279
         239           0.0447655           0.0482089         0.000525889
         240           0.0450778           0.0481958          0.00052386
         241           0.0531585           0.0482164         0.000522091
         242           0.0501838           0.0482245         0.000519996
         243           0.0501313           0.0482324         0.000517916
         244           0.0530685           0.0482522         0.000516172
         245           0.0482561           0.0482522         0.000514065
         246            0.047133           0.0482477         0.000511996
         247           0.0421267           0.0482229         0.000510522
         248           0.0387108           0.0481845         0.000509903
         249           0.0466477           0.0481784         0.000507892
         250           0.0577856           0.0482168         0.000507312
         251           0.0619737           0.0482716         0.000508243
         252           0.0468946           0.0482661         0.000506256
         253           0.0527447           0.0482838         0.000504564
         254           0.0487708           0.0482857         0.000502581
         255           0.0487544           0.0482876         0.000500614
         256           0.0447607           0.0482738         0.000498848
         257           0.0455795           0.0482633         0.000497017
         258           0.0471781           0.0482591         0.000495108
         259           0.0441343           0.0482432         0.000493453
         260           0.0499908           0.0482499           0.0004916
         261           0.0665947           0.0483202         0.000494716
         262           0.0646423           0.0483825         0.000496735
         263            0.043774            0.048365         0.000495155
         264           0.0518652           0.0483782         0.000493457
         265           0.0456665            0.048368         0.000491701
         266           0.0370044           0.0483253         0.000491705
         267            0.047767           0.0483232         0.000489868
         268           0.0510153           0.0483332         0.000488143
         269           0.0578903           0.0483688         0.000487619
         270            0.058953            0.048408         0.000487387
         271           0.0490327           0.0484103         0.000485593
         272           0.0459341           0.0484012         0.000483894
         273           0.0553298           0.0484265         0.000482786
         274           0.0478964           0.0484246         0.000481028
         275           0.0441079           0.0484089         0.000479535
         276           0.0403779           0.0483798         0.000478679
         277           0.0442809            0.048365          0.00047718
         278           0.0530834            0.048382         0.000475765
         279           0.0416459           0.0483578         0.000474672
         280           0.0476441           0.0483553         0.000472984
         281           0.0558536            0.048382         0.000472053
         282             0.05447           0.0484036         0.000470872
         283           0.0418851           0.0483805         0.000469771
         284           0.0495399           0.0483846         0.000468135
         285           0.0502998           0.0483913         0.000466541
         286           0.0483092           0.0483911         0.000464909
         287           0.0483515           0.0483909          0.00046329
         288           0.0548517           0.0484133         0.000462224
         289            0.050079           0.0484191          0.00046066
         290           0.0704798           0.0484952          0.00046531
         291           0.0544985           0.0485158         0.000464169
         292           0.0423104           0.0484946         0.000463065
         293           0.0542208           0.0485141         0.000461897
         294           0.0458308            0.048505         0.000460416
         295            0.057031           0.0485339         0.000459762
         296           0.0405222           0.0485068         0.000459004
         297           0.0458505           0.0484979         0.000457546
         298           0.0529624           0.0485129         0.000456256
         299            0.051568           0.0485231         0.000454844
         300           0.0423137           0.0485024         0.000453799
         301           0.0479197           0.0485004         0.000452295
         302           0.0522505           0.0485129         0.000450968
         303           0.0467095           0.0485069         0.000449519
         304           0.0657614           0.0485637         0.000451609
         305           0.0593881           0.0485991         0.000451521
         306           0.0513432           0.0486081         0.000450135
         307           0.0447955           0.0485957          0.00044884
         308           0.0478307           0.0485932         0.000447389
         309           0.0709953           0.0486657         0.000451777
         310           0.0484894           0.0486651          0.00045032
         311           0.0482552           0.0486638         0.000448874
         312           0.0511704           0.0486719         0.000447507
         313           0.0558973           0.0486949         0.000446673
         314           0.0441288           0.0486804         0.000445487
         315           0.0479178            0.048678         0.000444079
         316           0.0582896           0.0487084         0.000443714
         317           0.0541208           0.0487255         0.000442643
         318           0.0537707           0.0487413         0.000441535
         319           0.0632562           0.0487868         0.000442489
         320           0.0544787           0.0488046         0.000441464
         321           0.0411626           0.0487808          0.00044073
         322           0.0493531           0.0487826         0.000439365
         323           0.0496222           0.0487852         0.000438012
         324            0.047235           0.0487804         0.000436687
         325           0.0553488           0.0488006          0.00043581
         326           0.0605001           0.0488365         0.000435949
         327           0.0477038            0.048833         0.000434629
         328           0.0613398           0.0488712         0.000434974
         329            0.056966           0.0488958         0.000434347
         330           0.0580059           0.0489234         0.000433907
         331           0.0564105            0.048946         0.000433185
         332           0.0430599           0.0489283         0.000432243
         333           0.0424213           0.0489087         0.000431387
         334           0.0454715           0.0488984         0.000430218
         335           0.0496271           0.0489006         0.000428939
         336           0.0477471           0.0488972         0.000427676
         337           0.0461417            0.048889         0.000426485
         338           0.0353686            0.048849         0.000427095
         339           0.0489994           0.0488495         0.000425836
         340           0.0440346           0.0488353         0.000424819
         341           0.0617439           0.0488731         0.000425256
         342           0.0488692           0.0488731         0.000424013
         343            0.048787           0.0488729         0.000422776
         344           0.0472652           0.0488682         0.000421573
         345           0.0440592           0.0488543         0.000420582
         346           0.0485806           0.0488535         0.000419367
