#   N_BLOCK:  ACCEPTANCE:
           1            0.616738
           2            0.617563
           3             0.61698
           4             0.61666
           5            0.616341
           6            0.615933
           7            0.616055
           8            0.616157
           9            0.616272
          10            0.616408
          11            0.616354
          12            0.616238
          13            0.616354
          14            0.616376
          15            0.616287
          16            0.616319
          17            0.616267
          18            0.616335
          19            0.616378
          20            0.616321
          21            0.616272
          22             0.61621
          23            0.616167
          24            0.616149
          25            0.616161
          26            0.616245
          27            0.616365
          28            0.616363
          29            0.616357
          30            0.616391
          31            0.616359
          32            0.616459
          33             0.61647
          34            0.616515
          35            0.616554
          36            0.616528
          37            0.616539
          38            0.616603
          39            0.616535
          40            0.616559
          41            0.616542
          42             0.61653
          43            0.616553
          44            0.616515
          45            0.616526
          46            0.616511
          47            0.616455
          48            0.616479
          49            0.616488
          50            0.616461
          51            0.616449
          52            0.616458
          53            0.616481
          54            0.616445
          55            0.616419
          56            0.616447
          57            0.616423
          58            0.616409
          59             0.61641
          60            0.616413
          61            0.616434
          62            0.616403
          63            0.616422
          64            0.616419
          65            0.616456
          66            0.616479
          67            0.616483
          68            0.616479
          69            0.616482
          70            0.616512
          71            0.616523
          72            0.616524
          73            0.616534
          74            0.616546
          75            0.616544
          76            0.616546
          77            0.616551
          78            0.616543
          79            0.616526
          80            0.616518
          81            0.616537
          82            0.616545
          83            0.616531
          84            0.616541
          85            0.616533
          86            0.616547
          87            0.616544
          88            0.616529
          89            0.616519
          90            0.616508
          91            0.616519
          92            0.616513
          93            0.616528
          94            0.616522
          95            0.616531
          96            0.616555
          97            0.616528
          98            0.616518
          99             0.61652
         100            0.616531
