#     BLOCK:         BIN_CENTER:        ACTUAL_GOFR:           GOFR_AVE:              ERROR:
         100           0.0323165                   0                   0                   0
         100           0.0969496                   0                   0                   0
         100            0.161583                   0                   0                   0
         100            0.226216                   0                   0                   0
         100            0.290849                   0                   0                   0
         100            0.355482                   0                   0                   0
         100            0.420115                   0                   0                   0
         100            0.484748                   0                   0                   0
         100            0.549381                   0                   0                   0
         100            0.614014                   0                   0                   0
         100            0.678647                   0                   0                   0
         100             0.74328                   0                   0                   0
         100            0.807913                   0                   0                   0
         100            0.872546          0.00179605          0.00100978         6.50225e-05
         100            0.937179            0.154657             0.14802          0.00065102
         100             1.00181             1.06949             1.06538          0.00215949
         100             1.06645             2.00897             2.04379          0.00293693
         100             1.13108             2.24912             2.27113           0.0026069
         100             1.19571              2.0447             2.08704          0.00274804
         100             1.26034             1.85122             1.83235          0.00231896
         100             1.32498             1.63108             1.61477          0.00208507
         100             1.38961             1.44741             1.45455          0.00153643
         100             1.45424             1.33974             1.33571          0.00151343
         100             1.51888             1.23982             1.25155          0.00143609
         100             1.58351             1.17451             1.18929           0.0012479
         100             1.64814             1.16612             1.14465          0.00123051
         100             1.71278             1.10004             1.11372          0.00121109
         100             1.77741             1.08404             1.09006          0.00110006
         100             1.84204             1.08873             1.07366          0.00102876
         100             1.90667              1.0686             1.06478         0.000963645
         100             1.97131              1.0596             1.05969         0.000798082
         100             2.03594             1.06127             1.05702         0.000962773
         100             2.10057             1.05991              1.0561         0.000850178
         100             2.16521             1.05269             1.05179          0.00083701
         100             2.22984             1.05482             1.04815         0.000719638
         100             2.29447             1.05066             1.04181         0.000746722
         100             2.35911             1.04156             1.03622         0.000762621
         100             2.42374             1.03429             1.03177         0.000769842
         100             2.48837             1.01182             1.02645         0.000771373
         100             2.55301             1.03115             1.02106         0.000617803
         100             2.61764             1.01773             1.01904         0.000707601
         100             2.68227             1.01689             1.01384         0.000652978
         100              2.7469             1.02007             1.01062         0.000652989
         100             2.81154             1.01328             1.00712         0.000663685
         100             2.87617             1.00897             1.00519         0.000578517
         100              2.9408             1.00857             1.00166          0.00059753
         100             3.00544            0.998929              1.0022         0.000594853
         100             3.07007             0.98755             1.00019         0.000580572
         100              3.1347            0.994581            0.997679         0.000534503
         100             3.19934            0.999411            0.996582         0.000557466
         100             3.26397            0.997875            0.996802         0.000542995
         100              3.3286             0.99189            0.995143         0.000513154
         100             3.39323             0.98892             0.99508         0.000504842
         100             3.45787             1.00057            0.995158         0.000516098
         100              3.5225            0.995766             0.99306         0.000466078
         100             3.58713            0.994735             0.99277         0.000455166
         100             3.65177            0.992799            0.991891         0.000491268
         100              3.7164            0.990912            0.991511         0.000522278
         100             3.78103            0.985893            0.990568         0.000456679
         100             3.84567            0.991493            0.990614         0.000393035
         100              3.9103            0.993124            0.989201         0.000426106
         100             3.97493            0.986257            0.989955         0.000404076
         100             4.03957            0.990318            0.989118         0.000385064
         100              4.1042            0.990568            0.988887         0.000403276
         100             4.16883            0.983208            0.988229         0.000432013
         100             4.23346            0.989019            0.988646         0.000379887
         100              4.2981            0.992978            0.987983         0.000440749
         100             4.36273            0.986143            0.987882         0.000385898
         100             4.42736            0.986486            0.987585         0.000372593
         100               4.492             0.98521            0.987425         0.000345495
         100             4.55663            0.994166            0.987715         0.000353848
         100             4.62126            0.981278            0.987686         0.000370887
         100              4.6859            0.990233            0.987248         0.000361617
         100             4.75053            0.986122            0.987118         0.000345827
         100             4.81516            0.986358            0.987317         0.000326034
         100             4.87979            0.989874            0.986895         0.000327879
         100             4.94443            0.990402            0.986775         0.000318113
         100             5.00906            0.990465            0.986588         0.000342043
         100             5.07369            0.989045            0.985398         0.000318248
         100             5.13833            0.990653            0.986549         0.000325041
         100             5.20296            0.988682            0.986601          0.00034224
         100             5.26759             0.98527            0.986138          0.00031819
         100             5.33223            0.992157            0.986298         0.000301516
         100             5.39686            0.982454            0.985815         0.000317517
         100             5.46149            0.989898            0.986159         0.000334478
         100             5.52612            0.988028            0.986425         0.000290942
         100             5.59076            0.980216             0.98653          0.00026961
         100             5.65539            0.992874            0.986123         0.000322276
         100             5.72002            0.986275            0.985886         0.000254323
         100             5.78466            0.982465            0.985396         0.000291498
         100             5.84929            0.986636            0.985835         0.000261004
         100             5.91392            0.987923            0.985559         0.000260558
         100             5.97856             0.98288            0.986003         0.000274098
         100             6.04319             0.98476             0.98561         0.000248239
         100             6.10782            0.989275            0.985446         0.000307272
         100             6.17246            0.989033            0.985963         0.000275083
         100             6.23709            0.985079            0.986272          0.00022047
         100             6.30172            0.988409             0.98566          0.00023602
         100             6.36635            0.983072            0.985962         0.000285331
         100             6.43099            0.979307            0.985777         0.000273365


