#     BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
           1           -0.415638           -0.415638                   0
           2           -0.413282            -0.41446         0.000833011
           3           -0.413954           -0.414292         0.000572191
           4            -0.41498           -0.414464         0.000454301
           5           -0.414606           -0.414492          0.00036433
           6           -0.417276           -0.414956         0.000521094
           7           -0.413319           -0.414722         0.000496341
           8           -0.414555           -0.414701          0.00043474
           9           -0.412466           -0.414453         0.000451859
          10           -0.412261           -0.414234         0.000456735
          11           -0.416767           -0.414464         0.000469708
          12           -0.416567           -0.414639           0.0004621
          13             -0.4123           -0.414459         0.000460255
          14           -0.413883           -0.414418         0.000429214
          15           -0.414696           -0.414437            0.000401
          16           -0.411173           -0.414233         0.000424662
          17           -0.416573            -0.41437         0.000421408
          18           -0.412829           -0.414285          0.00040661
          19            -0.41338           -0.414237          0.00038799
          20           -0.416929           -0.414372          0.00039124
          21            -0.41591           -0.414445         0.000379406
          22           -0.417871           -0.414601         0.000392827
          23            -0.41573            -0.41465         0.000378805
          24           -0.416138           -0.414712         0.000368058
          25           -0.415796           -0.414755         0.000355879
          26           -0.411703           -0.414638         0.000361038
          27           -0.409729           -0.414456         0.000390763
          28           -0.415127            -0.41448          0.00037754
          29           -0.414831           -0.414492         0.000364715
          30            -0.41361           -0.414463          0.00035374
          31           -0.416761           -0.414537         0.000350012
          32           -0.410583           -0.414413         0.000360222
          33           -0.415225           -0.414438         0.000350144
          34           -0.411456            -0.41435         0.000350656
          35           -0.413061           -0.414313         0.000342566
          36           -0.413023           -0.414277          0.00033492
          37           -0.413324           -0.414252         0.000326858
          38           -0.413266           -0.414226         0.000319284
          39           -0.415488           -0.414258         0.000312732
          40           -0.413868           -0.414248         0.000305065
          41           -0.417418           -0.414326         0.000307267
          42           -0.412707           -0.414287         0.000302357
          43           -0.411007           -0.414211         0.000304794
          44           -0.415257           -0.414235         0.000298792
          45           -0.414691           -0.414245         0.000292324
          46           -0.414854           -0.414258          0.00028627
          47           -0.418073           -0.414339         0.000291462
          48             -0.4142           -0.414336         0.000285404
          49            -0.41515           -0.414353         0.000280062
          50           -0.417861           -0.414423         0.000283113
          51           -0.416407           -0.414462         0.000280222
          52           -0.414211           -0.414457         0.000274875
          53            -0.41366           -0.414442           0.0002701
          54           -0.415714           -0.414466         0.000266123
          55           -0.415017           -0.414476         0.000261473
          56           -0.412092           -0.414433         0.000260247
          57           -0.416841           -0.414475         0.000259086
          58           -0.416521           -0.414511          0.00025701
          59           -0.415357           -0.414525         0.000253053
          60           -0.414968           -0.414532         0.000248944
          61           -0.413954           -0.414523         0.000245043
          62           -0.417321           -0.414568         0.000245212
          63           -0.412959           -0.414543         0.000242647
          64           -0.415361           -0.414555         0.000239192
          65           -0.412177           -0.414519         0.000238295
          66           -0.412765           -0.414492         0.000236162
          67           -0.412976           -0.414469         0.000233719
          68           -0.413016           -0.414448         0.000231258
          69           -0.413779           -0.414438          0.00022811
          70           -0.413014           -0.414418         0.000225756
          71           -0.415655           -0.414435         0.000223247
          72           -0.413315            -0.41442         0.000220689
          73           -0.414255           -0.414418         0.000217677
          74           -0.413648           -0.414407         0.000214984
          75           -0.413407           -0.414394         0.000212531
          76           -0.411949           -0.414362         0.000212155
          77           -0.414893           -0.414369         0.000209512
          78           -0.416286           -0.414393         0.000208263
          79           -0.416638           -0.414422         0.000207555
          80           -0.415853            -0.41444         0.000205731
          81           -0.413008           -0.414422         0.000203949
          82           -0.413632           -0.414412         0.000201689
          83           -0.415944           -0.414431         0.000200102
          84            -0.41576           -0.414447         0.000198344
          85           -0.415232           -0.414456         0.000196226
          86           -0.411688           -0.414424         0.000196567
          87           -0.414614           -0.414426         0.000194319
          88           -0.416234           -0.414446         0.000193195
          89           -0.415893           -0.414463         0.000191707
          90            -0.41655           -0.414486         0.000190975
          91           -0.414602           -0.414487          0.00018888
          92            -0.41646           -0.414508         0.000188041
          93           -0.412802            -0.41449         0.000186912
          94           -0.417365           -0.414521         0.000187409
          95           -0.413569           -0.414511         0.000185704
          96           -0.412067           -0.414485         0.000185506
          97           -0.418041           -0.414522          0.00018718
          98           -0.414059           -0.414517         0.000185329
          99           -0.411926           -0.414491         0.000185296
         100           -0.412341            -0.41447         0.000184686
