#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
           1           0.0485815           0.0485815                   0
           2           0.0489055           0.0487435         0.000114553
           3           0.0494308           0.0489726         0.000202057
           4           0.0494611           0.0490947         0.000184794
           5           0.0485942           0.0489946         0.000172832
           6           0.0488894           0.0489771         0.000144914
           7           0.0489815           0.0489777         0.000124214
           8           0.0490313           0.0489844         0.000108867
           9           0.0487416           0.0489574         0.000100058
          10           0.0492718           0.0489889          9.4863e-05
          11           0.0491278           0.0490015         8.70762e-05
          12           0.0490112           0.0490023         7.98236e-05
          13           0.0493023           0.0490254         7.69458e-05
          14             0.04866           0.0489993          7.5747e-05
          15           0.0489113           0.0489934         7.09238e-05
          16            0.048888           0.0489868         6.67966e-05
          17            0.048816           0.0489768         6.36189e-05
          18           0.0491935           0.0489888         6.12136e-05
          19           0.0486775           0.0489724         6.01446e-05
          20           0.0491427           0.0489809         5.77365e-05
          21           0.0487826           0.0489715         5.57541e-05
          22           0.0490167           0.0489735         5.32577e-05
          23           0.0489605            0.048973         5.09452e-05
          24           0.0489279           0.0489711         4.88572e-05
          25           0.0493248           0.0489852         4.89086e-05
          26           0.0489883           0.0489854         4.70277e-05
          27           0.0495039           0.0490046          4.9051e-05
          28           0.0486221           0.0489909         4.91646e-05
          29           0.0491509           0.0489964         4.77777e-05
          30            0.049076           0.0489991         4.62588e-05
          31           0.0491018           0.0490024         4.48851e-05
          32           0.0490253           0.0490031         4.34881e-05
          33           0.0490734           0.0490052         4.22225e-05
          34           0.0490474           0.0490065         4.09989e-05
          35           0.0492654           0.0490139         4.04892e-05
          36            0.049086           0.0490159          3.9414e-05
          37           0.0489177           0.0490132          3.8438e-05
          38           0.0491707           0.0490174         3.76492e-05
          39           0.0492577           0.0490235         3.71847e-05
          40           0.0488821             0.04902         3.64227e-05
          41           0.0490331           0.0490203         3.55358e-05
          42           0.0490635           0.0490213         3.47046e-05
          43           0.0492479           0.0490266         3.42951e-05
          44           0.0491265           0.0490289         3.35907e-05
          45            0.048978           0.0490278         3.28632e-05
          46           0.0492668           0.0490329         3.25572e-05
          47           0.0486567           0.0490249         3.28338e-05
          48           0.0491062           0.0490266         3.21934e-05
          49           0.0495714           0.0490378         3.34006e-05
          50           0.0491509             0.04904         3.28092e-05
          51           0.0491061           0.0490413         3.21915e-05
          52           0.0491184           0.0490428         3.16065e-05
          53           0.0488873           0.0490399          3.1146e-05
          54           0.0490921           0.0490408         3.05843e-05
          55           0.0488928           0.0490381         3.01464e-05
          56           0.0490201           0.0490378         2.96098e-05
          57           0.0490418           0.0490379         2.90904e-05
          58           0.0488575           0.0490348         2.87546e-05
          59           0.0491678            0.049037         2.83555e-05
          60            0.049227           0.0490402         2.80592e-05
          61           0.0492238           0.0490432         2.77601e-05
          62           0.0491034           0.0490442         2.73293e-05
          63           0.0490033           0.0490435         2.69032e-05
          64            0.049112           0.0490446         2.65041e-05
          65           0.0493669           0.0490496         2.65563e-05
          66            0.049404           0.0490549         2.66915e-05
          67             0.04883           0.0490516         2.65035e-05
          68           0.0487966           0.0490478         2.63776e-05
          69           0.0490191           0.0490474         2.59986e-05
          70           0.0489151           0.0490455         2.56958e-05
          71           0.0492094           0.0490478         2.54374e-05
          72           0.0486913           0.0490429         2.55615e-05
          73           0.0491487           0.0490443         2.52524e-05
          74           0.0486029           0.0490384         2.56061e-05
          75           0.0493073           0.0490419         2.55146e-05
          76           0.0491683           0.0490436         2.52329e-05
          77           0.0488156           0.0490406         2.50784e-05
          78           0.0491433            0.049042         2.47914e-05
          79           0.0492852            0.049045         2.46679e-05
          80           0.0490321           0.0490449         2.43601e-05
          81           0.0489981           0.0490443         2.40662e-05
          82           0.0490118           0.0490439          2.3776e-05
          83           0.0488736           0.0490419         2.35779e-05
          84           0.0488475           0.0490395         2.34104e-05
          85           0.0487406            0.049036         2.33977e-05
          86           0.0488713           0.0490341         2.32039e-05
          87           0.0488611           0.0490321         2.30222e-05
          88           0.0488679           0.0490303         2.28361e-05
          89           0.0491202           0.0490313         2.26019e-05
          90           0.0485578            0.049026         2.29547e-05
          91           0.0487271           0.0490227         2.29363e-05
          92            0.049008           0.0490226         2.26875e-05
          93           0.0490645            0.049023         2.24481e-05
          94           0.0491171            0.049024         2.22315e-05
          95           0.0490242            0.049024         2.19975e-05
          96            0.049014           0.0490239         2.17686e-05
          97           0.0494304           0.0490281         2.19438e-05
          98           0.0489724           0.0490275         2.17273e-05
          99           0.0490172           0.0490274          2.1508e-05
         100           0.0491889            0.049029         2.13535e-05
