#   N_BLOCK:  ACCEPTANCE:
           1            0.510265
           2            0.507608
           3            0.508462
           4            0.508782
           5            0.508758
           6            0.508835
           7            0.509024
           8            0.508811
           9            0.508753
          10            0.508533
          11            0.508494
          12            0.508426
          13             0.50842
          14            0.508384
          15            0.508387
          16            0.508204
          17            0.508126
          18            0.508035
          19            0.507906
          20            0.507912
          21            0.507972
          22            0.507964
          23            0.508013
          24              0.5079
          25            0.507904
          26            0.507924
          27            0.508002
          28            0.508033
          29            0.508039
          30            0.508016
          31            0.508063
          32            0.508022
          33            0.507984
          34            0.507969
          35            0.508031
          36            0.508002
          37             0.50799
          38            0.507981
          39            0.507954
          40            0.507988
          41            0.507988
          42            0.507963
          43            0.507974
          44            0.507956
          45            0.507979
          46            0.507967
          47             0.50798
          48            0.507982
          49            0.508013
          50            0.508017
          51            0.508028
          52            0.508024
          53            0.508043
          54            0.508072
          55            0.508039
          56            0.508034
          57            0.508063
          58            0.508035
          59            0.508037
          60            0.508004
          61            0.508067
          62            0.508109
          63            0.508112
          64            0.508091
          65            0.508093
          66            0.508107
          67             0.50811
          68            0.508151
          69            0.508123
          70            0.508089
          71            0.508081
          72            0.508082
          73            0.508104
          74            0.508056
          75            0.508079
          76            0.508078
          77            0.508074
          78            0.508108
          79            0.508101
          80            0.508123
          81            0.508104
          82            0.508136
          83            0.508136
          84            0.508144
          85            0.508154
          86            0.508171
          87             0.50815
          88            0.508116
          89            0.508116
          90            0.508111
          91            0.508111
          92            0.508106
          93            0.508112
          94            0.508124
          95            0.508167
          96            0.508187
          97            0.508173
          98             0.50817
          99            0.508168
         100            0.508177
