#     BLOCK:         BIN_CENTER:        ACTUAL_GOFR:           GOFR_AVE:              ERROR:
         100           0.0128248                   0                   0                   0
         100           0.0384745                   0                   0                   0
         100           0.0641241                   0                   0                   0
         100           0.0897737                   0                   0                   0
         100            0.115423                   0                   0                   0
         100            0.141073                   0                   0                   0
         100            0.166723                   0                   0                   0
         100            0.192372                   0                   0                   0
         100            0.218022                   0                   0                   0
         100            0.243672                   0                   0                   0
         100            0.269321                   0                   0                   0
         100            0.294971                   0                   0                   0
         100             0.32062                   0                   0                   0
         100             0.34627                   0                   0                   0
         100             0.37192                   0                   0                   0
         100            0.397569                   0                   0                   0
         100            0.423219                   0                   0                   0
         100            0.448869                   0                   0                   0
         100            0.474518                   0                   0                   0
         100            0.500168                   0                   0                   0
         100            0.525818                   0                   0                   0
         100            0.551467                   0                   0                   0
         100            0.577117                   0                   0                   0
         100            0.602767                   0                   0                   0
         100            0.628416                   0                   0                   0
         100            0.654066                   0                   0                   0
         100            0.679715                   0                   0                   0
         100            0.705365                   0                   0                   0
         100            0.731015                   0                   0                   0
         100            0.756664                   0                   0                   0
         100            0.782314                   0                   0                   0
         100            0.807964                   0                   0                   0
         100            0.833613                   0                   0                   0
         100            0.859263                   0         1.00503e-05         2.49848e-06
         100            0.884913         0.000886484          0.00125116         2.94672e-05
         100            0.910562           0.0256371           0.0239589         0.000127796
         100            0.936212             0.16165            0.164705         0.000486946
         100            0.961861             0.56228            0.562895          0.00105514
         100            0.987511             1.18478             1.20049          0.00156068
         100             1.01316             1.85558             1.86195          0.00171819
         100             1.03881             2.34107             2.33633          0.00135696
         100             1.06446             2.54972             2.55226          0.00116907
         100             1.09011             2.57215             2.54859          0.00123541
         100             1.11576             2.41455             2.40784          0.00120615
         100             1.14141             2.21629             2.19936          0.00138012
         100             1.16706             1.96885             1.97399          0.00130415
         100             1.19271             1.77518             1.75603          0.00122837
         100             1.21836             1.56034             1.55858          0.00115839
         100             1.24401             1.37895             1.38927           0.0011713
         100             1.26966             1.25092             1.24527          0.00105806
         100             1.29531             1.12517             1.12398          0.00082334
         100             1.32096              1.0159             1.02411         0.000831644
         100             1.34661            0.945845            0.941461         0.000758922
         100             1.37226            0.868282            0.873637         0.000643487
         100             1.39791              0.8079            0.818044         0.000679358
         100             1.42355             0.76543            0.774541         0.000688042
         100              1.4492            0.724259            0.739492         0.000629639
         100             1.47485            0.703898            0.711474         0.000679977
         100              1.5005            0.685962            0.691951         0.000625927
         100             1.52615            0.670077            0.678387         0.000597674
         100              1.5518            0.675397            0.671659         0.000739848
         100             1.57745            0.662818            0.669863          0.00072368
         100              1.6031            0.671967            0.675158         0.000615689
         100             1.62875            0.685432            0.686039         0.000601151
         100              1.6544            0.699564            0.701969         0.000583499
         100             1.68005            0.736606               0.723         0.000595443
         100              1.7057            0.750723             0.74901         0.000530281
         100             1.73135            0.785728            0.779703         0.000586353
         100               1.757            0.814771            0.814465         0.000566466
         100             1.78265            0.855124            0.853403         0.000568362
         100              1.8083            0.893564            0.893248         0.000603137
         100             1.83395            0.943862            0.935062         0.000664918
         100              1.8596            0.983822            0.977012         0.000756787
         100             1.88525             1.01954             1.01825         0.000692139
         100              1.9109             1.05384             1.05711         0.000740726
         100             1.93655             1.09123             1.09534          0.00069641
         100              1.9622             1.12775                1.13          0.00057826
         100             1.98785              1.1586             1.16152          0.00063974
         100              2.0135             1.18686             1.18612          0.00056887
         100             2.03915             1.20273             1.20408         0.000578072
         100              2.0648             1.21422             1.21369         0.000529423
         100             2.09045             1.22597              1.2157         0.000572907
         100              2.1161             1.21458             1.20868         0.000601864
         100             2.14174             1.20284             1.19447         0.000593514
         100             2.16739              1.1828             1.17454         0.000687459
         100             2.19304             1.15453              1.1512         0.000638286
         100             2.21869             1.12137             1.12407         0.000721072
         100             2.24434             1.09085             1.09588         0.000566411
         100             2.26999             1.06145             1.06706         0.000657863
         100             2.29564             1.03569                1.04         0.000543231
         100             2.32129             1.00744             1.01318         0.000575414
         100             2.34694            0.984346            0.989172         0.000505005
         100             2.37259            0.962953            0.967572         0.000496925
         100             2.39824            0.945645            0.948162         0.000428271
         100             2.42389            0.927281            0.931832         0.000487246
         100             2.44954            0.916438            0.919166         0.000448818
         100             2.47519            0.901958            0.909183         0.000495169
         100             2.50084            0.889729            0.895137          0.00052342
         100             2.52649            0.881908            0.885536         0.000492744
         100             2.55214            0.891713            0.885286         0.000522243


