#     BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
           1            -5.47837            -5.47837                   0
           2             -5.4354            -5.45689            0.015192
           3            -5.46188            -5.45855           0.0102187
           4            -5.46505            -5.46017          0.00779214
           5            -5.45563            -5.45927          0.00628643
           6            -5.47356            -5.46165          0.00567198
           7             -5.4678            -5.46253          0.00492927
           8            -5.46042            -5.46226          0.00432016
           9            -5.47299            -5.46346          0.00400124
          10            -5.45914            -5.46302          0.00362426
          11            -5.46503            -5.46321          0.00329935
          12            -5.47187            -5.46393          0.00310243
          13            -5.46355             -5.4639          0.00286391
          14            -5.47415            -5.46463          0.00275137
          15            -5.46395            -5.46459          0.00256832
          16            -5.46059            -5.46434          0.00241991
          17             -5.4536             -5.4637           0.0023586
          18            -5.44886            -5.46288          0.00236745
          19            -5.44931            -5.46217          0.00234815
          20            -5.46348            -5.46223          0.00223167
          21            -5.47012            -5.46261          0.00215677
          22            -5.45538            -5.46228          0.00208357
          23            -5.47786            -5.46296          0.00210021
          24            -5.44543            -5.46223          0.00213594
          25            -5.48122            -5.46299          0.00218146
          26            -5.45493            -5.46268          0.00211947
          27            -5.47018            -5.46295          0.00205912
          28             -5.4692            -5.46318          0.00199763
          29            -5.47958            -5.46374          0.00200722
          30            -5.45665            -5.46351           0.0019542
          31            -5.47712            -5.46395          0.00193991
          32            -5.45516            -5.46367          0.00189863
          33              -5.431            -5.46268           0.0020833
          34            -5.46971            -5.46289          0.00203226
          35            -5.47392             -5.4632           0.0019985
          36            -5.45561            -5.46299          0.00195409
          37            -5.46122            -5.46294          0.00190187
          38            -5.45565            -5.46275          0.00186147
          39            -5.45409            -5.46253          0.00182692
          40            -5.45733             -5.4624          0.00178587
          41              -5.473            -5.46266          0.00176092
          42             -5.4566            -5.46251           0.0017249
          43            -5.46513            -5.46257          0.00168586
          44            -5.46086            -5.46254          0.00164799
          45            -5.46553             -5.4626          0.00161272
          46            -5.46143            -5.46258          0.00157786
          47            -5.47082            -5.46275          0.00155401
          48            -5.47073            -5.46292           0.0015305
          49            -5.47803            -5.46323          0.00153001
          50            -5.46375            -5.46324          0.00149945
          51            -5.47075            -5.46338          0.00147726
          52            -5.45567            -5.46324          0.00145628
          53            -5.46795            -5.46332          0.00143151
          54            -5.47471            -5.46354          0.00142044
          55            -5.45679            -5.46341           0.0013999
          56            -5.45909            -5.46334          0.00137703
          57            -5.46954            -5.46344          0.00135717
          58            -5.47367            -5.46362          0.00134518
          59            -5.47075            -5.46374           0.0013278
          60            -5.45125            -5.46353           0.0013219
          61            -5.47703            -5.46376          0.00131862
          62            -5.47888              -5.464          0.00131972
          63            -5.47831            -5.46423          0.00131818
          64            -5.45078            -5.46402          0.00131421
          65            -5.46694            -5.46406          0.00129476
          66            -5.45834            -5.46397          0.00127804
          67            -5.47078            -5.46408          0.00126299
          68            -5.47521            -5.46424          0.00125498
          69            -5.45995            -5.46418          0.00123834
          70            -5.45183              -5.464          0.00123314
          71            -5.45776            -5.46391           0.0012189
          72            -5.46272             -5.4639          0.00120208
          73            -5.47507            -5.46405          0.00119532
          74            -5.44839            -5.46384          0.00119775
          75            -5.46841             -5.4639          0.00118333
          76            -5.46371             -5.4639          0.00116776
          77            -5.45526            -5.46378          0.00115796
          78            -5.48193            -5.46402          0.00116625
          79             -5.4632            -5.46401          0.00115153
          80            -5.48208            -5.46423          0.00115909
          81            -5.44906            -5.46405          0.00115982
          82            -5.48219            -5.46427          0.00116659
          83            -5.46426            -5.46427          0.00115253
          84            -5.47118            -5.46435          0.00114175
          85            -5.47473            -5.46447          0.00113483
          86            -5.48029            -5.46465          0.00113644
          87               -5.46             -5.4646          0.00112464
          88            -5.44821            -5.46442          0.00112717
          89            -5.45876            -5.46435           0.0011163
          90            -5.46993            -5.46441          0.00110561
          91             -5.4677            -5.46445          0.00109406
          92            -5.47185            -5.46453          0.00108511
          93            -5.48466            -5.46475          0.00109482
          94             -5.4867            -5.46498          0.00110779
          95             -5.4794            -5.46513          0.00110649
          96            -5.48255            -5.46531          0.00110974
          97            -5.46014            -5.46526          0.00109957
          98            -5.46551            -5.46526          0.00108836
          99            -5.46783            -5.46529          0.00107767
         100            -5.47034            -5.46534          0.00106808
