#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
           1            0.475451            0.475451                   0
           2            0.658513            0.566982           0.0647221
           3             0.52571            0.553225           0.0445862
           4            0.521814            0.545372           0.0341242
           5            0.543165            0.544931           0.0273022
           6            0.477837            0.533748           0.0249369
           7            0.480014            0.526072            0.022525
           8            0.532522            0.526878           0.0197238
           9             0.46438            0.519934           0.0187148
          10            0.542189            0.522159           0.0169752
          11            0.505494            0.520644           0.0154994
          12            0.485613            0.517725           0.0144801
          13            0.515686            0.517568           0.0133671
          14            0.462217            0.513615           0.0129839
          15            0.496873            0.512499           0.0121661
          16            0.546577            0.514628           0.0115907
          17            0.563838            0.517523           0.0112646
          18            0.576666            0.520809           0.0111076
          19            0.597215             0.52483           0.0112274
          20             0.54679            0.525928           0.0107196
          21            0.479119            0.523699           0.0104383
          22            0.541961            0.524529          0.00999677
          23            0.465933            0.521982          0.00988143
          24            0.606377            0.525498            0.010076
          25            0.409883            0.520873           0.0106816
          26            0.536491            0.521474           0.0102877
          27            0.467235            0.519465           0.0101009
          28            0.465118            0.517524          0.00992488
          29            0.459623            0.515528          0.00978141
          30            0.547655            0.516599          0.00951381
          31            0.415126            0.513325          0.00975377
          32            0.547894            0.514406           0.0095086
          33            0.658686            0.518778           0.0101761
          34            0.509693             0.51851          0.00988032
          35            0.478068            0.517355          0.00966536
          36            0.544659            0.518113          0.00942659
          37            0.522813             0.51824          0.00917267
          38            0.584096            0.519974          0.00909353
          39            0.555472            0.520884           0.0089058
          40            0.544502            0.521474           0.0087027
          41             0.47497             0.52034          0.00856404
          42            0.558477            0.521248          0.00840813
          43            0.496335            0.520669          0.00823253
          44            0.541978            0.521153          0.00805966
          45            0.520357            0.521135          0.00788058
          46             0.55563            0.521885          0.00774486
          47            0.488204            0.521168          0.00761315
          48            0.489858            0.520516          0.00748244
          49            0.465148            0.519386          0.00741457
          50            0.502138            0.519041          0.00727429
          51            0.498289            0.518634          0.00714303
          52            0.565273            0.519531          0.00706175
          53            0.491823            0.519008          0.00694783
          54            0.441045            0.517565          0.00696756
          55            0.580559             0.51871          0.00693438
          56            0.544257            0.519166          0.00682554
          57            0.490426            0.518662          0.00672439
          58            0.501498            0.518366          0.00661496
          59            0.511011            0.518241          0.00650402
          60              0.5973            0.519559          0.00652772
          61            0.454849            0.518498          0.00650634
          62            0.435696            0.517163          0.00653703
          63            0.415251            0.515545           0.0066304
          64            0.549824            0.516081          0.00654839
          65            0.522658            0.516182          0.00644843
          66            0.537059            0.516498          0.00635848
          67            0.494897            0.516176          0.00627175
          68            0.457771            0.515317          0.00623805
          69             0.56165            0.515988          0.00618368
          70            0.587643            0.517012          0.00617949
          71            0.548101             0.51745          0.00610795
          72             0.54138            0.517782          0.00603215
          73            0.457822            0.516961          0.00600518
          74            0.588989            0.517934          0.00600239
          75            0.511768            0.517852          0.00592292
          76            0.532495            0.518045          0.00584812
          77            0.550455            0.518466           0.0057873
          78            0.420137            0.517205          0.00584879
          79            0.513854            0.517163          0.00577491
          80            0.407343             0.51579          0.00586361
          81            0.587753            0.516678          0.00585814
          82            0.423659            0.515544          0.00589551
          83            0.523055            0.515634          0.00582517
          84            0.488722            0.515314          0.00576463
          85            0.484021            0.514946          0.00570855
          86            0.429759            0.513955          0.00572747
          87            0.571189            0.514613          0.00569929
          88            0.605067            0.515641          0.00572647
          89            0.550957            0.516038          0.00567586
          90            0.484098            0.515683          0.00562387
          91            0.476484            0.515252          0.00557855
          92            0.463568             0.51469          0.00554612
          93            0.404922             0.51351          0.00561068
          94            0.401587            0.512319          0.00567592
          95            0.415482              0.5113          0.00570697
          96            0.421044             0.51036          0.00572444
          97            0.560342            0.510875          0.00568857
          98            0.497235            0.510736          0.00563223
          99            0.505106            0.510679          0.00557563
         100            0.493077            0.510503          0.00552265
