#     BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
           1             -6.2231             -6.2231                   0
           2            -6.07882            -6.15096           0.0510102
           3            -5.97744            -6.09312           0.0581959
           4            -5.88422             -6.0409           0.0628554
           5            -5.79319            -5.99136           0.0670219
           6            -5.75695            -5.95229           0.0662672
           7            -5.69384            -5.91537            0.066293
           8            -5.67551            -5.88538           0.0644305
           9            -5.62221            -5.85614           0.0635616
          10            -5.56569             -5.8271           0.0634959
          11            -5.53258            -5.80032           0.0631165
          12            -5.56019            -5.78031           0.0609466
          13            -5.64537            -5.76993           0.0571354
          14            -5.56653             -5.7554           0.0548704
          15            -5.44344            -5.73461           0.0550128
          16            -5.43504            -5.71588           0.0546679
          17            -5.38917            -5.69666           0.0547261
          18            -5.49763            -5.68561            0.052791
          19            -5.42869            -5.67209           0.0517153
          20             -5.3667            -5.65682           0.0513342
          21            -5.37536            -5.64341           0.0506091
          22            -5.28771            -5.62724           0.0508259
          23            -5.29726             -5.6129           0.0506005
          24            -5.42532            -5.60508            0.049092
          25            -5.43395            -5.59824           0.0476032
          26             -5.4399            -5.59215           0.0461602
          27            -5.41369            -5.58554           0.0449213
          28             -5.4704            -5.58143           0.0435048
          29            -5.45863            -5.57719           0.0422102
          30            -5.43077            -5.57231           0.0410844
          31            -5.36586            -5.56565           0.0402952
          32            -5.35818            -5.55917           0.0395541
          33            -5.37464            -5.55358           0.0387487
          34            -5.37089             -5.5482           0.0379797
          35            -5.39685            -5.54388             0.03714
          36            -5.28032            -5.53656           0.0368228
          37            -5.34038            -5.53126           0.0362073
          38            -5.27138            -5.52442           0.0358945
          39            -5.27971            -5.51814           0.0355183
          40            -5.34638            -5.51385           0.0348889
          41             -5.2776            -5.50809           0.0345105
          42            -5.23712            -5.50163           0.0342866
          43            -5.22001            -5.49508            0.034109
          44            -5.28221            -5.49025           0.0336752
          45            -5.29651            -5.48594           0.0332009
          46             -5.3114            -5.48215           0.0326953
          47             -5.4073            -5.48055           0.0320384
          48            -5.34165            -5.47766           0.0315013
          49            -5.42833            -5.47665           0.0308745
          50            -5.34591            -5.47404           0.0303676
          51            -5.30082            -5.47064           0.0299615
          52            -5.24728            -5.46635           0.0296916
          53            -5.26696            -5.46259           0.0293687
