#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
           1            -4.43748            -4.43748                   0
           2            -3.60438            -4.02093            0.294545
           3            -2.99488            -3.67891            0.341384
           4            -2.44651            -3.37081            0.369798
           5            -1.97021            -3.09069            0.387679
           6            -1.84108            -2.88242            0.374857
           7            -1.54694            -2.69164            0.366655
           8             -1.4889             -2.5413            0.350293
           9            -1.15357             -2.3871            0.343636
          10           -0.778858            -2.22628            0.344859
          11           -0.556853            -2.07451            0.345292
          12           -0.680336            -1.95833            0.335494
          13           -0.990939            -1.88392            0.317833
          14           -0.591986            -1.79164            0.308236
          15           -0.128946            -1.68079            0.306972
          16          -0.0344178            -1.57789            0.304544
          17             0.16673            -1.47527            0.303428
          18           -0.279423            -1.40883            0.293754
          19           -0.074543            -1.33861            0.286565
          20            0.178185            -1.26277            0.282094
          21            0.144563            -1.19575            0.276506
          22            0.505171            -1.11844            0.274534
          23            0.509904            -1.04764            0.271573
          24           -0.057018            -1.00636            0.263376
          25           -0.143425           -0.971845            0.255093
          26           -0.184583           -0.941566            0.247072
          27          -0.0172225           -0.907331            0.240281
          28           -0.255885           -0.884065            0.232823
          29           -0.153723           -0.858881            0.226153
          30          -0.0598518           -0.832247            0.220177
          31            0.309148           -0.795428            0.216132
          32            0.256868           -0.762543            0.211864
          33            0.220082           -0.732767            0.207526
          34            0.298636           -0.702431            0.203627
          35            0.182092           -0.677159            0.199372
          36            0.722578           -0.638278            0.197588
          37            0.453783           -0.608763             0.19444
          38            0.758576            -0.57278            0.192624
          39            0.745035            -0.53899            0.190626
          40            0.509182           -0.512786            0.187652
          41            0.824207           -0.480176            0.185887
          42            0.910016           -0.447076            0.184385
          43             1.07376           -0.411708            0.183458
          44            0.749564           -0.385315            0.181177
          45            0.559043           -0.364329            0.178362
          46            0.573454           -0.343943            0.175646
          47            0.128831           -0.333884            0.172196
          48            0.495501           -0.316605            0.169473
          49            0.122445           -0.307645            0.166252
          50            0.456228           -0.292367            0.163627
          51            0.708074           -0.272751             0.16159
          52             1.02806           -0.247735            0.160407
          53             1.00398           -0.224118             0.15911
