#     BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
           1            -6.65145            -6.65145                   0
           2            -6.50717            -6.57931           0.0510102
           3            -6.40579            -6.52147           0.0581959
           4            -6.31256            -6.46924           0.0628554
           5            -6.22154             -6.4197           0.0670219
           6            -6.18529            -6.38063           0.0662672
           7            -6.12218            -6.34371            0.066293
           8            -6.10386            -6.31373           0.0644305
           9            -6.05056            -6.28449           0.0635616
          10            -5.99403            -6.25544           0.0634959
          11            -5.96093            -6.22867           0.0631165
          12            -5.98853            -6.20866           0.0609466
          13            -6.07372            -6.19828           0.0571354
          14            -5.99488            -6.18375           0.0548704
          15            -5.87179            -6.16295           0.0550128
          16            -5.86338            -6.14423           0.0546679
          17            -5.81751            -6.12501           0.0547261
          18            -5.92598            -6.11395            0.052791
          19            -5.85704            -6.10043           0.0517153
          20            -5.79505            -6.08516           0.0513342
          21            -5.80371            -6.07176           0.0506091
          22            -5.71605            -6.05559           0.0508259
          23            -5.72561            -6.04124           0.0506005
          24            -5.85366            -6.03343            0.049092
          25            -5.86229            -6.02658           0.0476032
          26            -5.86825            -6.02049           0.0461602
          27            -5.84203            -6.01388           0.0449213
          28            -5.89875            -6.00977           0.0435048
          29            -5.88697            -6.00554           0.0422102
          30            -5.85912            -6.00066           0.0410844
          31            -5.79421              -5.994           0.0402952
          32            -5.78653            -5.98751           0.0395541
          33            -5.80299            -5.98192           0.0387487
          34            -5.79924            -5.97655           0.0379797
          35             -5.8252            -5.97222             0.03714
          36            -5.70867             -5.9649           0.0368228
          37            -5.76873             -5.9596           0.0362073
          38            -5.69973            -5.95276           0.0358945
          39            -5.70806            -5.94649           0.0355183
          40            -5.77473            -5.94219           0.0348889
          41            -5.70595            -5.93643           0.0345105
          42            -5.66547            -5.92998           0.0342866
          43            -5.64835            -5.92343            0.034109
          44            -5.71055            -5.91859           0.0336752
          45            -5.72486            -5.91429           0.0332009
          46            -5.73974            -5.91049           0.0326953
          47            -5.83565             -5.9089           0.0320384
          48            -5.76999            -5.90601           0.0315013
          49            -5.85668              -5.905           0.0308745
          50            -5.77426            -5.90239           0.0303676
          51            -5.72917            -5.89899           0.0299615
          52            -5.67563            -5.89469           0.0296916
          53             -5.6953            -5.89093           0.0293687
          54            -5.82932            -5.88979            0.028847
          55            -5.88329            -5.88967           0.0283228
          56            -5.80483            -5.88816           0.0278575
          57            -5.73081             -5.8854           0.0275052
          58            -5.64514            -5.88125           0.0273411
          59            -5.71524            -5.87844           0.0270221
          60            -5.69796            -5.87543           0.0267387
          61            -5.67283            -5.87211           0.0265058
          62            -5.65125            -5.86855           0.0263166
          63            -5.59359            -5.86418           0.0262583
          64            -5.68132            -5.86133            0.026003
          65            -5.72028            -5.85916           0.0256933
          66            -5.71098            -5.85691           0.0254019
          67            -5.76634            -5.85556           0.0250587
          68            -5.77775            -5.85442           0.0247163
          69            -5.74199            -5.85279           0.0244118
          70            -5.73183            -5.85106           0.0241241
          71             -5.7535            -5.84968           0.0238234
          72            -5.72259            -5.84792           0.0235579
          73            -5.67714            -5.84558            0.023351
          74            -5.83988             -5.8455           0.0230356
          75            -5.79588            -5.84484            0.022738
          76            -5.74854            -5.84357            0.022474
          77            -5.76049             -5.8425           0.0222081
          78            -5.76037            -5.84144           0.0219483
          79            -5.68442            -5.83945           0.0217603
          80            -5.59746            -5.83643           0.0216975
          81            -5.55949            -5.83301           0.0216973
          82            -5.52624            -5.82927           0.0217529
          83            -5.70535            -5.82778            0.021542
          84            -5.65196            -5.82568           0.0213869
          85            -5.65356            -5.82366            0.021231
          86            -5.68203            -5.82201           0.0210479
          87            -5.79816            -5.82174           0.0208077
          88            -5.76264            -5.82107           0.0205821
          89            -5.82115            -5.82107           0.0203509
          90            -5.73128            -5.82007           0.0201492
          91            -5.74697            -5.81927           0.0199438
          92            -5.70288              -5.818           0.0197671
          93            -5.66983            -5.81641           0.0196186
          94            -5.72193             -5.8154           0.0194356
          95            -5.75264            -5.81474           0.0192423
          96             -5.6087             -5.8126           0.0191612
          97            -5.54756            -5.80986           0.0191574
          98            -5.55565            -5.80727           0.0191368
          99            -5.62421            -5.80542           0.0190326
         100            -5.59666            -5.80333           0.0189564
         101            -5.60694            -5.80139           0.0188682
         102            -5.59269            -5.79934           0.0187938
         103            -5.56936            -5.79711           0.0187435
         104            -5.55465            -5.79478           0.0187077
         105            -5.60358            -5.79296            0.018618
         106            -5.70167             -5.7921           0.0184622
         107            -5.70108            -5.79125           0.0183093
         108            -5.65971            -5.79003           0.0181802
         109            -5.61995            -5.78847           0.0180802
         110             -5.6316            -5.78704            0.017972
         111            -5.65451            -5.78585           0.0178497
         112            -5.61933            -5.78436           0.0177522
         113            -5.65049            -5.78318           0.0176346
         114            -5.66639            -5.78215           0.0175096
         115            -5.61827            -5.78073           0.0174152
         116             -5.5968            -5.77914           0.0173371
         117            -5.64539              -5.778           0.0172266
         118            -5.65995              -5.777           0.0171096
         119             -5.6369            -5.77582           0.0170063
         120            -5.69454            -5.77514           0.0168781
         121            -5.66719            -5.77425           0.0167622
         122            -5.74975            -5.77405            0.016626
         123            -5.71879             -5.7736           0.0164969
         124            -5.80756            -5.77387           0.0163661
         125            -5.83331            -5.77435           0.0162421
         126            -5.74068            -5.77408           0.0161154
         127             -5.6996             -5.7735           0.0159991
         128            -5.71219            -5.77302           0.0158813
         129            -5.68161            -5.77231            0.015774
         130            -5.65917            -5.77144           0.0156766
         131            -5.64513            -5.77047           0.0155866
         132            -5.64489            -5.76952           0.0154975
         133            -5.66614            -5.76875           0.0154005
         134            -5.76058            -5.76868           0.0152857
         135            -5.66381            -5.76791           0.0151922
         136            -5.63993            -5.76697           0.0151096
         137            -5.60109            -5.76576           0.0150477
         138            -5.60486            -5.76459           0.0149838
         139            -5.67651            -5.76396           0.0148894
         140            -5.73971            -5.76378            0.014784
         141             -5.7015            -5.76334           0.0146858
         142            -5.67515            -5.76272           0.0145955
         143            -5.67874            -5.76213           0.0145052
         144            -5.62363            -5.76117           0.0144364
         145            -5.61107            -5.76014           0.0143739
         146             -5.6621            -5.75946           0.0142911
         147            -5.63943            -5.75865           0.0142172
         148            -5.64964            -5.75791           0.0141402
         149            -5.66665             -5.7573           0.0140585
         150            -5.55108            -5.75592           0.0140319
         151            -5.50489            -5.75426           0.0140371
         152            -5.51713             -5.7527           0.0140312
         153            -5.48015            -5.75092           0.0140521
         154            -5.36581            -5.74842           0.0141816
         155             -5.4391            -5.74642           0.0142298
         156            -5.52972            -5.74503           0.0142062
         157            -5.63766            -5.74435           0.0141322
         158            -5.63743            -5.74367            0.014059
         159            -5.68131            -5.74328            0.013976
         160            -5.63437             -5.7426           0.0139052
         161            -5.61259            -5.74179           0.0138423
         162            -5.66498            -5.74132            0.013765
         163            -5.63047            -5.74064           0.0136973
         164            -5.64711            -5.74007           0.0136256
         165            -5.62121            -5.73935           0.0135621
         166            -5.66404             -5.7389            0.013488
         167            -5.67393            -5.73851           0.0134128
         168            -5.67316            -5.73812           0.0133386
         169             -5.5295            -5.73688           0.0133167
         170            -5.48954            -5.73543           0.0133176
         171            -5.58486            -5.73455           0.0132688
         172            -5.58094            -5.73365           0.0132217
         173            -5.50673            -5.73234           0.0132102
         174            -5.48676            -5.73093           0.0132094
         175             -5.4625             -5.7294           0.0132227
         176            -5.54218            -5.72833           0.0131903
         177            -5.55959            -5.72738           0.0131502
         178            -5.56284            -5.72646           0.0131087
         179            -5.38662            -5.72456           0.0131723
         180            -5.37312             -5.7226            0.013243
         181            -5.38914            -5.72076           0.0132974
         182            -5.44147            -5.71923           0.0133126
         183            -5.49293            -5.71799           0.0132971
         184            -5.62114            -5.71746           0.0132353
         185            -5.66807             -5.7172           0.0131664
         186            -5.52974            -5.71619           0.0131342
         187              -5.487            -5.71496            0.013121
         188            -5.53766            -5.71402            0.013085
         189            -5.52267            -5.71301           0.0130549
         190            -5.46464             -5.7117           0.0130515
         191            -5.49814            -5.71058            0.013031
         192            -5.47696            -5.70937           0.0130198
         193            -5.59243            -5.70876           0.0129664
         194            -5.49078            -5.70764           0.0129481
         195            -5.45525            -5.70634           0.0129463
         196            -5.50254             -5.7053           0.0129219
         197            -5.41645            -5.70384           0.0129392
         198            -5.44731            -5.70254           0.0129386
         199            -5.48644            -5.70146           0.0129191
         200            -5.47091             -5.7003           0.0129058
         201            -5.48301            -5.69922           0.0128868
         202            -5.44033            -5.69794           0.0128866
         203            -5.50175            -5.69697           0.0128593
         204            -5.34646            -5.69526           0.0129105
