#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
           1             -5.1219             -5.1219                   0
           2             -4.2888            -4.70535            0.294545
           3             -3.6793            -4.36333            0.341384
           4            -3.13092            -4.05523            0.369798
           5            -2.65462            -3.77511            0.387679
           6            -2.52549            -3.56684            0.374857
           7            -2.23136            -3.37606            0.366655
           8            -2.17332            -3.22571            0.350293
           9            -1.83799            -3.07152            0.343636
          10            -1.46328             -2.9107            0.344859
          11            -1.24127            -2.75893            0.345292
          12            -1.36475            -2.64275            0.335494
          13            -1.67536            -2.56834            0.317833
          14             -1.2764            -2.47605            0.308236
          15           -0.813364            -2.36521            0.306972
          16           -0.718835            -2.26231            0.304544
          17           -0.517687            -2.15969            0.303428
          18            -0.96384            -2.09325            0.293754
          19            -0.75896            -2.02302            0.286565
          20           -0.506232            -1.94718            0.282094
          21           -0.539854            -1.88017            0.276506
          22           -0.179247            -1.80285            0.274534
          23           -0.174513            -1.73206            0.271573
          24           -0.741435            -1.69078            0.263376
          25           -0.827843            -1.65626            0.255093
          26              -0.869            -1.62598            0.247072
          27            -0.70164            -1.59175            0.240281
          28           -0.940303            -1.56848            0.232823
          29            -0.83814             -1.5433            0.226153
          30           -0.744269            -1.51666            0.220177
          31           -0.375269            -1.47984            0.216132
          32           -0.427549            -1.44696            0.211864
          33           -0.464336            -1.41718            0.207526
          34           -0.385782            -1.38685            0.203627
          35           -0.502325            -1.36158            0.199372
          36           0.0381604             -1.3227            0.197588
          37           -0.230635            -1.29318             0.19444
          38           0.0741583             -1.2572            0.192624
          39           0.0606179            -1.22341            0.190626
          40           -0.175235             -1.1972            0.187652
          41             0.13979            -1.16459            0.185887
          42            0.225599            -1.13149            0.184385
          43            0.389347            -1.09613            0.183458
          44            0.065147            -1.06973            0.181177
          45           -0.125374            -1.04875            0.178362
          46           -0.110963            -1.02836            0.175646
          47           -0.555586             -1.0183            0.172196
          48           -0.188917            -1.00102            0.169473
          49           -0.561973           -0.992062            0.166252
          50           -0.228189           -0.976785            0.163627
          51           0.0236569           -0.957168             0.16159
          52            0.343647           -0.932153            0.160407
          53             0.31956           -0.908535             0.15911
          54           -0.281491           -0.896923            0.156587
          55           -0.661203           -0.892638            0.153798
          56           -0.195892           -0.880196            0.151554
          57            0.187711            -0.86146            0.150049
          58            0.504507           -0.837909            0.149299
          59             0.19545           -0.820395            0.147792
          60            0.268968           -0.802239             0.14644
          61            0.330103           -0.783676            0.145211
          62            0.366971           -0.765117             0.14405
          63            0.695801           -0.741928            0.143618
          64            0.289066           -0.725818            0.142274
          65            0.122377           -0.712769            0.140683
          66            0.245184           -0.698255            0.139298
          67          -0.0722269           -0.688911            0.137532
          68           -0.201106           -0.681738            0.135696
          69          -0.0291674            -0.67228            0.134059
          70          -0.0259646           -0.663047            0.132461
          71           -0.160315           -0.655966            0.130785
          72          -0.0652968           -0.647762            0.129225
          73            0.121104            -0.63723            0.127883
          74           -0.674727           -0.637737            0.126156
          75            -0.45082           -0.635245            0.124499
          76           -0.155082           -0.628927            0.123021
          77            -0.13764           -0.622546            0.121589
          78           -0.130508           -0.616238            0.120193
          79            0.275142           -0.604955              0.1192
          80            0.530402           -0.590763            0.118552
          81            0.718468           -0.574599            0.118185
          82            0.815428           -0.557648            0.117953
          83         -0.00364114           -0.550973            0.116721
          84            0.233003            -0.54164            0.115704
          85            0.275149           -0.532031            0.114741
          86            0.167529           -0.523896            0.113695
          87           -0.333099           -0.521703            0.112409
          88           -0.239718           -0.518499            0.111177
          89           -0.554799           -0.518907            0.109929
          90           -0.153014           -0.514841            0.108783
          91            -0.15273           -0.510862             0.10766
          92          -0.0272538           -0.505605            0.106618
          93            0.180554           -0.498227            0.105727
          94           0.0188189           -0.492727            0.104745
          95           -0.180926           -0.489445            0.103694
          96            0.461861           -0.479535            0.103086
          97            0.886025           -0.465457             0.10298
          98            0.821033            -0.45233            0.102763
          99            0.564566           -0.442058            0.102237
         100            0.736725            -0.43027            0.101892
         101            0.683712           -0.419241            0.101478
         102            0.692883           -0.408338            0.101067
         103             0.78803           -0.396723            0.100751
         104            0.937005           -0.383898            0.100595
         105            0.679908           -0.373767            0.100146
         106            0.251771           -0.367865            0.099375
         107            0.282289           -0.361789           0.0986318
         108            0.424107           -0.354512           0.0979866
         109            0.529197           -0.346405           0.0974225
         110            0.536317            -0.33838           0.0968668
         111            0.424653           -0.331506           0.0962377
         112            0.539704           -0.323727           0.0956923
         113            0.437748           -0.316989           0.0950824
         114             0.39909           -0.310707           0.0944556
         115            0.597115           -0.302813           0.0939636
         116             0.59011           -0.295116           0.0934683
         117            0.426567           -0.288947           0.0928727
         118            0.379516           -0.283282           0.0922583
         119             0.49344           -0.276755           0.0917136
         120             0.16138           -0.273104            0.091022
         121            0.237948           -0.268881           0.0903677
         122           -0.113843            -0.26761           0.0896359
         123            0.086388           -0.264732           0.0889533
         124           -0.386159           -0.265711           0.0882413
         125           -0.533246           -0.267851           0.0875614
         126             -0.1161           -0.266647           0.0868747
         127           0.0159505           -0.264422           0.0862192
         128          -0.0410324           -0.262677           0.0855632
         129            0.070649           -0.260093            0.084939
         130            0.209887           -0.256477           0.0843625
         131            0.316201           -0.252106           0.0838317
         132            0.353993           -0.247514           0.0833222
         133            0.248997           -0.243781           0.0827793
         134          -0.0530906           -0.242358           0.0821738
         135            0.386259           -0.237702           0.0816969
         136            0.500719           -0.232272           0.0812765
         137            0.569829           -0.226417           0.0808938
         138            0.609545           -0.220359           0.0805341
         139            0.209445           -0.217267           0.0800141
         140           -0.164048           -0.216887           0.0794434
         141           0.0173557           -0.215226           0.0788974
         142            0.138688           -0.212734           0.0783811
         143            0.152319           -0.210181           0.0778746
         144            0.449012           -0.205603           0.0774682
         145            0.455147           -0.201046           0.0770678
         146            0.272396           -0.197803           0.0766082
         147            0.327725           -0.194228           0.0761704
         148            0.361644           -0.190472           0.0757483
         149            0.315351           -0.187078           0.0753159
         150            0.794235           -0.180536           0.0750974
         151             0.92844           -0.173191           0.0749583
         152            0.913005           -0.166045            0.074805
         153             1.10557           -0.157734           0.0747764
         154             1.53031           -0.146773           0.0750899
         155             1.27138           -0.137623           0.0751608
         156            0.921611           -0.130833           0.0749851
         157            0.433973           -0.127236           0.0745937
         158             0.45256           -0.123566           0.0742118
         159            0.201677           -0.121521           0.0737733
         160            0.466468           -0.117846           0.0734037
         161            0.595252           -0.113417           0.0730813
         162            0.342054           -0.110605           0.0726842
         163            0.581244           -0.106361           0.0723621
         164            0.405735           -0.103238           0.0719882
         165            0.550544          -0.0992758           0.0716609
         166             0.25518          -0.0971406            0.071261
         167            0.186187           -0.095444           0.0708545
         168            0.107743          -0.0942345            0.070443
         169            0.730993          -0.0893515           0.0701953
         170            0.877889          -0.0836619           0.0700126
         171            0.535635          -0.0800403           0.0696967
         172              0.5139          -0.0765871            0.069377
         173               0.803          -0.0715028            0.069162
         174            0.971188          -0.0655103           0.0690237
         175             1.11379          -0.0587714           0.0689574
         176            0.781741          -0.0539958           0.0687308
         177            0.627913          -0.0501432           0.0684504
         178            0.540917          -0.0468226           0.0681463
         179             1.30847          -0.0392512           0.0681849
         180             1.42812          -0.0310991           0.0682917
         181             1.43175          -0.0230171            0.068391
         182             1.20961          -0.0162444           0.0683497
         183             1.18165         -0.00969854            0.068289
         184            0.635655         -0.00619118           0.0680078
         185            0.433462         -0.00381467           0.0676817
         186             1.15842          0.00243392           0.0676057
         187             1.32103          0.00948524           0.0676109
         188             1.05342           0.0150381           0.0674789
         189             1.14754           0.0210302           0.0673874
         190             1.34753           0.0280118           0.0673934
         191             1.16001           0.0339385           0.0673007
         192             1.37559           0.0409262           0.0673119
         193            0.764031           0.0446729           0.0670673
         194             1.23852           0.0508267           0.0670034
         195             1.35093           0.0574939           0.0669906
         196             1.19062           0.0632752           0.0668979
         197             1.57407           0.0709442           0.0669964
         198             1.46687           0.0779943            0.067028
         199             1.38724           0.0845734           0.0670132
         200             1.35777           0.0909394           0.0669799
         201             1.19488           0.0964316           0.0668714
         202             1.39766            0.102873           0.0668499
         203             1.22453            0.108399           0.0667486
         204             1.90125            0.117187           0.0669975
         205             1.50114            0.123938           0.0670099
         206             1.67488            0.131467           0.0671062
         207             1.59988            0.138561           0.0671559
         208             1.59113            0.145544           0.0671952
         209             1.84008            0.153652           0.0673611
         210             2.08645            0.162856           0.0676662
         211             1.98686            0.171501           0.0678954
         212             1.83973             0.17937           0.0680296
         213             1.85316            0.187228           0.0681626
         214             1.69567            0.194277           0.0682075
         215             1.38967            0.199837           0.0681165
         216            0.982879            0.203462           0.0678976
         217            0.909897            0.206717           0.0676627
         218            0.633354            0.208674           0.0673806
         219            0.736748            0.211086           0.0671161
         220            0.696218            0.213291           0.0668472
         221            0.789055            0.215896           0.0665955
         222                1.05            0.219653           0.0664014
         223             1.16313            0.223884           0.0662383
         224             1.17715             0.22814           0.0660791
         225             1.00793            0.231605           0.0658763
         226             1.30966            0.236376           0.0657573
         227             1.40487            0.241523           0.0656688
         228             1.89564            0.248778           0.0657803
         229             2.08729            0.256806           0.0659811
         230             2.21341            0.265313           0.0662404
         231             1.96504            0.272672           0.0663611
         232             1.90909            0.279725           0.0664488
         233             1.59457            0.285368           0.0664028
         234             1.36049            0.289963           0.0662778
         235             1.24339             0.29402           0.0661198
         236              1.4874            0.299077           0.0660327
         237             1.49831            0.304137           0.0659477
         238             1.39956            0.308739            0.065831
         239             1.48753            0.313671           0.0657401
         240             1.46687            0.318476           0.0656416
         241             1.47528            0.323276           0.0655444
         242             1.60232            0.328562           0.0654863
         243             1.33073            0.332686           0.0653466
         244             1.46824             0.33734           0.0652443
         245             1.75596             0.34313           0.0652344
         246             1.79227            0.349021           0.0652347
         247             1.21107            0.352511           0.0650639
         248             1.21075            0.355972           0.0648935
         249             1.45374             0.36038           0.0647824
         250             1.64824            0.365532           0.0647278
         251             1.70889            0.370884           0.0646908
         252             2.23186            0.378269           0.0648542
         253             1.93978            0.384441           0.0648909
         254             1.81857            0.390087           0.0648806
         255             1.36016            0.393891           0.0647376
         256             1.41096            0.397864           0.0646065
         257             1.50053            0.402154           0.0644975
         258             1.59857            0.406792            0.064414
         259             1.42068            0.410706           0.0642841
         260             1.17222            0.413635           0.0641035
         261             1.26347            0.416891           0.0639406
         262             1.11267            0.419547           0.0637516
         263            0.541967            0.420012           0.0635109
         264            0.708748            0.421106           0.0632798
         265            0.818726            0.422607           0.0630588
         266             1.43504            0.426413           0.0629365
         267             1.24581            0.429482           0.0627755
         268             1.17573            0.432266            0.062603
         269             1.22843            0.435226           0.0624402
         270             1.34826            0.438607           0.0623005
         271             1.14779            0.441224           0.0621255
         272             1.20598            0.444036           0.0619607
         273             1.47989             0.44783           0.0618498
         274             1.28661            0.450892           0.0616998
         275            0.822674            0.452243           0.0614902
         276             1.04324            0.454385           0.0613047
         277             1.69507            0.458864           0.0612468
         278             1.92377            0.464133           0.0612528
         279             1.59329             0.46818           0.0611668
         280             1.57848            0.472146           0.0610767
         281             1.32406            0.475177           0.0609346
         282             1.16694             0.47763           0.0607678
         283             1.26866            0.480426           0.0606174
         284             1.88409            0.485368           0.0606051
         285             1.64243            0.489428           0.0605283
         286             1.35617            0.492459           0.0603924
         287            0.781496            0.493466           0.0601904
         288            0.815994            0.494586           0.0599918
         289             1.18547            0.496976           0.0598319
         290             1.33734            0.499874           0.0596957
         291             1.02749            0.501687           0.0595181
         292            0.963222            0.503268           0.0593352
         293             1.63752            0.507139           0.0592589
         294             1.22746            0.509589           0.0591079
         295             1.46078            0.512813           0.0589954
         296            0.797775            0.513776            0.058804
         297             0.76966            0.514638           0.0586123
         298             1.03453            0.516382           0.0584416
         299            0.945277            0.517817           0.0582637
         300             1.28659            0.520379           0.0581258
         301             1.62591            0.524052           0.0580486
         302             1.57786            0.527541           0.0579612
         303             1.46663            0.530641           0.0578527
         304             1.60932            0.534189           0.0577711
         305             1.11593            0.536096           0.0576132
         306             1.42355            0.538997           0.0574979
         307             1.38056            0.541738           0.0573759
         308             1.24192            0.544011           0.0572346
         309             1.55686            0.547289           0.0571432
         310             1.19071            0.549364           0.0569965
         311            0.913056            0.550534           0.0568253
         312             1.13056            0.552393           0.0566735
         313             1.06739            0.554038           0.0565163
         314            0.525334            0.553947           0.0563364
         315            0.617579            0.554149           0.0561579
         316             1.03125            0.555659           0.0560005
         317             1.11073             0.55741           0.0558512
         318             1.09295            0.559094            0.055701
         319              1.0134            0.560518           0.0555446
         320            0.929551            0.561671            0.055383
         321             1.10048             0.56335           0.0552359
         322              1.1023            0.565024           0.0550897
         323            0.825529             0.56583            0.054925
         324            0.773412            0.566471           0.0547592
         325            0.600273            0.566575           0.0545909
         326            0.440455            0.566188           0.0544248
         327            0.886348            0.567167           0.0542671
         328            0.712164            0.567609           0.0541035
         329            0.423006            0.567169           0.0539408
         330             1.07524            0.568709           0.0537993
         331             1.19901            0.570613           0.0536705
         332             1.32702            0.572892           0.0535572
         333             1.13952            0.574593           0.0534234
         334            0.818896            0.575325           0.0532684
         335            0.717121            0.575748           0.0531111
         336            0.654043            0.575981           0.0529535
         337            0.791344             0.57662           0.0528003
         338            0.601822            0.576695           0.0526441
         339            0.838829            0.577468           0.0524945
         340             1.33755            0.579703           0.0523877
         341             1.28178            0.581762           0.0522745
         342             1.14696            0.583415           0.0521477
         343             1.20909            0.585239           0.0520276
         344             1.23163            0.587118           0.0519103
         345             1.24355            0.589021           0.0517947
         346             1.38894            0.591333           0.0516965
         347             1.15107            0.592946           0.0515727
         348            0.771455            0.593459           0.0514271
         349            0.998241            0.594619           0.0512928
         350            0.578837            0.594573           0.0511463
         351            0.439987            0.594133           0.0510025
         352            0.717591            0.594484           0.0508588
         353             1.17367            0.596125           0.0507411
         354             1.52419            0.598746           0.0506655
         355             2.13628            0.603077           0.0507076
         356             1.85729              0.6066           0.0506874
         357             1.34247            0.608662           0.0505873
         358              1.0784            0.609974            0.050463
         359             1.12133            0.611398           0.0503425
         360             1.69993            0.614422           0.0502934
         361             1.73497            0.617526           0.0502498
         362             1.16386            0.619035           0.0501336
         363             1.11292            0.620396            0.050014
         364            0.875822            0.621097           0.0498815
         365             1.04839            0.622268           0.0497586
         366            0.378473            0.621602           0.0496271
         367             0.46829            0.621184           0.0494936
         368            0.865025            0.621847           0.0493635
         369             1.05944            0.623033            0.049244
         370              1.2437             0.62471           0.0491395
         371             1.09072            0.625966           0.0490231
         372              0.6483            0.626026           0.0488913
         373             1.36194            0.627999           0.0488001
         374             1.19102            0.629505           0.0486928
         375             1.26347            0.631195           0.0485923
         376             1.32411            0.633038            0.048498
         377            0.896732            0.633737           0.0483744
         378            0.500814            0.633386           0.0482477
         379            0.837236            0.633924           0.0481234
         380            0.968584            0.634804           0.0480048
         381            0.965344            0.635672           0.0478866
         382            0.969606            0.636546           0.0477693
         383            0.637564            0.636549           0.0476445
         384             0.72408            0.636777            0.047521
         385             1.20182            0.638244           0.0474202
         386            0.851332            0.638796           0.0473006
         387             1.09471            0.639974            0.047193
         388             1.21862            0.641466            0.047095
         389             1.09923            0.642643           0.0469886
         390            0.891599            0.643281           0.0468725
         391            0.745611            0.643543           0.0467533
         392            0.655484            0.643573            0.046634
         393            0.241514             0.64255           0.0465266
         394             0.38812            0.641904            0.046413
         395            0.723559            0.642111            0.046296
         396            0.544206            0.641864           0.0461797
         397            0.488755            0.641478            0.046065
         398            0.415543             0.64091           0.0459528
         399            0.439748            0.640406           0.0458403
         400           0.0479748            0.638925           0.0457497
         401            0.304487            0.638091           0.0456432
         402            0.374203            0.637435           0.0455344
         403            0.371302            0.636774           0.0454262
         404            0.555558            0.636573           0.0453142
         405            0.709149            0.636752           0.0452026
         406            0.818747            0.637201           0.0450935
         407            0.851965            0.637728           0.0449858
         408             1.17167            0.639037           0.0448946
         409             1.35366            0.640784           0.0448188
         410            0.779887            0.641124           0.0447108
         411            0.995496            0.641986           0.0446103
         412             1.47556            0.644009           0.0445479
         413            0.799331            0.644385           0.0444416
         414             1.07741            0.645431           0.0443466
         415              1.0727            0.646461           0.0442517
         416             1.03198            0.647387            0.044155
         417             1.33538            0.649037           0.0440799
         418              1.1594            0.650258           0.0439914
         419             1.27862            0.651758           0.0439119
         420              1.4079            0.653558           0.0438443
         421             1.18509            0.654821           0.0437583
         422             1.43895            0.656679            0.043694
         423             1.16309            0.657876           0.0436071
         424             1.19076            0.659133           0.0435224
         425             1.28247              0.6606           0.0434447
         426             1.59226            0.662787           0.0433977
         427             1.34679            0.664388           0.0433256
         428             1.06118            0.665315           0.0432343
         429            0.998014            0.666091           0.0431405
         430            0.876911            0.666581            0.043043
         431             1.03568            0.667438           0.0429516
         432            0.897584             0.66797           0.0428555
         433             1.34815            0.669541           0.0427853
         434             1.17074            0.670696           0.0427023
         435              1.1883            0.671886           0.0426207
         436             1.57168             0.67395           0.0425729
         437             1.16803             0.67508           0.0424905
         438             1.22628            0.676339           0.0424121
         439             1.19834            0.677528           0.0423322
         440             1.15928            0.678623           0.0422501
         441            0.842588            0.678995           0.0421559
         442            0.835268            0.679348            0.042062
         443            0.860325            0.679757           0.0419691
         444            0.745754            0.679905           0.0418748
         445              1.0697            0.680781           0.0417899
         446            0.975814            0.681443           0.0417014
         447            0.899046             0.68193            0.041611
         448            0.721714            0.682018           0.0415182
         449            0.851595            0.682396           0.0414274
         450             1.11556            0.683359           0.0413465
         451            0.829372            0.683682           0.0412561
         452             1.10345            0.684611           0.0411753
         453             1.12273            0.685578           0.0410958
         454             1.02771            0.686332           0.0410122
         455            0.485968            0.685891           0.0409244
         456             1.01835            0.686621           0.0408411
         457            0.784677            0.686835           0.0407523
         458            0.726464            0.686922           0.0406634
         459            0.921248            0.687432           0.0405781
         460            0.986426            0.688082           0.0404951
         461            0.713805            0.688138           0.0404073
         462            0.607077            0.687962           0.0403202
         463            0.398841            0.687338           0.0402379
         464            0.690865            0.687346           0.0401512
         465            0.890413            0.687782           0.0400672
         466             1.00249            0.688458           0.0399869
         467            0.979845            0.689082           0.0399062
         468             1.18505            0.690141            0.039835
         469             1.25948            0.691355           0.0397685
         470            0.916008            0.691833           0.0396868
         471            0.827161            0.692121           0.0396036
         472             1.12179            0.693031           0.0395301
         473              1.2076            0.694119           0.0394615
         474             1.11486            0.695006           0.0393883
         475             1.12094            0.695903           0.0393155
         476             1.34407            0.697265           0.0392565
         477             1.38891            0.698715            0.039201
         478             1.05706            0.699465           0.0391261
         479             0.82787            0.699733           0.0390454
         480             1.07025            0.700505           0.0389717
         481             1.00036            0.701128           0.0388956
         482             1.09941            0.701954           0.0388237
         483            0.991891            0.702555            0.038748
         484            0.794521            0.702745           0.0386684
         485             1.37511            0.704131           0.0386135
         486             1.31943            0.705397           0.0385548
         487             1.14131            0.706292            0.038486
         488             1.22532            0.707356           0.0384218
         489              1.0388            0.708033           0.0383492
         490             1.12318            0.708881           0.0382803
         491             1.03828            0.709551           0.0382083
         492             1.38171            0.710918            0.038155
         493             1.01838            0.711541           0.0380827
         494             1.35935            0.712853           0.0380282
         495             1.81649            0.715082           0.0380167
         496             1.40202            0.716467           0.0379652
         497             1.07852            0.717196           0.0378958
         498             1.11782               0.718           0.0378283
         499             1.12861            0.718823           0.0377614
         500             1.29143            0.719968           0.0377033
         501             1.17639            0.720879            0.037639
         502             1.50176            0.722435           0.0375962
         503             1.01439            0.723015           0.0375259
         504             1.18687            0.723936           0.0374627
         505             1.65313            0.725776           0.0374337
         506             1.74376            0.727787           0.0374137
         507             1.52413            0.729358           0.0373729
         508             1.49443            0.730864           0.0373297
         509             1.31917             0.73202           0.0372742
         510             1.40592            0.733341           0.0372245
         511             1.45208            0.734748           0.0371783
         512             1.57379            0.736387           0.0371418
         513             1.70848            0.738281           0.0371177
         514             1.71239            0.740177           0.0370938
         515             1.34905            0.741359           0.0370406
         516             1.40661            0.742648           0.0369912
         517             1.22772            0.743586           0.0369316
         518             1.29362            0.744648           0.0368756
         519             1.84511            0.746769           0.0368654
         520             1.50116            0.748219           0.0368231
         521             1.59055            0.749836           0.0367879
         522             1.97632            0.752186           0.0367923
         523             1.63502            0.753874           0.0367607
         524             1.73866            0.755753           0.0367385
         525             1.81262            0.757766           0.0367237
         526             1.29219            0.758782           0.0366679
