#     BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
           1            -8.53614            -8.53614                   0
           2            -8.35142            -8.44378           0.0653079
           3            -8.23177            -8.37311           0.0722858
           4            -8.10812            -8.30686           0.0789358
           5            -8.06982            -8.25946           0.0760641
           6            -8.00882            -8.21768            0.073973
           7            -7.92886            -8.17642           0.0740232
           8            -7.89473            -8.14121           0.0726638
           9            -7.83561            -8.10726           0.0720887
          10            -7.82073             -8.0786           0.0703439
          11            -7.66858            -8.04133           0.0731613
          12             -7.6318             -8.0072           0.0746007
          13            -7.67965              -7.982           0.0729932
          14            -7.63395            -7.95714           0.0718887
          15            -7.58665            -7.93244           0.0712129
          16            -7.48778            -7.90465            0.071981
          17            -7.52604            -7.88238           0.0711088
          18            -7.47112            -7.85953           0.0707337
          19            -7.41429             -7.8361           0.0707862
          20            -7.49419              -7.819           0.0692805
          21            -7.46951            -7.80236            0.067951
          22            -7.40477            -7.78429           0.0672227
          23            -7.45593            -7.77001           0.0657985
          24            -7.55677            -7.76113            0.063654
          25            -7.59424            -7.75445           0.0614569
          26            -7.58497            -7.74793           0.0594378
          27             -7.4813            -7.73806            0.058051
          28            -7.49676            -7.72944           0.0566139
          29            -7.51586            -7.72208           0.0551386
          30            -7.50296            -7.71477           0.0537823
          31            -7.47845            -7.70715           0.0525849
          32            -7.54553             -7.7021           0.0511836
          33            -7.60508            -7.69916           0.0497169
          34            -7.56712            -7.69527           0.0484061
          35            -7.60692            -7.69275           0.0470888
          36            -7.56807            -7.68929            0.045908
          37            -7.58316            -7.68642           0.0447567
          38            -7.50142            -7.68155           0.0438429
          39            -7.44389            -7.67546           0.0431402
          40             -7.4304            -7.66933           0.0424944
          41            -7.40967              -7.663           0.0419273
          42            -7.40169            -7.65677           0.0413881
          43            -7.32486            -7.64906            0.041139
          44            -7.41155            -7.64366           0.0405566
          45            -7.39347             -7.6381           0.0400346
          46            -7.39624            -7.63284           0.0395081
          47            -7.46449            -7.62926           0.0388295
          48            -7.49201             -7.6264           0.0381257
          49            -7.51109            -7.62405           0.0374202
          50            -7.50739            -7.62171           0.0367444
          51             -7.5343               -7.62           0.0360639
          52            -7.50336            -7.61776             0.03544
          53            -7.52688            -7.61604           0.0348128
          54            -7.62797            -7.61626           0.0341688
          55            -7.66276            -7.61711            0.033558
          56            -7.59732            -7.61675           0.0329606
          57            -7.52128            -7.61508           0.0324249
          58            -7.48701            -7.61287            0.031941
          59            -7.51207            -7.61116           0.0314452
          60            -7.50275            -7.60936            0.030973
          61             -7.4602            -7.60691           0.0305616
          62             -7.5012            -7.60521           0.0301162
          63            -7.47947            -7.60321           0.0297043
          64            -7.55269            -7.60242           0.0292506
          65              -7.566            -7.60186            0.028806
          66            -7.55132            -7.60109           0.0283797
          67            -7.48466            -7.59936           0.0280093
          68            -7.46396            -7.59737           0.0276681
          69            -7.47204            -7.59555           0.0273266
          70            -7.49362            -7.59409            0.026975
          71            -7.45333            -7.59211           0.0266678
          72            -7.39982            -7.58944           0.0264308
