#     BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
           1              2.1961              2.1961                   0
           2             3.19087             2.69348            0.351705
           3             3.82842             3.07179            0.387801
           4             4.51581              3.4328             0.42701
           5             4.72405             3.69105            0.412371
           6             5.04965             3.91748             0.40102
           7             5.49807             4.14328            0.402309
           8             5.68268              4.3357             0.39537
           9             6.02996             4.52395            0.393714
          10             6.10801             4.68236            0.384891
          11               6.934             4.88705            0.400652
          12             7.13362             5.07427             0.40867
          13              6.8688             5.21231            0.399869
          14             7.13585              5.3497            0.394205
          15             7.38428             5.48534            0.390564
          16             7.92673             5.63793            0.394836
          17             7.71106             5.75988            0.389989
          18             7.99833             5.88424            0.387644
          19             8.30158             6.01147            0.387558
          20             7.85388             6.10359             0.37897
          21             7.96877              6.1924            0.371186
          22             8.35389             6.29065            0.367087
          23             8.07407             6.36819            0.359223
          24             7.52681             6.41647            0.347484
          25             7.30849             6.45215            0.335411
          26             7.34155             6.48636            0.324251
          27             7.92236             6.53954            0.316573
          28             7.85168             6.58641            0.308716
          29             7.76717             6.62712            0.300744
          30             7.81266             6.66664            0.293304
          31             7.96462             6.70851            0.286815
          32             7.59112             6.73609            0.279175
          33             7.23421             6.75119            0.271123
          34             7.42171             6.77091            0.263865
          35             7.22808             6.78397            0.256649
          36             7.45463              6.8026            0.250195
          37             7.38047             6.81822             0.24392
          38             7.84319             6.84519            0.238988
          39               8.151             6.87867            0.235194
          40             8.24728             6.91289            0.231789
          41             8.35414             6.94804            0.228786
          42             8.43185             6.98337             0.22605
          43             8.86571             7.02714            0.224992
          44             8.35957             7.05743            0.221907
          45             8.45145              7.0884            0.219127
          46             8.44471             7.11789            0.216338
          47             8.10172             7.13882            0.212746
          48             7.93011             7.15531            0.208951
          49             7.82168             7.16891            0.205129
          50             7.79453             7.18142            0.201408
          51             7.65518             7.19071            0.197673
          52             7.82479              7.2029            0.194247
          53              7.6838             7.21198            0.190794
          54             7.10945             7.21008             0.18727
          55             6.92231             7.20485            0.183938
          56             7.31583             7.20683            0.180664
          57             7.75256              7.2164            0.177748
          58             7.92814             7.22867            0.175107
          59             7.78647             7.23813            0.172394
          60             7.84095             7.24817            0.169813
          61             8.04988             7.26132            0.167537
          62             7.84861             7.27079            0.165102
          63             7.97978             7.28204            0.162865
          64              7.6075             7.28713            0.160399
          65             7.52756             7.29083            0.157974
          66             7.60524             7.29559            0.155653
          67             7.97525             7.30574             0.15366
          68             8.06224             7.31686            0.151802
          69             8.03279             7.32724            0.149956
          70             7.88538             7.33521            0.148026
          71             8.11944             7.34626            0.146352
          72             8.39604             7.36084            0.145044
          73             8.46952             7.37602             0.14385
          74             7.62509             7.37939            0.141946
          75              7.8082             7.38511            0.140168
          76             8.07935             7.39424            0.138621
          77              8.2895             7.40587            0.137308
          78             8.18179             7.41582            0.135907
          79              7.9156             7.42214            0.134334
          80              8.1528             7.43128            0.132965
          81             8.13535             7.43997            0.131607
          82             8.21732             7.44945            0.130343
          83             7.99789             7.45606             0.12894
          84             8.07374             7.46341            0.127615
          85             7.92053             7.46879            0.126227
          86             7.75328             7.47209            0.124802
          87              7.2558             7.46961            0.123393
          88             7.56313             7.47067            0.121995
          89             7.34608             7.46927            0.120632
          90             7.83278             7.47331            0.119359
          91             7.95924             7.47865            0.118167
          92             8.05587             7.48492            0.117049
          93             8.08362             7.49136            0.115968
          94             7.88507             7.49555            0.114809
          95             7.74653             7.49819            0.113631
          96             7.73966             7.50071            0.112475
          97             7.82913             7.50409            0.111367
          98             7.76721             7.50678            0.110263
          99             7.76633              7.5094             0.10918
         100             8.10014             7.51531            0.108248
         101             8.41083             7.52417            0.107539
         102             8.15856             7.53039            0.106664
         103             8.03051             7.53525            0.105739
         104             8.09552             7.54064             0.10486
         105             8.08275              7.5458            0.103988
         106             7.81347             7.54832            0.103038
         107             7.80394             7.55071            0.102102
         108             7.72067             7.55229            0.101169
         109              7.4875             7.55169            0.100243
         110             7.58555               7.552           0.0993318
         111              7.5029             7.55156           0.0984379
         112             7.36534              7.5499           0.0975731
         113              6.8885             7.54404            0.096885
         114             6.78817             7.53741           0.0962617
         115             7.40686             7.53628           0.0954314
         116             7.30547             7.53429           0.0946294
         117             7.36247             7.53282            0.093832
         118              7.4803             7.53237           0.0930379
         119              7.5054             7.53215           0.0922563
         120             7.33101             7.53047           0.0915027
         121             7.31972             7.52873           0.0907631
