#   N_BLOCK:  ACCEPTANCE:
           1             0.50184
           2            0.501752
           3            0.502115
           4            0.501967
           5            0.501949
           6            0.501673
           7            0.501423
           8            0.501256
           9            0.501235
          10            0.501217
          11            0.501274
          12            0.501245
          13            0.501261
          14            0.501153
          15            0.501259
          16            0.501162
          17             0.50115
          18             0.50111
          19             0.50111
          20            0.501148
          21            0.501113
          22            0.501133
          23            0.501191
          24            0.501169
          25            0.501137
          26            0.501132
          27             0.50119
          28            0.501165
          29            0.501163
          30            0.501145
          31            0.501111
          32             0.50109
          33            0.501127
          34            0.501125
          35            0.501144
          36            0.501179
          37            0.501173
          38            0.501193
          39            0.501205
          40            0.501203
          41            0.501192
          42            0.501173
          43            0.501168
          44            0.501142
          45             0.50113
          46            0.501126
          47            0.501118
          48            0.501134
          49            0.501195
          50            0.501203
          51            0.501232
          52            0.501231
          53              0.5012
          54            0.501241
          55            0.501222
          56            0.501242
          57            0.501217
          58            0.501219
          59            0.501234
          60            0.501221
          61            0.501243
          62            0.501223
          63            0.501183
          64            0.501184
          65             0.50118
          66            0.501179
          67            0.501153
          68            0.501163
          69            0.501141
          70            0.501115
          71            0.501115
          72            0.501108
          73            0.501095
          74            0.501093
          75            0.501098
          76            0.501083
          77            0.501086
          78            0.501088
          79            0.501066
          80            0.501071
          81            0.501084
          82            0.501076
          83            0.501066
          84            0.501081
          85            0.501076
          86            0.501078
          87            0.501069
          88             0.50106
          89            0.501064
          90            0.501067
          91            0.501063
          92            0.501053
          93             0.50105
          94            0.501038
          95             0.50107
          96            0.501062
          97            0.501055
          98            0.501057
          99            0.501046
         100            0.501056
