#     BLOCK:         BIN_CENTER:        ACTUAL_GOFR:           GOFR_AVE:              ERROR:
         100           0.0115332                   0                   0                   0
         100           0.0345996                   0                   0                   0
         100           0.0576661                   0                   0                   0
         100           0.0807325                   0                   0                   0
         100            0.103799                   0                   0                   0
         100            0.126865                   0                   0                   0
         100            0.149932                   0                   0                   0
         100            0.172998                   0                   0                   0
         100            0.196065                   0                   0                   0
         100            0.219131                   0                   0                   0
         100            0.242198                   0                   0                   0
         100            0.265264                   0                   0                   0
         100             0.28833                   0                   0                   0
         100            0.311397                   0                   0                   0
         100            0.334463                   0                   0                   0
         100             0.35753                   0                   0                   0
         100            0.380596                   0                   0                   0
         100            0.403663                   0                   0                   0
         100            0.426729                   0                   0                   0
         100            0.449795                   0                   0                   0
         100            0.472862                   0                   0                   0
         100            0.495928                   0                   0                   0
         100            0.518995                   0                   0                   0
         100            0.542061                   0                   0                   0
         100            0.565128                   0                   0                   0
         100            0.588194                   0                   0                   0
         100             0.61126                   0                   0                   0
         100            0.634327                   0                   0                   0
         100            0.657393                   0                   0                   0
         100             0.68046                   0                   0                   0
         100            0.703526                   0                   0                   0
         100            0.726593                   0                   0                   0
         100            0.749659                   0                   0                   0
         100            0.772725                   0                   0                   0
         100            0.795792                   0                   0                   0
         100            0.818858                   0                   0                   0
         100            0.841925                   0                   0                   0
         100            0.864991                   0         2.58734e-07         2.57437e-07
         100            0.888058         4.90937e-05         7.53588e-05         6.57062e-06
         100            0.911124          0.00326477          0.00337507         4.64735e-05
         100             0.93419           0.0463391           0.0470904         0.000203909
         100            0.957257            0.288248            0.293083          0.00058656
         100            0.980323            0.993497             1.00634          0.00117075
         100             1.00339             2.22267             2.23997          0.00149825
         100             1.02646             3.63321             3.62384          0.00122713
         100             1.04952             4.62763             4.61937          0.00141712
         100             1.07259             4.91791             4.89732          0.00194639
         100             1.09566             4.50139             4.49381          0.00207531
         100             1.11872             3.67497             3.65932           0.0016331
         100             1.14179             2.69439             2.69437          0.00120664
         100             1.16485              1.8159             1.81706          0.00076744
         100             1.18792             1.11759             1.12894         0.000712606
         100             1.21099            0.652041            0.653649         0.000682926
         100             1.23405            0.350806            0.353373         0.000615865
         100             1.25712            0.178777            0.179441         0.000491708
         100             1.28019           0.0837392            0.088922         0.000344984
         100             1.30325           0.0448516           0.0491953         0.000264084
         100             1.32632           0.0399156           0.0422332         0.000251905
         100             1.34939           0.0590082           0.0607381         0.000265806
         100             1.37245            0.102757            0.105994         0.000318319
         100             1.39552            0.177334            0.184447         0.000365946
         100             1.41859            0.293924             0.30014         0.000376688
         100             1.44165            0.443998            0.453092         0.000405379
         100             1.46472            0.634547            0.628257         0.000368341
         100             1.48778            0.801359             0.79631         0.000560767
         100             1.51085            0.930839            0.921613         0.000717778
         100             1.53392            0.986692            0.970489          0.00080944
         100             1.55698            0.938763            0.929455         0.000685508
         100             1.58005            0.815197            0.809109         0.000555691
         100             1.60312            0.637023            0.640768          0.00039433
         100             1.62618            0.463784             0.46551         0.000345338
         100             1.64925            0.311458            0.316952         0.000362481
         100             1.67232            0.214921            0.219366         0.000438793
         100             1.69538            0.186549             0.19201         0.000505468
         100             1.71845            0.249105            0.254658         0.000645038
         100             1.74152            0.421287            0.433361         0.000751703
         100             1.76458            0.739454            0.748955         0.000735716
         100             1.78765             1.19478             1.19794         0.000676195
         100             1.81071             1.73276             1.72782         0.000500248
         100             1.83378             2.24682             2.23636         0.000760587
         100             1.85685             2.60359             2.59781          0.00130107
         100             1.87991             2.73497               2.714          0.00148998
         100             1.90298             2.56512             2.55718           0.0012662
         100             1.92605             2.18708             2.18075         0.000914032
         100             1.94911             1.69024             1.68968         0.000568065
         100             1.97218             1.19222             1.20074         0.000504586
         100             1.99525            0.796691            0.801674         0.000649881
         100             2.01831             0.53369            0.542019         0.000771064
         100             2.04138            0.431366            0.433693         0.000805694
         100             2.06445            0.455595            0.460764         0.000654874
         100             2.08751            0.582615            0.586872         0.000454045
         100             2.11058            0.761107            0.758698         0.000301826
         100             2.13364            0.918062            0.917345         0.000384543
         100             2.15671             1.01673              1.0148         0.000521409
         100             2.17978             1.02226             1.02307         0.000572511
         100             2.20284            0.918592            0.919135         0.000447717
         100             2.22591            0.782315            0.780421         0.000310832
         100             2.24898             0.64981            0.654031         0.000376534
         100             2.27204            0.564325            0.572038         0.000633575
         100             2.29511            0.564973            0.572803         0.000704069


