#     BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
           1             -7.5496             -7.5496                   0
           2            -7.54843            -7.54902         0.000412996
           3            -7.55915             -7.5524          0.00277103
           4              -7.542             -7.5498          0.00306327
           5            -7.54139            -7.54812          0.00287543
           6            -7.54763            -7.54803          0.00239734
           7            -7.54135            -7.54708          0.00223686
           8            -7.54229            -7.54648          0.00203578
           9            -7.55362            -7.54727          0.00195808
          10            -7.55033            -7.54758          0.00178595
          11            -7.53381            -7.54633          0.00201519
          12            -7.55411            -7.54698          0.00194894
          13            -7.55491            -7.54759          0.00189208
          14            -7.54466            -7.54738          0.00176844
          15            -7.55602            -7.54795          0.00174198
          16            -7.54427            -7.54772          0.00164825
          17            -7.54034            -7.54729          0.00160757
          18            -7.53118            -7.54639          0.00174963
          19            -7.55314            -7.54675          0.00169314
          20            -7.55417            -7.54712          0.00164868
          21            -7.54883             -7.5472          0.00157217
          22            -7.53963            -7.54686          0.00153788
          23             -7.5494            -7.54697          0.00147499
          24            -7.54359            -7.54683          0.00142022
          25            -7.55676            -7.54722          0.00141787
          26            -7.55031            -7.54734          0.00136828
          27            -7.54283            -7.54718          0.00132778
          28            -7.54206            -7.54699          0.00129287
          29            -7.55196            -7.54716          0.00125959
          30            -7.54944            -7.54724          0.00121988
          31            -7.54161            -7.54706          0.00119395
          32            -7.54897            -7.54712          0.00115813
          33            -7.55224            -7.54727          0.00113338
          34            -7.55375            -7.54746          0.00111595
          35            -7.53468             -7.5471          0.00114226
          36            -7.54083            -7.54692          0.00112373
          37            -7.54262            -7.54681          0.00109936
          38            -7.55107            -7.54692          0.00107612
          39            -7.54869            -7.54697          0.00104949
          40            -7.53775            -7.54674          0.00104824
          41            -7.56383            -7.54715          0.00110246
          42            -7.53916            -7.54696           0.0010925
          43            -7.55191            -7.54708          0.00107314
          44            -7.55119            -7.54717          0.00105281
          45            -7.54513            -7.54713          0.00103039
          46            -7.53803            -7.54693          0.00102681
          47            -7.54727            -7.54693          0.00100499
          48            -7.55151            -7.54703         0.000988558
          49            -7.56255            -7.54735          0.00101785
          50            -7.55042            -7.54741         0.000999347
          51            -7.55308            -7.54752         0.000985912
          52            -7.54154             -7.5474         0.000973634
          53            -7.54339            -7.54733         0.000958202
          54            -7.56665            -7.54769          0.00100507
          55            -7.54549            -7.54765         0.000987595
          56            -7.55269            -7.54774         0.000974049
          57            -7.54389            -7.54767         0.000959297
          58            -7.54898            -7.54769         0.000943024
          59            -7.55158            -7.54776         0.000929336
          60            -7.54074            -7.54764         0.000921178
          61            -7.54262            -7.54756         0.000909743
          62            -7.55076            -7.54761         0.000896533
          63            -7.54726             -7.5476          0.00088232
          64            -7.54873            -7.54762         0.000868708
          65            -7.54549            -7.54759          0.00085596
          66            -7.54871            -7.54761         0.000843159
          67            -7.55064            -7.54765         0.000831786
          68            -7.54481            -7.54761         0.000820604
          69            -7.55306            -7.54769         0.000812499
          70            -7.53636            -7.54753         0.000816847
          71            -7.54986            -7.54756         0.000806005
          72            -7.54837            -7.54757         0.000794889
          73            -7.53197            -7.54736         0.000812221
          74            -7.54622            -7.54734         0.000801391
          75            -7.54573            -7.54732         0.000790994
          76            -7.54456            -7.54728         0.000781422
          77            -7.54657            -7.54727         0.000771329
          78            -7.55374            -7.54736         0.000765882
          79            -7.55051             -7.5474         0.000757229
          80            -7.53533            -7.54725         0.000762631
          81            -7.54561            -7.54723         0.000753482
          82            -7.55552            -7.54733         0.000751053
          83            -7.53787            -7.54721         0.000750593
          84            -7.55242            -7.54728         0.000744207
          85             -7.5595            -7.54742         0.000749221
          86            -7.55434             -7.5475         0.000744822
          87            -7.53623            -7.54737         0.000747447
          88            -7.52794            -7.54715         0.000770882
          89            -7.54756            -7.54715         0.000762234
          90            -7.55034            -7.54719         0.000754589
          91            -7.53755            -7.54708         0.000753688
          92            -7.54328            -7.54704         0.000746628
          93            -7.55803            -7.54716         0.000747882
          94            -7.53722            -7.54705         0.000747364
          95            -7.56125             -7.5472         0.000754281
          96            -7.54871            -7.54722         0.000746586
          97            -7.55294            -7.54728         0.000741217
          98            -7.54486            -7.54725         0.000734065
          99            -7.53372            -7.54712          0.00073927
         100            -7.55317            -7.54718         0.000734348
